x,y,value
52,86,nan
45,2,-1.2374230585870978
82,91,-32.35561480794594
33,28,nan
11,67,33.62077603994245
21,81,54.24213992070654
42,96,15.67924843697417
56,8,0.36706027456865
11,32,-26.14549378243133
55,58,nan
95,55,0.9684108483691044
66,53,nan
94,9,-2.258560857521424
88,23,-3.3329636744905113
8,91,-90.56133166921823
48,27,5.668034828588552
61,85,77.83079030009233
32,17,nan
31,80,3.2694419833100383
21,8,-1.0392806157526973
96,34,-32.407689917567154
55,9,6.210478833587873
73,88,nan
65,54,nan
59,35,-23.03859294355118
34,1,0.8051112881194357
96,66,-70.19661786934537
84,74,10.222045525897304
94,45,-3.566411171883197
80,93,-27.769730218059237
41,1,0.5591403405031892
7,5,1.524066337885299
28,30,1.6566158490591678
8,87,50.16348793865307
93,61,13.3873279510513
63,34,-6.907672656252863
41,80,nan
75,32,-7.751956210104256
7,80,-6.03617108796904
78,34,-17.65868813134025
80,50,-43.840392422467254
17,89,-43.40681889232232
13,49,6.851887367508809
70,46,-16.449024782387177
75,12,-0.3787136688369302
56,9,2.2478145568419907
95,60,-44.27565246169185
9,59,-19.159053332975855
43,9,5.2766916420108405
10,42,nan
95,22,-20.227174849682676
86,36,3.559239307908425
71,60,-57.89763263648328
35,66,nan
28,39,2.9933429312877915
59,49,nan
22,63,0.7286737089076495
94,88,-16.50897758083106
81,44,-23.659147140036126
72,84,nan
22,46,-0.06704684210242894
77,15,-13.780649872756745
9,60,-24.95388390364666
19,84,-9.007872420056371
57,23,-7.2268967269088975
77,94,95.00460919151212
86,10,3.5679716721207377
24,44,-38.34142457570717
25,56,-4.562966681869973
36,33,nan
47,41,nan
80,90,38.68845734073824
3,26,2.561750571035695
48,79,nan
99,58,-6.362693268571277
38,38,nan
59,29,-16.38909706376067
98,97,46.75093221181786
5,72,65.97216150302947
12,18,-5.0687104799308615
6,21,3.0644420344522185
83,89,45.68013622238396
73,33,0.2627510277890962
45,10,-9.426189821071935
34,98,-44.426712949431945
83,90,-40.53822775946466
66,80,nan
11,2,0.7071515572530123
64,28,-27.45472873896457
65,21,-10.741610694999068
6,17,0.7371891373976807
97,87,22.344457865518287
87,86,25.0313423152578
51,38,nan
59,81,nan
37,60,nan
75,41,11.9195628001953
32,23,nan
36,66,nan
5,58,-6.616877883886902
10,54,22.913120646975713
66,45,nan
19,90,-6.266251462834258
10,53,25.74849956477469
43,97,73.04505678167222
98,71,11.185697711680904
88,11,0.02648410680862896
6,28,6.723773353894488
36,61,nan
86,41,32.84373815654641
56,42,nan
86,58,-5.972734498925869
76,71,-13.28016507215545
89,83,18.738592610408947
11,85,82.30678060303933
22,4,-1.4285269914483576
93,7,-1.7221418093881184
3,40,-3.970314426010026
80,32,-23.655123828120356
3,5,0.7709612984796917
52,61,nan
55,75,nan
79,29,6.197171229507748
87,2,-0.8168648290197654
8,53,-48.842322981280084
7,2,-0.6382195074018168
20,79,-66.28482754506467
61,28,23.530261413211544
37,86,20.152662207845697
35,74,nan
48,53,nan
4,46,14.97191014925614
67,43,nan
49,96,16.275961057063366
29,93,-18.76535904846633
37,77,1.5070366497631102
97,68,14.120467718591954
69,55,nan
57,91,-42.03206194866883
48,7,-2.8176135666336655
73,51,-23.48363562144598
65,98,-69.38307519147881
51,86,nan
41,90,5.885481660934734
11,69,-67.22724230177128
35,63,nan
