,x,y,value
3,37,62,
11,75,4,0.406953233701814
48,22,5,-0.2473729376451519
57,1,4,0.3794760235641468
66,49,32,
79,89,10,-0.8302585574708197
84,56,69,
93,63,36,
126,89,34,-0.8396577572885229
149,73,87,
182,51,55,
184,45,74,
186,45,86,
225,70,89,0.29943683875182225
255,73,51,-0.6996847666386652
262,58,11,0.00435223778462035
288,3,97,0.8872712529142905
304,79,45,0.5109570089665321
309,2,49,-0.284156403220298
312,30,8,-0.038622105660987005
337,45,16,0.3757759785907109
344,54,81,
387,56,17,-0.034713354005538544
442,11,91,0.5025091775872239
477,14,88,-0.6839490271843921
480,25,63,-0.21898223239335501
502,76,34,0.044666292707875366
544,78,45,0.48695313737463675
552,36,25,
586,38,72,
693,25,27,0.06491374736270039
712,45,30,
721,21,49,-0.12806070621139964
740,85,36,0.08832618995790464
765,17,61,-0.23051061589816435
796,54,71,
814,37,8,-0.11619258285478784
892,58,68,
902,51,50,
908,43,40,
927,71,9,-0.007121499186626079
941,62,53,
990,56,62,
1013,37,45,0.4195989281171175
1114,44,89,
1124,44,34,
1172,10,37,
1173,54,90,0.4017953461454238
1191,71,28,-0.007524945052386767
1210,41,96,0.04657321541600079
1214,86,92,0.08882466426342095
1232,96,67,0.11898737885324495
1282,98,8,-0.12295504347774722
1301,57,35,-0.6132819170962086
1307,26,99,0.015356533416958085
1367,26,63,
1376,69,51,
1411,12,97,0.8441445263343115
1463,75,69,-0.6184274636694316
1608,3,14,-0.13111660441856732
1649,10,48,-0.05726145697698526
1670,46,26,
1712,3,48,0.6139423498085079
1718,91,21,-0.1018315739326443
1724,68,26,0.6189841197967294
1748,54,44,
1764,50,43,
1879,93,26,-0.5616850425643215
1981,6,30,0.08385150617479065
1988,52,86,
1997,12,27,0.2665734549644938
2000,0,46,1.9587186331770923e-05
2010,8,78,-0.8327060963952803
2017,22,40,0.5816815056014626
2038,13,18,-0.6474506869888991
2040,18,61,-0.25507694636403144
2041,31,34,
2064,18,4,-0.6460135975839367
2116,89,1,0.5346595797551956
2171,99,75,0.9203734545211275
2188,41,91,0.256580568337859
2219,25,26,-0.14368362809798596
2230,12,98,0.7475561830741762
2239,75,64,-0.24393581389518038
2247,80,92,-0.4115454582745096
2248,0,66,1.9587186331770923e-05
2267,34,26,
2304,73,25,-0.9344882630178402
2332,5,49,-0.013442648454116468
2335,5,92,0.02807531560989518
2352,8,48,-0.6214104786098358
2419,46,27,
2433,98,72,-0.8174873283725583
2451,54,98,0.7346536845962224
2468,41,51,
2511,42,42,
2530,89,25,0.9808346942354125
2552,6,21,-0.2976579711393307
2560,6,59,-0.41904379817064974
2662,7,19,0.9193536650143064
2681,43,29,
2703,2,12,-0.7977481534728619
2756,89,54,-0.8205991628425593
2805,90,97,-0.6677627265490051
2831,39,63,
2843,36,85,-0.29630210830597736
2882,16,68,0.20520636563006311
2915,22,98,0.7145518652071752
2916,4,95,-0.45006615957088936
2923,81,9,-0.08861960741351771
2926,36,91,-0.29930959127598056
2970,36,6,0.2890545711133945
2984,32,42,0.3299501980666717
3007,5,47,0.0444619867006657
3035,6,82,0.5161463651975353
3076,58,59,
3108,17,38,0.8530685046117665
3114,72,89,-0.2928859849721104
3117,34,63,
3124,13,82,-0.9311821706205059
3131,97,73,-0.2781902275553526
3143,74,35,0.8686750231393694
3231,23,18,-0.6564576757448152
3239,7,58,0.1108376797721673
3254,98,99,0.03367564850042082
3270,83,70,-0.5757854107394169
3358,72,14,-0.07848471545060576
3393,41,54,
3441,91,2,-0.07736360479607318
3443,52,77,
3462,60,48,
3467,33,63,
3478,32,19,
