x,y,value
68,98,0
79,22,0
77,57,0
97,62,0
90,26,0
55,54,nan
61,16,0
11,45,0.8022399153339645
38,93,0
40,71,nan
30,17,nan
76,24,0
12,30,0
97,78,0
82,69,0
39,55,nan
25,83,0
15,38,0.6636879464396305
69,26,0
81,78,0.7285537965069098
51,96,0
4,54,0
83,60,0
63,89,0
17,58,0
94,5,0
15,92,0
52,44,nan
72,55,-0.06819712034597514
51,47,nan
85,46,0
47,63,nan
50,86,nan
20,0,0
18,3,0
42,59,nan
24,51,0
95,57,0
4,19,0
88,52,0
95,90,0
73,33,0
6,58,0
36,86,0
1,44,0
64,21,0
63,84,nan
53,25,0
15,34,0.896402053850269
0,81,0
65,23,0
83,28,0
81,11,0
27,88,0
99,98,0
94,28,0
32,24,nan
91,51,0
36,7,0
82,64,0
94,81,0
58,43,nan
75,44,0
38,71,nan
44,9,0
59,96,0
64,84,nan
81,90,1.1085720041199323
90,39,0
70,73,nan
73,80,nan
52,78,nan
12,36,nan
97,47,0
1,72,0
72,88,nan
85,85,0
74,45,0
26,16,0
22,9,0
30,24,nan
34,13,1.4145440784638112
24,53,-0.06785030656568125
66,67,nan
56,18,0
32,13,nan
73,31,0
60,57,nan
58,44,nan
53,39,nan
91,22,0
12,35,0.4429647315361924
73,15,0
29,74,-0.4008885139021212
81,25,0
20,48,0
51,4,0
89,60,0
42,17,-0.9656724695271746
66,20,0
3,25,0
68,28,0
78,90,0.5929154049787082
8,18,0
74,40,0
1,93,0
80,43,0
2,49,0
42,52,nan
75,30,0
0,31,0
49,21,0
45,80,nan
54,14,0
80,15,0
75,93,0
19,22,0
34,4,0
58,26,0
63,93,0
43,42,nan
7,87,0
75,6,0
2,2,0
98,83,0
24,0,0
68,27,0
88,53,0
56,29,0
23,21,0
69,64,nan
87,20,0
62,72,nan
60,90,1.8590417394521475
77,76,-0.12000619679834024
92,87,0
62,45,nan
73,97,0
15,37,-0.27621876562675435
59,58,nan
80,83,0.12958824048889528
81,6,0
10,84,0
85,35,0
50,80,nan
97,34,0
10,29,0
20,85,0
54,5,0
79,17,0
70,62,-0.10553495189184325
67,18,0
89,56,0
4,86,0
6,20,0
49,67,nan
69,81,nan
81,91,0.32056285227053133
41,35,nan
77,7,0
57,30,0
6,55,0
30,84,0
99,3,0
15,74,0
26,20,0
39,41,nan
13,1,0
87,30,0
89,34,0
90,75,0
23,69,0
93,61,0
45,10,0
72,1,0
92,71,0
77,19,0
5,12,0
54,89,nan
56,37,nan
60,88,1.0004433785852505
42,73,nan
38,48,nan
38,37,nan
33,70,nan
88,78,0
22,72,0
30,89,0
64,93,0
24,78,0
25,91,0
50,43,nan
35,31,nan
48,7,0
65,91,0
83,90,0
62,17,0
42,88,nan
36,43,-0.9246710039130268
55,32,-0.3866620820699882
49,2,0
91,69,0
39,81,0.2620623649292144
45,58,nan
0,60,0
43,0,0
0,10,0
18,62,0
54,33,1.8241066476571959
55,19,0
6,74,0
40,23,nan
36,14,0.8977110944104418
64,22,0
50,23,0
21,63,0
30,63,nan
48,73,nan
69,90,0.810427726240748
52,51,nan
52,82,nan
18,97,0
30,11,nan
51,68,nan
6,36,-1.1197425430705206
27,49,0.03494292772722807
47,36,nan
2,28,0
18,9,0
19,71,0
96,77,0
15,66,0
90,52,0
24,41,0
13,70,0
83,77,0
30,88,0
15,51,0
13,4,0
71,74,nan
22,6,0
69,82,nan
32,5,0
31,18,nan
72,54,0.3727690041610284
63,44,nan
73,84,nan
53,89,nan
62,40,nan
17,78,0
3,14,0
19,4,0
49,65,nan
1,37,0
89,77,0
80,19,0
53,84,nan
55,91,-0.832101251560522
26,6,0
39,44,0.9096522843090818
31,12,nan
73,32,0
35,12,0.4390762341029363
35,97,0
98,54,0
99,60,0
31,2,0
20,90,0
17,22,0
6,9,0
46,68,nan
72,63,1.0989137533154516
69,11,0
65,82,nan
63,11,0
7,35,-0.12759012575251394
71,87,nan
37,41,nan
80,50,0
68,69,nan
27,50,0.7263207267827712
41,32,nan
47,69,nan
20,10,0
15,98,0
24,5,0
48,31,nan
3,99,0
57,19,0
42,58,nan
7,53,0
49,9,0
61,1,0
25,82,0
52,79,nan
11,23,0
52,18,0
1,39,0
5,6,0
69,25,0
92,80,0
96,58,0
80,68,0
89,43,0
51,39,nan
85,4,0
69,37,nan
94,80,0
7,72,0
85,15,0
56,65,nan
75,71,0.9726992153898611
23,99,0
63,15,0
34,59,nan
59,66,nan
28,96,0
78,99,0
65,65,nan
61,44,nan
97,99,0
84,8,0
48,33,nan
9,63,0
22,79,0
20,78,0
9,33,1.7765978421288984
50,85,nan
43,77,nan
29,80,0
25,78,0
73,69,0.5385165404445564
5,94,0
60,79,nan
21,50,0
70,25,0
94,63,0
89,90,1.3373954862510242
58,77,nan
51,7,0
48,38,nan
3,13,0
29,59,nan
79,61,0
80,96,0
9,73,0
13,27,0
31,6,0
5,14,0
48,20,0
96,61,0
10,33,1.8622307323949512
96,95,0
24,29,0
40,34,nan
89,31,0
91,33,0
31,17,nan
98,32,0
13,50,0
40,40,nan
7,46,1.2023808913924463
7,26,0
73,64,0
66,73,nan
71,96,0
71,72,nan
96,79,0
70,33,1.6335576048646467
34,93,0
2,76,0
41,28,nan
9,86,0
44,64,nan
77,93,0
2,63,0
28,39,0
46,49,nan
67,0,0
29,65,nan
74,99,0
85,5,0
55,59,nan
32,74,0.002207357751600969
54,98,0
42,91,0.1017125341035391
64,99,0
70,56,0.1120947426704677
83,95,0
62,48,nan
84,83,0
41,71,nan
38,42,nan
3,96,0
16,54,0
37,50,nan
86,47,0
40,66,nan
5,22,0
65,90,-0.009850369839736528
86,43,0
25,61,-1.9505050269848707
58,37,-1.4421976122022238
68,47,nan
38,76,0.9903958334479346
0,24,0
8,93,0
17,71,0
18,77,0
52,17,0
37,27,nan
55,99,0
23,8,0
29,88,0
95,50,0
35,48,nan
30,59,nan
10,73,0
54,36,nan
80,86,-1.76223466761535
80,0,0
35,59,nan
90,57,0
49,64,nan
59,49,nan
64,20,0
90,0,0
82,1,0
73,98,0
71,75,nan
39,45,1.7428538837377867
79,89,nan
51,62,nan
83,57,0
68,87,nan
96,33,0
81,16,0
4,35,0
11,25,0
98,20,0
95,35,0
60,63,nan
44,91,0.817656391160099
97,7,0
18,81,0
2,64,0
18,24,0
79,60,0
59,72,nan
62,27,0
30,9,0.47836518744491474
5,50,0
33,98,0
90,60,0
40,83,nan
38,77,1.4238083551304856
19,2,0
45,70,nan
99,16,0
93,54,0
0,25,0
38,32,nan
45,56,nan
85,55,0
32,71,nan
66,70,nan
9,97,0
94,97,0
44,99,0
64,2,0
63,85,-0.5676277593512784
95,14,0
16,15,0
44,75,nan
64,8,0
55,97,0
92,13,0
70,28,0
70,31,0.22960809943431454
36,8,0
89,13,0
86,80,0
26,41,0
48,72,nan
30,13,nan
90,80,0
49,48,nan
13,5,0
37,85,0
19,55,0
30,35,-0.36193596729299293
65,10,0
6,23,0
70,99,0
65,69,nan
58,95,0
81,33,0
81,10,0
17,36,0.007869402436422313
23,42,0
73,78,nan
44,35,nan
37,44,0.7599369310243889
29,28,0.8551635348739952
98,64,0
88,98,0
8,2,0
17,82,0
68,66,nan
26,18,0
46,48,nan
2,13,0
42,85,nan
56,30,0
25,34,0
73,18,0
55,50,nan
65,49,nan
45,40,nan
41,73,nan
32,59,nan
42,54,nan
1,90,0
95,20,0
41,8,0
40,3,0
36,26,nan
22,36,0
49,82,nan
25,63,-0.8170315566736709
48,35,nan
7,32,0
52,94,0
91,24,0
63,25,0
24,62,-1.2029561533967383
46,88,nan
6,53,0
25,27,0
90,14,0
16,55,0
79,95,0
40,35,nan
52,72,nan
7,28,0
77,77,nan
54,30,-0.16383683654293313
21,74,0
8,87,0
7,8,0
12,26,0
40,13,0
93,32,0
99,24,0
40,7,0
92,27,0
6,98,0
44,16,0
84,23,0
7,84,0
83,46,0
38,54,nan
9,45,1.6275895065557497
25,30,0
69,70,nan
56,0,0
80,9,0
81,2,0
57,41,nan
59,7,0
49,18,0
74,34,0
0,68,0
57,43,nan
11,77,0
4,31,0
75,4,0
27,84,0
35,29,nan
71,91,-0.203436553869774
17,70,0
54,25,0
25,28,0
98,81,0
91,5,0
94,47,0
23,33,0
71,86,nan
9,66,0
53,27,0
60,45,nan
33,65,nan
43,14,0
25,23,0
94,98,0
49,29,nan
94,35,0
37,11,0
4,71,0
56,58,nan
21,6,0
56,3,0
95,33,0
59,42,nan
19,50,0
11,44,nan
67,34,nan
9,18,0
18,68,0
26,21,0
79,80,nan
8,32,0
84,93,-0.8742066319293142
33,20,nan
26,85,0
14,44,0.36016838285093017
39,39,nan
98,44,0
10,38,nan
20,73,0
42,0,0
26,52,0.13808921650892036
60,40,nan
48,12,0
99,62,0
90,22,0
17,13,0
20,43,0
21,30,0
12,3,0
79,49,0
29,0,0
70,72,nan
14,40,nan
69,95,0
22,2,0
69,15,0
6,21,0
51,75,nan
59,23,0
92,63,0
42,28,nan
15,27,0
55,45,nan
60,10,0
7,21,0
72,26,0
26,26,0
14,66,0
85,68,0
23,75,0
65,7,0
32,32,nan
27,33,0
55,74,nan
10,67,0
56,88,nan
53,74,nan
49,41,nan
93,8,0
46,92,-0.6425496863364091
17,99,0
78,58,0
48,17,0
58,20,0
57,65,nan
36,16,nan
76,61,0
48,13,0
91,36,0
83,30,0
20,20,0
87,56,0
1,88,0
38,51,nan
84,7,0
59,16,0
98,19,0
15,26,0
72,14,0
33,86,0
90,63,0
49,3,0
87,80,0
88,8,0
56,90,1.6649041117021313
66,92,0
49,53,nan
5,65,0
59,78,nan
59,73,nan
60,35,0.5368624063554387
29,43,0
10,48,0.09406421096401707
48,1,0
4,68,0
28,12,-0.3647961832877846
4,81,0
60,22,0
6,76,0
67,44,nan
72,65,1.758386732502748
24,85,0
11,30,0
3,56,0
46,3,0
58,72,nan
71,93,0
78,84,nan
30,33,nan
77,31,0
57,52,nan
77,59,0
93,5,0
83,82,0
73,3,0
84,68,0
34,62,nan
25,69,-1.099172070759665
98,8,0
48,64,nan
98,86,0
40,11,0
78,73,-0.9778532155091573
41,60,nan
66,22,0
60,75,nan
46,46,nan
17,4,0
68,46,nan
98,60,0
71,41,-0.4680467344256398
70,75,nan
73,35,0
80,67,0
49,59,nan
85,16,0
28,13,0.5919437715392912
72,80,nan
88,4,0
79,85,nan
61,43,nan
66,71,nan
30,92,0
19,42,0
39,78,1.4059288151912035
71,24,0
98,69,0
75,10,0
13,83,0
99,83,0
98,4,0
89,65,0
14,22,0
57,77,nan
90,56,0
67,43,nan
28,69,nan
83,75,0
8,27,0
7,25,0
47,0,0
36,9,0
73,42,0
14,32,0
76,44,0
61,63,nan
5,57,0
16,37,-0.6833288932881572
85,92,-0.46220850340890307
70,3,0
55,30,-1.9261203874045405
12,51,0
53,91,1.0206324073294903
7,52,0
21,54,0
14,18,0
18,42,-1.831251725851009
55,26,0
96,4,0
0,50,0
29,27,1.5406336749706293
8,17,0
24,95,0
41,14,0
59,44,nan
45,15,0
34,98,0
82,13,0
46,23,-0.709304020895775
84,16,0
99,70,0
32,8,1.9767118648432302
3,98,0
44,66,nan
4,14,0
82,44,0
4,55,0
21,44,0
25,54,-1.543176305828094
25,50,0
54,50,nan
65,77,nan
31,99,0
28,2,0
94,59,0
71,22,0
27,24,0
78,14,0
89,0,0
18,15,0
54,15,0
58,82,nan
81,77,1.2140954991001058
82,85,0.37117436204388365
76,64,0
74,0,0
18,87,0
13,92,0
59,6,0
75,92,-0.7578215074803182
46,32,nan
57,78,nan
96,54,0
51,65,nan
43,5,0
53,60,nan
24,28,0
33,90,0
67,76,nan
3,84,0
74,22,0
59,8,0
12,69,0
21,62,0
9,27,0
45,87,nan
76,9,0
82,41,0
72,76,nan
23,28,0
73,86,nan
27,82,0
3,24,0
80,93,0
91,8,0
15,16,0
80,10,0
97,93,0
89,4,0
8,22,0
6,59,0
26,80,0
64,80,nan
92,16,0
95,53,0
2,1,0
49,87,nan
91,49,0
22,31,0
79,55,0
96,43,0
65,39,nan
96,20,0
94,73,0
81,80,-0.7793133134040007
69,27,0
90,32,0
4,93,0
91,70,0
16,75,0
4,27,0
35,95,0
47,9,0
82,60,0
82,2,0
37,13,1.162402042745616
69,67,nan
51,14,0
31,54,nan
76,45,0
61,32,0
13,45,1.649399710696674
93,72,0
79,5,0
86,78,0
65,59,nan
77,52,0
70,59,1.2703837518965173
46,66,nan
16,80,0
14,92,0
95,62,0
35,71,nan
94,52,0
1,63,0
44,1,0
84,71,0
74,86,nan
32,86,0
16,4,0
94,13,0
42,87,nan
94,36,0
68,24,0
1,11,0
99,76,0
16,53,0
55,82,nan
39,30,nan
8,77,0
36,91,0
34,15,nan
28,29,-0.4918571495003172
66,99,0
20,62,0
42,83,nan
8,69,0
62,95,0
33,60,nan
55,88,nan
40,58,nan
86,73,0
77,26,0
21,99,0
22,80,0
98,99,0
7,14,0
41,6,0
12,76,0
70,80,nan
30,70,nan
54,16,0
69,4,0
15,78,0
32,99,0
42,76,nan
99,54,0
69,77,nan
72,13,0
7,44,nan
85,30,0
29,60,nan
27,12,0
21,81,0
48,28,nan
90,71,0
41,41,nan
72,97,0
80,32,0
23,87,0
9,15,0
61,49,nan
20,68,0
2,10,0
91,29,0
22,1,0
48,76,nan
28,6,0
61,36,-0.7769679814517848
84,41,0
4,7,0
8,37,nan
61,61,nan
77,40,0
63,81,nan
80,3,0
26,71,0.10251627772280969
99,50,0
51,57,nan
91,71,0
24,11,0
65,51,nan
39,60,nan
71,39,0.654371320663157
32,2,0
22,17,0
25,25,0
65,11,0
23,18,0
33,78,0
19,88,0
97,65,0
77,82,nan
63,13,0
88,89,0
24,80,0
89,11,0
10,22,0
6,42,nan
38,34,nan
54,35,nan
50,53,nan
98,1,0
91,95,0
70,46,1.5354340924061889
73,2,0
56,25,0
34,71,nan
51,92,0.1921760374150363
9,19,0
28,55,nan
31,89,0
33,7,0
57,69,nan
85,8,0
44,60,nan
25,67,-1.8399072359518
76,40,0
97,29,0
74,13,0
69,22,0
7,1,0
38,74,nan
36,64,nan
65,64,nan
26,3,0
65,78,nan
82,15,0
11,72,0
29,34,1.11334043268615
9,10,0
80,46,0
9,90,0
70,13,0
35,27,nan
77,38,0
65,12,0
87,90,0
19,28,0
46,29,nan
77,73,-1.362885790583828
0,41,0
32,76,1.5534612551180287
32,92,0
18,96,0
47,56,nan
31,90,0
10,51,0
21,64,0
67,31,-1.3481510276702673
16,27,0
56,50,nan
75,31,0
90,78,0
19,91,0
31,77,0
36,67,nan
38,65,nan
50,4,0
23,10,0
34,17,nan
54,26,0
42,38,nan
72,52,1.91818564505313
10,20,0
75,66,0
33,53,nan
87,84,0
59,86,nan
62,44,nan
68,32,1.4627183727505546
43,50,nan
56,45,nan
66,51,nan
58,24,0
70,89,1.4937151505698327
82,16,0
34,16,nan
60,25,0
69,51,nan
2,75,0
89,97,0
27,47,0
72,19,0
22,74,0
84,55,0
43,40,nan
12,1,0
27,9,0
76,34,0
30,21,nan
92,67,0
76,27,0
96,26,0
24,49,0
32,0,0
32,22,nan
59,56,nan
8,33,1.3917690905368172
76,46,0
82,32,0
13,67,0
46,9,0
68,31,0.5072540461857991
62,81,nan
16,28,0
86,89,0
26,0,0
22,16,0
57,23,0
49,61,nan
5,9,0
94,79,0
19,98,0
85,7,0
59,89,nan
7,88,0
60,42,nan
99,84,0
3,39,0
43,93,0
40,50,nan
13,68,0
99,28,0
17,44,1.0173501809849517
89,81,0
65,93,0
83,41,0
79,92,-1.0037358295478906
82,90,1.4412466455930286
76,3,0
18,5,0
30,50,nan
