,x,y,value
104,83,62,0.6411675325106891
195,28,43,0.5955381514549531
205,19,18,0.5848820520940876
221,81,25,0.6856241666380394
260,99,43,0.5921582353805007
301,10,36,
361,61,68,
369,40,78,
384,70,78,
395,16,3,0.3607077584090617
477,90,39,0.5753658282801617
491,81,6,0.6815754087792494
527,26,23,0.4485034065564206
530,38,67,
603,97,59,0.424156157940512
719,10,12,0.581438051910877
747,81,77,0.5522624582719113
772,13,12,0.5908193455630206
829,25,10,0.40592802494803426
857,83,6,0.6785679557592974
870,54,79,
902,48,37,
905,36,22,
952,69,80,
959,54,27,0.5282496392762338
980,48,80,
995,31,61,
1011,96,33,0.5254578655236691
1018,22,31,0.6266024481277408
1030,66,52,
1033,19,39,0.5335201412291218
1039,78,74,0.5826669500482504
1091,47,21,0.48798402382975375
1096,88,48,0.4610281818737377
1106,5,85,0.32689982527486916
1113,93,43,0.6065756753134488
1158,20,87,0.5759476830248971
1162,46,53,
1186,80,61,0.5240239361334806
1225,52,54,
1235,74,66,0.43405723127621365
1257,49,46,
1364,93,46,0.47776555865848785
1440,45,53,
1451,61,2,0.5151010726130762
1459,24,3,0.38356893625114036
1534,54,50,
1555,50,35,
1565,71,54,0.45862246335799267
1578,0,96,0.41552315341031215
1694,20,33,0.49988118628146205
1730,29,49,0.5647994506636446
1738,65,49,
1803,92,59,0.435752958133947
1867,68,71,
1900,77,7,0.6597929925265302
1928,17,49,0.5320761120849857
1947,95,65,0.45618508682067616
1953,85,23,0.480485519144417
1996,19,28,0.373142257062116
1999,6,0,0.5890287200569919
2006,68,75,
2043,88,64,0.5956715741764138
2115,9,64,0.5192967862574484
2151,14,99,0.48899621043700814
2167,19,90,0.4402723561187999
2176,78,92,0.4785322141023905
2196,56,72,
2198,88,43,0.6169713007144906
2218,52,88,
2279,71,94,0.6933046518923303
2281,32,41,0.40383936852448277
2285,70,54,0.45924390518230995
2327,72,18,0.6522700781177058
2345,30,42,0.4758104096269834
2375,90,38,0.6651841474480535
2402,38,11,0.5457658638814675
2414,4,40,0.3650744652053156
2417,84,15,0.4525698484898515
2431,55,66,
2519,27,64,
2528,82,31,0.6741809589848933
2540,24,31,0.6320762735601245
2552,82,85,0.42640631196286105
2558,11,11,0.4750692445319243
2559,72,55,0.5690065806825366
2579,24,85,0.38430162653809236
2596,7,7,0.5601394402289555
2626,83,9,0.43442273232001866
2647,36,53,
2671,77,90,0.5029733583449136
2723,97,8,0.5057744822567141
2732,85,44,0.6804510485149514
2742,11,28,0.3489023722333603
2750,98,40,0.4352573943949543
2782,33,88,0.6652851591948565
2806,82,17,0.5189360988185816
2863,83,87,0.6276305654053947
2878,24,14,0.5305713395758731
3051,7,89,0.5283410496637784
3062,90,33,0.538845210162274
3122,25,25,0.644720632727569
3196,22,16,0.3823135414121793
3215,44,82,
3259,87,95,0.6416974539431612
3318,38,20,
3329,91,61,0.5048229212953953
3378,92,53,0.4165477039484077
3449,69,73,
3493,81,1,0.6267959870218385
3503,47,45,
3510,58,2,0.5142871414386926
3546,33,35,
3597,57,59,
3628,97,57,0.642161620068658
3670,15,73,0.390800767200683
3721,46,2,0.50385633229849
3838,24,88,0.6431179185420637
3853,63,29,0.47193291934668163
3877,3,59,0.34823808210263163
3955,52,21,0.4933160436679065
4004,58,9,0.44970754246813804
4008,60,45,
4023,43,18,0.6399724738435348
4062,7,75,0.5820383999639092
4067,11,94,0.6009754549753645
4079,68,3,0.4392817740291589
4170,95,68,0.5869921011984511
4222,29,41,0.39676529787933373
4236,54,21,0.49490321187475156
4273,86,36,0.5315570802996994
4287,51,4,0.47858589225547643
4312,39,71,
4314,49,56,
4320,0,61,0.4053895331141946
4329,19,26,0.5831341192030361
