,x,y,value
54,3,0,0.21921407396738224
95,11,56,-0.8183965444855559
99,65,77,
108,1,12,0.6977995258680048
119,34,92,-0.6224065343372778
167,43,47,
212,61,32,0.25018200159509485
217,61,59,
241,10,87,-0.1741078977549665
274,81,73,0.22923733578362526
277,30,17,
316,72,0,0.8302916831223004
353,1,75,0.7622125446435384
402,45,80,
427,54,47,
457,51,47,
522,54,93,0.2355722388180801
541,18,4,0.634173953090786
562,16,59,-0.10099945027431323
574,31,55,
619,45,6,-0.16542674489191633
627,99,43,0.46990790193366605
642,61,61,
667,93,71,-0.16604565454592646
687,64,37,
717,80,40,-0.4072769829483729
757,94,65,0.22226788440364786
815,41,32,
827,20,70,0.3686093009187128
888,38,86,0.2485976527010081
904,26,36,-0.022789303151313667
920,92,34,-0.8481879499855853
936,67,15,-0.5158879868910029
940,82,93,-0.30499639194218453
1036,75,18,-0.45421641201969865
1045,11,53,0.880844404686953
1050,50,6,-0.9600170177932025
1063,34,15,
1107,12,62,-0.5207746080621454
1135,62,68,
1138,99,66,-0.8461548012471168
1147,76,31,-0.9028643558108778
1149,30,6,-0.770691786644581
1201,88,50,-0.723795284090273
1231,13,27,-0.026121417229605592
1327,52,45,
1355,4,49,-0.20544078663143583
1426,89,22,0.9686859502888601
1485,48,24,0.1629192933156498
1538,22,49,0.1630799642988534
1559,71,66,-0.006007245607652534
1704,71,96,-0.0010682204625854785
1812,94,95,-0.2885015603655322
1886,68,56,
1967,3,98,-0.1795638792660771
2023,36,52,
2063,27,80,-0.10086293658901613
2067,31,11,
2070,11,14,-0.13113993914027433
2074,41,24,
2080,54,81,
2094,33,56,
2121,36,36,
2172,14,40,
2211,85,43,0.4867524184677636
2234,96,98,0.5810393357287005
2242,10,52,0.04983294054780374
2294,88,0,-0.7500740429569605
2317,60,75,
2369,9,91,-0.6119731401062964
2481,94,62,-0.2661103711392604
2520,37,89,-0.5072240943417172
2540,77,58,-0.050306715871797025
2595,8,83,0.24902658144125867
2603,82,69,-0.9545252850234397
2613,0,92,1.9587186331770923e-05
2615,99,52,-0.13794767660945484
2661,18,17,0.26697856390167773
2673,1,5,0.23457887357771767
2694,69,56,
2705,72,79,
2715,32,72,
