,x,y,value
13,75,69,0.6214718324873381
43,69,4,0.4025808092765907
143,98,93,0.5480530287307785
227,92,90,0.44442231673773636
229,97,19,0.6350121280557763
267,74,18,0.5773526873257172
268,75,50,0.617763358406231
297,15,71,0.40960572065850365
354,60,37,0.5816142923745693
356,66,53,
405,9,53,0.32577757601209345
427,58,55,
444,86,37,0.5989159733231302
469,54,56,
485,98,38,0.631245419760749
525,55,21,0.40685017940339024
559,61,35,0.36453325976751233
586,97,2,0.45172368057282547
587,19,77,0.4487684176658548
594,82,96,0.4729241118302305
602,14,10,0.3397287331399235
624,18,29,0.35449095382623264
673,4,43,0.5143872810448938
721,96,43,0.5778191162924703
741,64,96,0.46094060021728717
754,58,16,0.3554355210499679
767,35,5,0.5012817458510429
770,92,31,0.6222264704976106
783,98,33,0.5049064824749694
825,28,19,0.5882714116792023
830,21,31,0.5735951679195005
836,53,19,0.6059210562176441
862,0,51,0.535891116077375
865,57,88,
866,56,26,0.5634044757774591
916,95,53,0.3849625953330226
951,59,23,0.41154874518970774
960,60,25,0.6110725465729365
994,17,35,0.3334641775456568
1093,88,52,0.4790722455039318
1104,53,55,
1133,23,18,0.5418395353187682
1168,91,84,0.41352705868162165
1191,18,28,0.32649921747755417
1210,20,94,0.5800138710571572
1212,62,51,
1228,82,68,0.5538892187172919
1241,30,41,0.33189137769027593
1263,40,53,
1274,36,57,
1276,34,87,0.5378956035175997
1305,25,41,0.3283095891851567
1359,23,24,0.5110310733667153
1468,79,4,0.4092242464776724
1471,79,81,
1521,43,51,
1547,51,59,
1563,17,85,0.3229374237150836
1593,88,88,0.6307237984653548
1613,7,37,
1627,3,80,0.42683593410625176
1636,71,21,0.4177406618195465
1689,48,10,0.36397207503055506
1702,7,67,0.3765835786415763
1711,95,30,0.5248942118356907
1735,99,12,0.6173537659509283
1736,17,65,0.3779849330238696
1791,80,13,0.6135521778268912
1796,97,92,0.4242865287186199
1806,2,70,0.523141226706348
1811,11,46,0.39064620480662415
1831,94,78,0.392226066107899
1854,24,85,0.3279780000693165
1859,61,0,0.6129045644922037
1861,54,49,
1904,3,44,0.5716857213401556
1969,91,78,0.39033247370324875
1970,79,25,0.6238244079300028
2002,87,33,0.4979643103313752
2028,9,24,0.5009261563945065
2067,38,63,
2075,52,39,
2085,78,27,0.45573215043294824
2089,47,0,0.6032127049654197
2093,7,45,0.5126738918713548
2101,85,21,0.42694794326719265
2296,51,96,0.45199653497559683
2299,75,51,0.5886934986914957
2316,78,21,0.42238572303146604
2358,26,55,
2377,69,65,
2380,84,2,0.4434688549238076
2388,11,9,0.32815815576381124
2446,49,57,
2529,89,12,0.6110724365303313
2548,5,93,0.4841015938782146
2555,70,14,0.5063718399724768
2589,62,46,
2618,75,95,0.5871304066423562
2624,29,1,0.5304849228530588
2633,15,75,0.570182594829543
2656,55,96,0.4547709959362906
2680,34,27,
2695,23,91,0.3259558620519247
2702,20,44,0.5839780094254806
2743,62,49,
2772,40,40,
2774,82,28,0.3708750892362049
2795,62,73,
2814,77,48,0.4096698227392199
2875,14,87,0.5235351927067657
2890,19,68,0.5102343445078241
2891,13,50,0.5743754900691631
2910,67,89,0.5530749821118204
2918,6,5,0.48042062123437307
2986,25,8,0.43814284414663524
3034,23,69,0.5852950593437274
3104,29,21,0.38853139752513904
3105,97,54,0.3978190461027605
3136,43,71,
3141,29,19,0.5889871676246963
3150,2,5,0.47752210327824496
3247,74,81,
3313,61,36,0.465741166687899
3372,9,26,0.5299866854555078
3381,69,19,0.6168550358843579
3444,47,79,
3534,2,9,0.3216396774168955
3540,43,24,
3549,35,91,0.33453951204764465
3568,27,34,0.34784907463134707
3639,61,49,
3640,94,0,0.6346103007844524
3702,85,34,0.38769775613021323
3713,7,23,0.3746183072968515
3732,46,72,
3737,63,21,0.41233959828824607
3743,21,37,0.5541125719098208
3761,68,26,0.5715899543739218
3805,73,13,0.6089300740059171
3825,17,36,0.43467208446604355
3849,17,91,0.32163393968568593
3862,26,82,0.5817462780654095
3914,13,33,0.44674591114245743
4003,22,3,0.3258074886716013
4005,24,89,0.522969736947914
4010,75,87,
4024,81,45,0.5643505795695624
4035,57,78,
4088,83,92,0.41538348041070755
4168,86,61,0.4653797188141599
4275,1,7,0.5381486836867623
4276,70,70,
4296,14,6,0.5744725830606683
4301,45,96,0.4478015038651571
4332,5,21,0.3712259876344124
4334,3,4,0.3559582497827431
4348,50,84,
4398,9,70,0.5282123023112173
4583,9,82,0.5694870272395076
4588,30,56,
4612,80,71,0.45484158456337853
4623,72,79,
4670,92,20,0.556123411173759
4719,58,4,0.39509992450188647
4757,26,16,0.3328994202414861
4764,3,21,0.36977670629095305
4806,36,73,
4856,96,22,0.37493138630076206
4869,71,65,0.4158195708617333
4927,53,0,0.6073947444067522
4947,69,53,
4950,13,79,0.3315823834286593
4958,63,65,
4971,24,50,0.5823052392506145
5007,86,30,0.5191786857164258
5010,45,72,
5028,46,97,0.3513413909324554
5111,91,2,0.44795457270774314
5136,1,58,0.45533762820951085
5188,34,41,0.3347449169628151
5207,29,24,0.5153345245439327
5267,71,7,0.5875621889967217
5275,65,9,0.36628629095713505
5423,1,15,0.3406732915824041
5432,50,10,0.36536833246065326
5438,67,73,
5457,6,74,0.4658153784352325
5460,79,29,0.3969062332734356
5513,69,18,0.5740108547556471
5517,49,6,0.5994145950123494
5566,20,22,0.32306715372839556
5654,81,10,0.3863406064809767
5675,54,9,0.3587460514051194
5695,89,17,0.4650762585408324
5739,22,55,0.45785687076082976
5861,53,27,0.43881171351956916
5935,25,25,0.5864464239526338
5978,93,4,0.41823317119603565
6015,69,2,0.43356658840140705
6093,96,24,0.5607363539674383
6120,98,9,0.38776514613302837
6123,14,53,0.3293941826117184
6127,72,8,0.4708871741007349
6133,96,13,0.6237874329532468
6151,23,32,0.564528824063661
6164,70,84,
6206,11,29,0.34943396240531266
6244,97,74,0.5284212646644797
6245,18,87,0.5264229802701073
6246,16,73,0.35459575562294604
6369,78,2,0.4395530456480725
6401,76,24,0.547869837948012
6434,58,6,0.605651328095427
6472,88,38,0.6249441040017552
6497,68,25,0.6165080032382474
6502,93,80,0.48911085551954425
6509,35,12,0.5743689609222618
6510,68,84,
6545,83,34,0.38640312251132725
6578,59,61,
6595,22,53,0.3351633258615331
6611,93,17,0.467612814293367
6619,72,14,0.5077101617337945
6660,96,94,0.6318781036295237
6722,67,59,
6724,26,53,0.3380368268379953
6767,34,92,0.3818302175485726
6794,40,28,
6837,69,29,0.3902627960723539
6862,66,87,0.5601714849497053
6884,21,77,0.45020911774206007
6940,21,85,0.32582052089746827
6980,70,71,
7013,91,86,0.45218805611210294
7090,89,8,0.48199319708983296
7107,72,97,0.36916796393910833
7121,8,18,0.5310106039224731
7140,21,11,0.45482778740150637
7145,42,5,0.5062395803050349
7226,55,76,
7239,31,11,
7304,50,6,0.6001121823813981
7395,84,61,0.46408872854398403
7423,61,59,
7424,60,4,0.3964723851206061
7429,43,72,
7491,64,42,
7506,77,83,
7510,49,60,
7520,78,24,0.5491888500502597
7521,1,18,0.5259387454804335
7528,11,39,
7554,98,57,0.6240426854370423
7608,37,86,0.4156331453575242
7611,16,48,0.3671270151853068
7700,42,81,
7713,56,61,
7728,12,96,0.4242145922958106
7771,82,74,0.5188682020055908
7794,68,94,0.613671174975006
7833,42,15,0.3701155658704507
7858,8,38,
7870,95,81,0.606102127925469
8032,1,52,0.4185232952855362
8037,17,10,0.3418951211462685
8042,15,80,0.43552133573271273
8096,38,60,
8153,58,45,
8167,20,78,0.3416142179883901
8186,27,74,0.4809641684765873
8205,32,60,
8280,74,59,0.39060089917679064
8282,91,42,0.45006313741434717
8302,52,64,
8329,93,97,0.38281054268074094
8364,63,51,
8398,30,57,
8406,81,88,0.626199201053763
8484,15,29,0.3523256382049673
8510,22,17,0.4190699658142739
8546,80,93,0.536573578066091
8557,36,42,0.41279825516275925
8576,21,27,0.41613554856554974
8628,15,58,0.46547257961733784
8630,30,94,0.5871913841945117
8644,24,63,0.5850360109403747
8693,2,34,0.32980176663386407
8717,61,15,0.38332124127635536
8730,23,73,0.3596394572886338
8731,44,3,0.34147661191218004
8742,85,48,0.41489071377026565
8758,32,99,0.4673313135040413
8770,13,44,
8786,84,3,0.3686002417536499
8790,31,39,0.49621062757976686
8795,73,8,0.4715539931394368
8826,31,25,
8885,31,96,0.43788176600678663
8897,88,27,0.46222253412946485
8948,24,37,0.5562700510816689
8969,5,24,0.49802911465320615
8991,59,17,0.445166446100161
9028,51,75,
9047,36,74,
9089,43,15,0.37082027812003604
9163,64,76,
9231,52,70,
9243,50,54,
9248,82,25,0.6257850002414507
9281,58,40,
9328,97,16,0.38107349799609047
9335,51,48,
9350,77,87,
9356,74,80,
9361,49,54,
9428,40,31,
9451,7,69,0.573741934613989
9484,4,73,0.3459129026417802
9508,1,68,0.4972130799295489
9528,22,8,0.4359869043632745
9569,91,69,0.6318543630869424
9629,22,1,0.5254623045530722
9653,96,20,0.5586362143802259
9662,5,11,0.4432646538718513
9667,28,9,0.3404033652256969
9669,44,22,0.34017606181784876
9758,30,93,0.5021221137574348
9842,84,37,0.5976249830529543
9866,43,96,0.4463949595801193
9946,43,28,
9968,51,99,0.48073233059145853
10040,85,28,0.37281973720606754
10058,55,48,
10110,91,76,0.6097975324881466
10130,10,96,0.4227676590772759
10166,14,16,0.3242567760152092
10169,99,13,0.6256506073769101
10191,77,61,0.4595142484729298
10222,33,87,0.5371832978599169
10224,46,42,
10228,20,49,0.4927480173372322
10231,98,2,0.4523447451035829
10239,19,72,0.326614226490207
10264,58,77,
10297,83,21,0.4256533096483067
10316,33,27,
10341,41,54,
10372,79,75,0.6147631898980113
10411,46,8,0.453060601094082
10417,85,74,0.5208128499754534
10502,91,20,0.5554902375227181
10516,25,42,0.4049406063317238
10521,10,79,0.32941237481857033
10535,6,91,0.31367838743097487
10591,46,39,
10605,77,8,0.47420517737426887
10631,3,88,0.5716243980283251
10646,96,67,0.43784198397203755
10673,37,63,
10688,7,70,0.5267640945536878
10728,41,32,
10856,22,60,0.33071042069018053
10879,41,24,
10916,67,99,0.49170845764858423
10962,58,74,
10979,8,3,0.31569772439807536
10990,66,47,
11011,82,70,0.5790925682328345
11023,50,59,
11067,20,99,0.4587256065250401
11100,93,38,0.6281196249780181
11147,23,12,0.5657853109265419
11158,41,68,
11159,40,44,
11196,11,6,0.5723033792030899
11206,59,86,
11224,13,91,0.31874476685846764
11243,46,38,
11330,28,88,0.5896633333170171
11334,96,60,0.3811348684136726
11359,66,69,
11436,78,26,0.5782493791112608
11460,17,97,0.33066493895817817
11465,96,8,0.48641135208676645
11469,63,45,
11478,49,97,0.3534405629035141
11490,57,61,
11542,8,52,0.4235951537275757
11591,75,56,0.6031840687159337
11647,21,53,0.3344436678004481
11711,76,6,0.6177996580145488
11716,53,97,0.3562242010945823
11734,81,0,0.6262809676050562
