,x,y,value
21,50,27,78.0
34,46,79,
71,55,69,
74,27,52,78.0
104,51,62,
116,62,8,78.0
130,85,45,78.67500000000001
216,46,63,
257,12,43,
259,83,18,78.0
373,86,87,78.0
395,36,9,78.0
420,75,48,78.0
477,32,51,
493,66,87,78.0
587,28,97,78.0
614,90,2,78.0
619,66,99,78.0
707,60,1,78.0
716,82,16,78.0
724,20,21,78.0
771,89,33,78.0
781,81,57,78.67500000000001
803,13,0,78.0
819,65,35,
839,54,29,78.0
893,27,85,78.0
894,4,57,78.0
928,36,10,78.0
930,79,70,78.0
977,61,61,
1025,23,11,78.0
1044,64,28,78.225
1082,50,3,78.0
1112,40,57,
1134,76,34,78.225
1140,32,67,
1175,10,2,78.0
1211,26,70,78.0
1219,65,29,78.225
1228,59,24,78.0
1321,61,31,78.0
1322,96,99,78.9
1345,55,49,
1393,3,16,78.0
1399,85,66,78.0
1430,35,6,78.0
1535,98,8,78.0
1545,13,9,78.0
1561,13,56,78.0
1599,66,36,
1769,57,74,
1829,64,97,78.0
1858,44,15,78.0
1916,83,69,78.0
2005,56,30,78.0
2039,34,50,
2093,97,45,78.0
2120,39,73,
2156,57,43,
2256,59,59,
2282,34,22,
2289,79,36,78.0
2339,59,65,
2357,77,74,78.0
2373,54,22,78.0
2383,82,61,78.0
2395,59,26,78.0
2450,46,61,
2461,38,90,78.0
2463,41,94,78.0
2498,40,78,
2543,25,33,78.0
2590,28,99,78.0
2610,32,2,78.0
2619,89,2,78.0
2656,57,64,
2668,16,19,78.0
2740,64,18,78.0
2805,70,96,78.0
2844,70,8,78.0
2875,81,3,78.0
2928,24,70,78.0
2939,26,87,78.0
2960,14,84,78.0
2963,28,37,78.0
3070,87,76,78.0
3087,40,95,78.0
3088,14,75,78.0
3102,12,82,78.0
3116,94,25,78.0
3149,63,99,78.0
3155,25,7,78.0
3173,60,35,78.0
3187,39,98,78.0
3211,3,87,78.0
3224,45,11,78.0
3246,75,78,
3252,99,5,78.0
3349,22,80,78.0
3350,53,44,
3436,27,5,78.0
3444,33,98,78.0
3605,63,17,78.0
3647,30,67,
3671,92,10,78.0
3709,61,35,78.0
3722,98,66,78.0
3768,86,65,78.0
3772,76,17,78.0
3868,59,5,78.0
3884,22,82,78.0
3989,97,9,78.0
4039,53,49,
4056,63,80,
4123,74,50,78.0
4134,74,54,78.0
4141,4,97,78.0
4158,19,60,78.0
4165,51,73,
4186,24,41,78.0
4187,9,51,78.0
4198,9,7,78.0
4241,21,75,78.0
4245,71,32,78.225
4257,20,61,78.0
4269,89,64,78.0
4295,8,89,78.0
4296,66,30,78.225
4322,69,32,78.225
4330,90,18,78.0
4405,87,24,78.0
4415,1,2,78.45
4478,50,37,
4501,35,74,
4516,56,38,
4553,86,48,78.67500000000001
4579,66,52,
4627,90,92,78.9
4656,85,37,78.0
4719,39,96,78.0
4780,20,19,78.0
4792,64,47,
4812,92,42,78.0
4814,99,9,78.0
4825,83,40,78.0
4846,43,26,
4882,98,79,78.0
5022,66,26,78.225
5046,20,55,78.0
5049,22,35,78.0
5066,47,99,78.0
5079,47,52,
5114,15,45,78.0
5137,1,77,78.0
5153,36,91,78.0
5166,44,52,
5189,83,77,78.0
5204,22,53,78.0
5277,48,38,
5305,88,39,78.0
5306,94,60,78.0
5309,71,58,78.0
5324,47,90,78.0
5330,60,57,
5350,33,0,78.0
5380,85,10,78.0
5381,11,45,78.0
5393,84,38,78.0
5399,4,6,78.0
5403,12,77,78.0
5423,22,63,78.0
5531,71,46,78.0
5549,85,89,78.0
5559,93,53,78.67500000000001
5648,60,43,
5652,91,65,78.0
5673,42,80,
5675,78,92,78.0
5713,41,69,
5717,73,31,78.225
5793,62,77,
5808,22,20,78.0
5889,2,10,78.0
5916,63,12,78.0
5919,54,55,
5967,47,11,78.0
5996,35,97,78.0
6015,59,57,
6050,98,90,78.0
6094,30,19,
6112,6,58,78.0
6121,12,67,78.0
6171,67,61,
6176,78,82,
6184,89,78,78.0
6231,59,18,78.0
6255,59,87,
6270,32,58,
6342,35,11,78.0
6353,88,31,78.0
6361,28,30,78.0
6385,32,92,78.0
6408,84,32,78.0
6416,40,60,
6504,90,75,78.0
6526,35,59,
6540,55,55,
6566,36,19,
6613,95,37,78.0
6617,54,71,
6666,60,8,78.0
6712,82,13,78.0
6721,45,14,78.0
6726,10,31,78.0
6751,92,71,78.0
6852,90,7,78.0
6984,93,60,78.0
7012,83,74,78.0
7037,27,91,78.0
7089,77,80,
7098,67,17,78.0
7159,79,57,78.67500000000001
7190,9,37,
7204,29,30,78.0
7208,20,12,78.0
7231,21,8,78.0
7236,23,12,78.0
7254,66,85,
7267,89,90,78.0
7271,9,19,78.0
7300,84,29,78.0
7311,39,88,78.0
7320,49,58,
7343,29,10,78.0
7382,62,27,78.0
7398,55,42,
7416,1,23,78.0
7439,61,14,78.0
7451,3,33,78.0
7484,89,60,78.0
7583,85,18,78.0
7629,10,60,78.0
7665,30,38,78.0
7666,57,19,78.0
7687,28,58,
7731,71,12,78.0
7764,17,63,78.0
7793,93,21,78.0
7804,38,64,
7869,26,20,78.0
7882,75,81,
7892,95,51,78.0
7945,72,75,
7984,48,24,78.0
7985,16,41,78.0
8015,88,4,78.0
8022,46,78,
8041,41,85,
8045,71,14,78.0
8053,99,70,78.0
8058,16,44,78.0
8062,93,35,78.0
8072,95,89,78.0
8101,95,99,78.9
8110,36,74,
8122,26,21,78.0
8160,98,71,78.0
8183,67,11,78.0
8186,30,21,
8249,66,21,78.0
8382,68,66,
8456,28,2,78.0
8462,22,57,78.0
8485,54,2,78.0
8510,53,78,
8516,60,69,
8575,66,33,78.225
8609,60,68,
8621,87,38,78.0
8647,35,60,
8692,28,36,78.0
8696,80,62,78.0
8738,5,14,78.0
8786,1,84,78.0
