,x,y,value
44,38,70,
64,33,60,
103,31,38,0.4041067083589845
138,35,87,0.25283736948674146
143,47,43,
171,92,17,0.7095978924822964
191,51,7,0.7484763372518817
256,15,77,0.3434885533364247
287,84,93,0.28102413947320365
289,1,50,0.3150300006421126
316,45,94,0.5114405880208845
334,88,18,0.2918769058469174
336,45,80,
346,46,75,
359,3,86,0.46811746041112373
398,6,68,0.7139151201376823
405,65,51,
416,21,34,0.3786141444454404
439,92,84,0.5910104797076301
451,70,54,0.25169152317779886
466,22,13,0.25000036984078744
484,24,56,0.42543349463820496
573,5,22,0.2591084335141346
626,83,24,0.2854930798767194
670,68,81,
680,70,35,0.6747453609760155
685,65,76,
800,28,30,0.3384194224882483
839,36,15,0.5738584623444486
848,99,37,0.6028785495429057
859,70,0,0.3549085678006566
879,55,9,0.55404097352189
888,54,84,
921,85,48,0.3391758294510275
924,72,94,0.41770151610535794
926,73,72,0.7491845619831167
930,7,39,
941,42,41,
948,70,90,0.732454466148746
961,83,36,0.3268657223377374
966,23,0,0.40082177624954335
970,4,53,0.25219381001025326
974,79,35,0.25321794642989054
991,51,44,
994,51,73,
1069,42,84,
1081,94,85,0.7181019866635446
1105,81,66,0.7499272394974167
1157,66,89,0.25067123457130075
1170,37,33,
1182,3,68,0.7071191026165989
1207,81,65,0.29623200242407227
1216,8,77,0.2802444480194672
1230,74,45,0.27734850888383805
1275,85,41,0.7395165418591608
1309,55,73,
1330,6,80,0.5388752949322724
1341,50,53,
1346,24,10,0.7311982208626796
1347,36,78,0.7349186415372365
1365,19,72,0.25048463375882973
1372,58,41,
1377,13,46,0.39593245702956237
1411,20,51,0.7137415112236252
1477,77,85,
1484,45,41,
1590,28,29,0.5602653699969912
1593,5,43,0.25426902024801507
1597,57,10,0.6556147140196916
1620,85,18,0.5351720993385621
1669,36,88,0.6848865222848325
1683,56,1,0.5182998401426407
1714,41,42,
1722,35,89,0.4105693419470453
1784,49,67,
1819,37,4,0.7374135391642361
1860,66,14,0.6836453160642731
1891,67,92,0.6117931532529419
2020,57,82,
2147,94,69,0.274353351327274
2172,82,42,0.31246197313922486
2201,75,55,0.27171143267436426
2205,54,75,
2216,96,52,0.4824923639161583
2261,91,56,0.4233281585729451
2290,13,53,0.2529308787275746
2299,43,18,0.6347302641395374
2397,45,23,0.4420858913139393
2421,65,2,0.6988580530183323
2441,5,20,0.7035430700191063
2461,73,45,0.7388018237334388
2473,80,46,0.2500975680566578
2483,78,26,0.6724954249935516
2491,40,61,
2527,12,52,0.7416320988270164
2534,54,33,0.7329511276401253
2613,91,63,0.25006526930613243
2615,46,44,
2617,60,13,0.35113682522911993
2649,26,55,
2663,44,98,0.2944468325933043
2701,59,56,
2795,31,67,
2847,63,74,
2851,22,73,0.33188757337329283
2867,34,22,
2887,13,45,0.6062150962859558
2921,87,79,0.4214995980519589
2923,26,43,0.7344869466969071
2935,99,66,0.7419771635563229
2955,46,19,0.4359365075586395
3004,33,39,0.25334924175688706
3077,12,63,0.7464102789237108
3107,24,80,0.729698711545143
3110,32,63,
3111,24,96,0.36822802829079776
3115,84,70,0.49929271634679984
3139,5,68,0.40495541426397413
