,x,y,value
4,8,36,
9,15,16,-987.0
25,55,36,
52,31,83,-987.0
71,43,50,
72,56,75,
91,93,37,-987.0
126,40,28,
210,50,79,
250,72,82,
260,0,60,-987.0
350,20,37,-987.0
352,19,55,-987.0
362,29,14,-987.0
442,18,71,-987.0
454,79,40,-987.0
455,9,79,-987.0
496,14,71,-987.0
500,65,65,
528,37,85,-987.0
559,79,85,
569,76,32,-987.0
572,51,25,-987.0
668,9,8,-987.0
725,26,27,-987.0
733,6,77,-987.0
746,89,98,-987.0
792,32,10,-987.0
813,17,0,-987.0
876,44,86,
892,4,84,-987.0
913,86,4,-987.0
936,31,1,-987.0
1029,60,77,
1036,34,23,
1041,15,72,-987.0
1049,60,48,
1060,6,63,-987.0
1073,30,92,-987.0
1083,96,57,-987.0
1102,65,13,-987.0
1103,27,84,-987.0
1135,5,89,-987.0
1172,12,30,-987.0
1190,67,58,
1228,63,99,-987.0
1231,77,65,-987.0
1272,66,87,-987.0
1301,51,60,
1321,51,21,-987.0
1363,64,62,
1374,41,94,-987.0
1388,92,42,-987.0
1397,26,52,-987.0
1404,45,15,-987.0
1426,9,5,-306.0
1479,70,33,-987.0
1510,20,62,-987.0
1534,71,30,-987.0
1568,53,77,
1575,13,5,-987.0
1588,80,43,-987.0
1598,39,13,-987.0
1631,57,40,
1678,9,26,-987.0
1716,82,52,-987.0
1729,36,89,-987.0
1751,39,56,
1775,78,34,-987.0
1832,50,15,-987.0
1879,49,59,
1933,75,49,-987.0
1950,98,52,-987.0
1996,55,92,-987.0
2012,41,24,
2034,30,33,
2064,89,64,-987.0
2082,10,84,-987.0
2141,64,72,
2142,17,14,-987.0
2168,23,59,-987.0
2212,1,26,-987.0
2299,71,43,-987.0
2320,72,84,
2368,72,35,-987.0
2378,76,44,-987.0
2403,56,66,
2449,0,47,-987.0
2479,31,85,-987.0
2503,6,13,-987.0
2505,62,2,-987.0
2546,21,88,-987.0
2581,6,75,-987.0
2591,56,84,
2598,2,36,-987.0
2622,52,37,
2666,52,5,-987.0
2678,35,61,
2683,1,55,-987.0
2727,96,20,-987.0
2738,89,18,-987.0
2740,88,11,-987.0
2771,66,88,-987.0
2781,98,76,-987.0
2809,52,80,
2874,21,97,-987.0
2888,19,7,-987.0
2968,4,21,-987.0
2972,44,53,
3038,94,82,-987.0
3059,84,74,-987.0
3144,31,17,
3152,26,30,-987.0
3157,65,10,-987.0
3163,82,6,-987.0
3184,76,13,-987.0
3197,88,91,-987.0
3229,21,44,-987.0
3308,36,8,-987.0
3317,20,52,-987.0
3323,20,97,-987.0
3391,62,21,-987.0
3415,74,94,-987.0
3425,68,77,
3432,94,68,-987.0
3434,39,18,-987.0
3438,15,17,-987.0
3441,34,9,-987.0
3443,70,74,
3460,12,87,-987.0
3463,15,67,-987.0
3523,97,34,-987.0
3531,66,35,
3534,16,1,-987.0
3536,50,28,-987.0
3542,52,4,-987.0
3589,11,22,-987.0
3597,84,43,-987.0
3732,32,58,
3779,97,27,-987.0
3789,96,66,-987.0
3797,82,45,-987.0
3879,76,34,-987.0
3894,32,77,-987.0
3921,19,53,-987.0
3929,3,52,-987.0
3955,81,26,-987.0
3964,94,1,-987.0
3966,25,30,-987.0
3978,13,96,-987.0
4040,84,97,-987.0
4087,77,72,-987.0
4119,99,74,-987.0
4184,55,13,-987.0
4211,71,87,
4217,82,18,-987.0
4256,98,72,-987.0
4277,42,35,
4291,54,27,-987.0
4314,34,2,-987.0
4315,66,29,-987.0
4350,20,35,-987.0
4351,9,13,-987.0
4390,88,99,-987.0
4448,82,97,-987.0
4517,82,33,-987.0
4550,33,33,
4583,26,24,-987.0
4585,18,7,-987.0
4654,3,23,-987.0
4671,39,89,-987.0
4675,33,60,
4677,23,1,-987.0
4701,68,99,-987.0
4757,47,38,
4763,9,83,-987.0
4786,47,97,-987.0
4801,98,6,-987.0
4805,9,59,-987.0
4816,51,28,-987.0
4908,41,80,
4936,23,19,-987.0
4984,84,65,-987.0
5017,7,61,-987.0
5064,67,72,
5137,4,30,-987.0
5145,96,7,-987.0
5148,49,98,-987.0
5168,5,21,-987.0
5199,92,6,-987.0
5210,98,37,-987.0
5311,79,63,-987.0
5370,11,85,-987.0
5380,24,17,-987.0
5403,91,8,-987.0
5414,93,60,-987.0
5423,51,72,
5450,1,54,-987.0
5455,46,78,
5474,66,3,-987.0
5494,75,58,-987.0
5495,75,31,-987.0
5588,62,84,
5597,31,70,
5621,28,24,-987.0
5708,54,84,
5715,62,7,-987.0
5760,35,20,
5781,81,39,-987.0
5813,76,37,-987.0
5843,69,51,
5916,54,23,-987.0
5926,8,43,
5981,60,76,
6018,84,47,-987.0
6039,75,64,-987.0
6046,55,25,-987.0
6057,62,98,-987.0
6062,27,81,-987.0
6088,85,21,-987.0
6089,22,54,-987.0
6146,94,80,-987.0
6162,59,9,-987.0
6197,3,49,-987.0
6232,51,85,
6282,18,82,148.0
6305,21,45,-987.0
6341,11,91,-987.0
6399,15,12,-987.0
6486,39,33,
