,x,y,value
48,46,28,
95,2,56,-1.0
146,19,73,-1.0
168,39,63,
169,90,66,-1.0
172,28,35,-1.0
179,58,57,
180,83,58,-1.0
199,84,2,-1.0
212,51,90,-1.0
215,53,8,-1.0
226,7,61,-1.0
251,73,18,-1.0
280,47,27,
283,51,27,-1.0
300,19,85,-1.0
306,78,74,-1.0
329,86,46,-1.0
331,53,96,-1.0
344,26,87,-1.0
402,5,57,-1.0
406,50,89,
492,18,35,-1.0
518,12,76,-1.0
540,80,19,-1.0
566,76,98,-1.0
569,43,90,-1.0
575,2,30,-1.0
584,49,36,
622,42,15,-1.0
633,21,69,-1.0
654,20,2,-1.0
700,94,46,-1.0
710,92,48,-1.0
724,3,55,-1.0
729,81,15,-1.0
767,7,25,-1.0
844,39,48,
903,4,30,-1.0
906,11,84,-1.0
916,83,63,-1.0
925,81,28,-1.0
949,40,29,
1030,1,60,-1.0
1048,3,47,-1.0
1069,43,93,-1.0
1076,14,86,-1.0
1135,51,21,-1.0
1146,5,77,-1.0
1207,36,8,-1.0
1233,17,72,-1.0
1289,95,95,-1.0
1383,76,1,-1.0
1388,35,86,-1.0
1394,11,52,-1.0
1420,26,40,-1.0
1429,6,43,
1466,13,85,-1.0
1475,97,73,-1.0
1574,49,91,-1.0
1590,22,91,-1.0
1595,49,14,-1.0
1602,55,74,
1605,13,7,-1.0
1624,40,32,
1654,10,47,-1.0
1704,92,88,0.0
1808,33,59,
1817,47,15,-1.0
1844,96,66,-1.0
1851,18,73,-1.0
1863,72,54,-1.0
1877,97,93,-1.0
1881,6,86,-1.0
1891,96,81,-1.0
1970,46,18,-1.0
1998,33,32,
2096,72,98,-1.0
2113,75,3,-1.0
2146,94,24,-1.0
2314,87,90,0.0
2340,93,96,-1.0
2343,5,17,-1.0
2345,55,14,-1.0
2392,87,19,-1.0
2407,76,96,-1.0
2445,60,92,-1.0
2505,42,69,
2533,75,15,-1.0
2559,41,12,-1.0
2561,9,84,-1.0
2568,8,41,
2610,66,92,-1.0
2616,40,86,
2626,29,41,-1.0
2640,94,31,-1.0
2647,10,31,-1.0
2674,47,0,-1.0
2754,18,46,-1.0
2778,17,32,-1.0
2796,10,34,-1.0
2860,80,3,-1.0
2864,47,65,
2914,43,67,
2921,8,60,-1.0
2932,58,4,-1.0
2945,60,11,-1.0
2950,17,50,-1.0
3000,94,74,-1.0
3002,72,71,-1.0
3007,13,71,-1.0
3019,44,14,-1.0
3078,6,4,-1.0
3114,77,66,-1.0
3115,96,93,-1.0
3126,48,36,
3190,60,14,-1.0
3250,25,85,-1.0
3272,88,92,0.0
3335,65,76,
3417,84,19,-1.0
3449,59,55,
3529,96,53,-1.0
3684,21,31,-1.0
3731,17,81,-1.0
3750,80,56,-1.0
3759,43,98,-1.0
3815,84,99,-1.0
3822,75,82,
3891,11,1,-1.0
3977,37,61,
3988,62,72,
4118,33,86,-1.0
4150,41,31,
4209,15,76,-1.0
4291,96,63,-1.0
4327,43,74,
4335,20,3,-1.0
4355,13,2,-1.0
4413,51,46,
4437,18,21,-1.0
4439,41,75,
4446,99,37,-1.0
4448,12,5,-1.0
4472,58,76,
4477,14,92,-1.0
4519,51,9,-1.0
4577,60,72,
4611,34,98,-1.0
4620,60,10,-1.0
4664,25,77,-1.0
4738,78,3,-1.0
4760,2,2,-0.5
4767,77,61,-1.0
4783,51,48,
4788,43,72,
4819,47,80,
4875,45,31,
4885,78,76,-1.0
4904,68,52,
4934,41,96,-1.0
4937,72,42,-0.30000000000000004
4996,9,81,-1.0
5024,79,17,-1.0
5056,11,57,-1.0
5071,17,14,-1.0
5200,14,82,-1.0
5203,54,17,-1.0
5210,13,22,-1.0
5247,47,17,-1.0
5291,14,30,-1.0
5330,54,68,
5359,74,57,-1.0
5377,44,5,-1.0
5382,29,51,
5401,94,37,-1.0
5402,35,21,
5467,16,71,-1.0
5499,46,72,
5545,11,86,-1.0
5568,55,46,
5580,96,90,0.0
5634,54,44,
5721,36,19,
5731,89,99,-1.0
5732,64,32,-1.0
5745,62,30,-1.0
5780,74,32,-1.0
5805,15,87,-1.0
5815,45,29,
5832,97,86,-1.0
5883,87,22,-1.0
5890,19,90,-1.0
5901,76,82,
5908,81,97,-1.0
5949,83,0,-1.0
5951,15,12,-1.0
5987,90,85,0.0
5988,79,80,
