,x,y,value
9,0,0,0
39,0,1,0
69,0,2,0
99,0,3,0
129,0,4,0
159,0,5,0
189,0,6,0
219,0,7,0
249,0,8,0
279,0,9,0
309,0,10,0
339,0,11,0
369,0,12,0
399,0,13,0
429,0,14,0
459,0,15,0
489,0,16,0
519,0,17,0
549,0,18,0
579,0,19,0
609,0,20,0
639,0,21,0
669,0,22,0
699,0,23,0
729,0,24,0
759,0,25,0
789,0,26,0
819,0,27,0
849,0,28,0
879,0,29,0
909,0,30,0
939,0,31,0
969,0,32,0
999,0,33,0
1029,0,34,0
1059,0,35,0
1089,0,36,0
1119,0,37,0
1149,0,38,0
1179,0,39,0
1209,0,40,0
1239,0,41,0
1269,0,42,0
1299,0,43,0
1329,0,44,0
1359,0,45,0
1389,0,46,0
1419,0,47,0
1449,0,48,0
1479,0,49,0
1509,0,50,0
1539,0,51,0
1569,0,52,0
1599,0,53,0
1629,0,54,0
1659,0,55,0
1689,0,56,0
1719,0,57,0
1749,0,58,0
1779,0,59,0
1809,0,60,0
1839,0,61,0
1869,0,62,0
1899,0,63,0
1929,0,64,0
1959,0,65,0
1989,0,66,0
2019,0,67,0
2049,0,68,0
2079,0,69,0
2109,0,70,0
2139,0,71,0
2169,0,72,0
2199,0,73,0
2229,0,74,0
2259,0,75,0
2289,0,76,0
2319,0,77,0
2349,0,78,0
2379,0,79,0
2409,0,80,0
2439,0,81,0
2469,0,82,0
2499,0,83,0
2529,0,84,0
2559,0,85,0
2589,0,86,0
2619,0,87,0
2649,0,88,0
2679,0,89,0
2709,0,90,0
2739,0,91,0
2769,0,92,0
2799,0,93,0
2829,0,94,0
2859,0,95,0
2889,0,96,0
2919,0,97,0
2949,0,98,0
2979,0,99,0
3009,1,0,0
3039,1,1,0
3069,1,2,0
3099,1,3,0
3129,1,4,0
3159,1,5,0
3189,1,6,0
3219,1,7,0
3249,1,8,0
3279,1,9,0
3309,1,10,0
3339,1,11,0
3369,1,12,0
3399,1,13,0
3429,1,14,0
3459,1,15,0
3489,1,16,0
3519,1,17,0
3549,1,18,0
3579,1,19,0
3609,1,20,0
3639,1,21,0
3669,1,22,0
3699,1,23,0
3729,1,24,0
3759,1,25,0
3789,1,26,0
3819,1,27,0
3849,1,28,0
3879,1,29,0
3909,1,30,0
3939,1,31,0
3969,1,32,0
3999,1,33,0
4029,1,34,0
4059,1,35,0
4089,1,36,0
4119,1,37,0
4149,1,38,0
4179,1,39,0
4209,1,40,0
4239,1,41,0
4269,1,42,0
4299,1,43,0
4329,1,44,0
4359,1,45,0
4389,1,46,0
4419,1,47,0
4449,1,48,0
4479,1,49,0
4509,1,50,0
4539,1,51,0
4569,1,52,0
4599,1,53,0
4629,1,54,0
4659,1,55,0
4689,1,56,0
4719,1,57,0
4749,1,58,0
4779,1,59,0
4809,1,60,0
4839,1,61,0
4869,1,62,0
4899,1,63,0
4929,1,64,0
4959,1,65,0
4989,1,66,0
5019,1,67,0
5049,1,68,0
5079,1,69,0
5109,1,70,0
5139,1,71,0
5169,1,72,0
5199,1,73,0
5229,1,74,0
5259,1,75,0
5289,1,76,0
5319,1,77,0
5349,1,78,0
5379,1,79,0
5409,1,80,0
5439,1,81,0
5469,1,82,0
5499,1,83,0
5529,1,84,0
5559,1,85,0
5589,1,86,0
5619,1,87,0
5649,1,88,0
5679,1,89,0
5709,1,90,0
5739,1,91,0
5769,1,92,0
5799,1,93,0
5829,1,94,0
5859,1,95,0
5889,1,96,0
5919,1,97,0
5949,1,98,0
5979,1,99,0
6009,2,0,0
6039,2,1,0
6069,2,2,0
6099,2,3,0
6129,2,4,0
6159,2,5,0
6189,2,6,0
6219,2,7,0
6249,2,8,0
6279,2,9,0
6309,2,10,0
6339,2,11,0
6369,2,12,0
6399,2,13,0
6429,2,14,0
6459,2,15,0
6489,2,16,0
6519,2,17,0
6549,2,18,0
6579,2,19,0
6609,2,20,0
6639,2,21,0
6669,2,22,0
6699,2,23,0
6729,2,24,0
6759,2,25,0
6789,2,26,0
6819,2,27,0
6849,2,28,0
6879,2,29,0
6909,2,30,0
6939,2,31,0
6969,2,32,0
6999,2,33,0
7029,2,34,0
7059,2,35,0
7089,2,36,0
7119,2,37,0
7149,2,38,0
7179,2,39,0
7209,2,40,0
7239,2,41,0
7269,2,42,0
7299,2,43,0
7329,2,44,0
7359,2,45,0
7389,2,46,0
7419,2,47,0
7449,2,48,0
7479,2,49,0
7509,2,50,0
7539,2,51,0
7569,2,52,0
7599,2,53,0
7629,2,54,0
7659,2,55,0
7689,2,56,0
7719,2,57,0
7749,2,58,0
7779,2,59,0
7809,2,60,0
7839,2,61,0
7869,2,62,0
7899,2,63,0
7929,2,64,0
7959,2,65,0
7989,2,66,0
8019,2,67,0
8049,2,68,0
8079,2,69,0
8109,2,70,0
8139,2,71,0
8169,2,72,0
8199,2,73,0
8229,2,74,0
8259,2,75,0
8289,2,76,0
8319,2,77,0
8349,2,78,0
8379,2,79,0
8409,2,80,0
8439,2,81,0
8469,2,82,0
8499,2,83,0
8529,2,84,0
8559,2,85,0
8589,2,86,0
8619,2,87,0
8649,2,88,0
8679,2,89,0
8709,2,90,0
8739,2,91,0
8769,2,92,0
8799,2,93,0
8829,2,94,0
8859,2,95,0
8889,2,96,0
8919,2,97,0
8949,2,98,0
8979,2,99,0
9009,3,0,0
9039,3,1,0
9069,3,2,0
9099,3,3,0
9129,3,4,0
9159,3,5,0
9189,3,6,0
9219,3,7,0
9249,3,8,0
9279,3,9,0
9309,3,10,0
9339,3,11,0
9369,3,12,0
9399,3,13,0
9429,3,14,0
9459,3,15,0
9489,3,16,0
9519,3,17,0
9549,3,18,0
9579,3,19,0
9609,3,20,0
9639,3,21,0
9669,3,22,0
9699,3,23,0
9729,3,24,0
9759,3,25,0
9789,3,26,0
9819,3,27,0
9849,3,28,0
9879,3,29,0
9909,3,30,0
9939,3,31,0
9969,3,32,0
9999,3,33,0
10029,3,34,0
10059,3,35,0
10089,3,36,0
10119,3,37,0
10149,3,38,0
10179,3,39,0
10209,3,40,0
10239,3,41,0
10269,3,42,0
10299,3,43,0
10329,3,44,0
10359,3,45,0
10389,3,46,0
10419,3,47,0
10449,3,48,0
10479,3,49,0
10509,3,50,0
10539,3,51,0
10569,3,52,0
10599,3,53,0
10629,3,54,0
10659,3,55,0
10689,3,56,0
10719,3,57,0
10749,3,58,0
10779,3,59,0
10809,3,60,0
10839,3,61,0
10869,3,62,0
10899,3,63,0
10929,3,64,0
10959,3,65,0
10989,3,66,0
11019,3,67,0
11049,3,68,0
11079,3,69,0
11109,3,70,0
11139,3,71,0
11169,3,72,0
11199,3,73,0
11229,3,74,0
11259,3,75,0
11289,3,76,0
11319,3,77,0
11349,3,78,0
11379,3,79,0
11409,3,80,0
11439,3,81,0
11469,3,82,0
11499,3,83,0
11529,3,84,0
11559,3,85,0
11589,3,86,0
11619,3,87,0
11649,3,88,0
11679,3,89,0
11709,3,90,0
11739,3,91,0
11769,3,92,0
11799,3,93,0
11829,3,94,0
11859,3,95,0
11889,3,96,0
11919,3,97,0
11949,3,98,0
11979,3,99,0
12009,4,0,0
12039,4,1,0
12069,4,2,0
12099,4,3,0
12129,4,4,0
12159,4,5,0
12189,4,6,0
12219,4,7,0
12249,4,8,0
12279,4,9,0
12309,4,10,0
12339,4,11,0
12369,4,12,0
12399,4,13,0
12429,4,14,0
12459,4,15,0
12489,4,16,0
12519,4,17,0
12549,4,18,0
12579,4,19,0
12609,4,20,0
12639,4,21,0
12669,4,22,0
12699,4,23,0
12729,4,24,0
12759,4,25,0
12789,4,26,0
12819,4,27,0
12849,4,28,0
12879,4,29,0
12909,4,30,0
12939,4,31,0
12969,4,32,0
12999,4,33,0
13029,4,34,0
13059,4,35,0
13089,4,36,0
13119,4,37,0
13149,4,38,0
13179,4,39,0
13209,4,40,0
13239,4,41,0
13269,4,42,0
13299,4,43,0
13329,4,44,0
13359,4,45,0
13389,4,46,0
13419,4,47,0
13449,4,48,0
13479,4,49,0
13509,4,50,0
13539,4,51,0
13569,4,52,0
13599,4,53,0
13629,4,54,0
13659,4,55,0
13689,4,56,0
13719,4,57,0
13749,4,58,0
13779,4,59,0
13809,4,60,0
13839,4,61,0
13869,4,62,0
13899,4,63,0
13929,4,64,0
13959,4,65,0
13989,4,66,0
14019,4,67,0
14049,4,68,0
14079,4,69,0
14109,4,70,0
14139,4,71,0
14169,4,72,0
14199,4,73,0
14229,4,74,0
14259,4,75,0
14289,4,76,0
14319,4,77,0
14349,4,78,0
14379,4,79,0
14409,4,80,0
14439,4,81,0
14469,4,82,0
14499,4,83,0
14529,4,84,0
14559,4,85,0
14589,4,86,0
14619,4,87,0
14649,4,88,0
14679,4,89,0
14709,4,90,0
14739,4,91,0
14769,4,92,0
14799,4,93,0
14829,4,94,0
14859,4,95,0
14889,4,96,0
14919,4,97,0
14949,4,98,0
14979,4,99,0
15009,5,0,0
15039,5,1,0
15069,5,2,0
15099,5,3,0
15129,5,4,0
15159,5,5,0
15189,5,6,0
15219,5,7,0
15249,5,8,0
15279,5,9,0
15309,5,10,0
15339,5,11,0
15369,5,12,0
15399,5,13,0
15429,5,14,0
15459,5,15,0
15489,5,16,0
15519,5,17,0
15549,5,18,0
15579,5,19,0
15609,5,20,0
15639,5,21,0
15669,5,22,0
15699,5,23,0
15729,5,24,0
15759,5,25,0
15789,5,26,0
15819,5,27,0
15849,5,28,0
15879,5,29,0
15909,5,30,0
15939,5,31,0
15969,5,32,0
15999,5,33,0
16029,5,34,0
16059,5,35,0
16089,5,36,0
16119,5,37,0
16149,5,38,0
16179,5,39,0
16209,5,40,1
16239,5,41,0
16269,5,42,0
16299,5,43,0
16329,5,44,0
16359,5,45,0
16389,5,46,0
16419,5,47,0
16449,5,48,0
16479,5,49,0
16509,5,50,0
16539,5,51,0
16569,5,52,0
16599,5,53,0
16629,5,54,0
16659,5,55,0
16689,5,56,0
16719,5,57,0
16749,5,58,0
16779,5,59,0
16809,5,60,0
16839,5,61,0
16869,5,62,0
16899,5,63,0
16929,5,64,0
16959,5,65,0
16989,5,66,0
17019,5,67,0
17049,5,68,0
17079,5,69,0
17109,5,70,0
17139,5,71,0
17169,5,72,0
17199,5,73,0
17229,5,74,0
17259,5,75,0
17289,5,76,0
17319,5,77,0
17349,5,78,0
17379,5,79,0
17409,5,80,0
17439,5,81,0
17469,5,82,0
17499,5,83,0
17529,5,84,0
17559,5,85,0
17589,5,86,0
17619,5,87,0
17649,5,88,0
17679,5,89,0
17709,5,90,0
17739,5,91,0
17769,5,92,0
17799,5,93,0
17829,5,94,0
17859,5,95,0
17889,5,96,0
17919,5,97,0
17949,5,98,0
17979,5,99,0
18009,6,0,0
18039,6,1,0
18069,6,2,0
18099,6,3,0
18129,6,4,0
18159,6,5,0
18189,6,6,0
18219,6,7,0
18249,6,8,0
18279,6,9,0
18309,6,10,0
18339,6,11,0
18369,6,12,0
18399,6,13,0
18429,6,14,0
18459,6,15,0
18489,6,16,0
18519,6,17,0
18549,6,18,0
18579,6,19,0
18609,6,20,0
18639,6,21,0
18669,6,22,0
18699,6,23,0
18729,6,24,0
18759,6,25,0
18789,6,26,0
18819,6,27,0
18849,6,28,0
18879,6,29,0
18909,6,30,0
18939,6,31,0
18969,6,32,0
18999,6,33,0
19029,6,34,0
19059,6,35,0
19089,6,36,0
19119,6,37,1
19149,6,38,1
19179,6,39,1
19209,6,40,1
19239,6,41,1
19269,6,42,1
19299,6,43,1
19329,6,44,0
19359,6,45,0
19389,6,46,0
19419,6,47,0
19449,6,48,0
19479,6,49,0
19509,6,50,0
19539,6,51,0
19569,6,52,0
19599,6,53,0
19629,6,54,0
19659,6,55,0
19689,6,56,0
19719,6,57,0
19749,6,58,0
19779,6,59,0
19809,6,60,0
19839,6,61,0
19869,6,62,0
19899,6,63,0
19929,6,64,0
19959,6,65,0
19989,6,66,0
20019,6,67,0
20049,6,68,0
20079,6,69,0
20109,6,70,0
20139,6,71,0
20169,6,72,0
20199,6,73,0
20229,6,74,0
20259,6,75,0
20289,6,76,0
20319,6,77,0
20349,6,78,0
20379,6,79,0
20409,6,80,0
20439,6,81,0
20469,6,82,0
20499,6,83,0
20529,6,84,0
20559,6,85,0
20589,6,86,0
20619,6,87,0
20649,6,88,0
20679,6,89,0
20709,6,90,0
20739,6,91,0
20769,6,92,0
20799,6,93,0
20829,6,94,0
20859,6,95,0
20889,6,96,0
20919,6,97,0
20949,6,98,0
20979,6,99,0
21009,7,0,0
21039,7,1,0
21069,7,2,0
21099,7,3,0
21129,7,4,0
21159,7,5,0
21189,7,6,0
21219,7,7,0
21249,7,8,0
21279,7,9,0
21309,7,10,0
21339,7,11,0
21369,7,12,0
21399,7,13,0
21429,7,14,0
21459,7,15,0
21489,7,16,0
21519,7,17,0
21549,7,18,0
21579,7,19,0
21609,7,20,0
21639,7,21,0
21669,7,22,0
21699,7,23,0
21729,7,24,0
21759,7,25,0
21789,7,26,0
21819,7,27,0
21849,7,28,0
21879,7,29,0
21909,7,30,0
21939,7,31,0
21969,7,32,0
21999,7,33,0
22029,7,34,0
22059,7,35,0
22089,7,36,1
22119,7,37,1
22149,7,38,1
22179,7,39,1
22209,7,40,1
22239,7,41,1
22269,7,42,1
22299,7,43,1
22329,7,44,1
22359,7,45,0
22389,7,46,0
22419,7,47,0
22449,7,48,0
22479,7,49,0
22509,7,50,0
22539,7,51,0
22569,7,52,0
22599,7,53,0
22629,7,54,0
22659,7,55,0
22689,7,56,0
22719,7,57,0
22749,7,58,0
22779,7,59,0
22809,7,60,0
22839,7,61,0
22869,7,62,0
22899,7,63,0
22929,7,64,0
22959,7,65,0
22989,7,66,0
23019,7,67,0
23049,7,68,0
23079,7,69,0
23109,7,70,0
23139,7,71,0
23169,7,72,0
23199,7,73,0
23229,7,74,0
23259,7,75,0
23289,7,76,0
23319,7,77,0
23349,7,78,0
23379,7,79,0
23409,7,80,0
23439,7,81,0
23469,7,82,0
23499,7,83,0
23529,7,84,0
