,x,y,value
3,6,10,-1.994969746725599
18,83,21,-0.2666399644589852
69,74,70,-2.534810559492187
73,72,64,-1.798819315606485
114,89,52,-3.6212129950671903
117,99,75,-6.066965307319397
172,20,80,-5.89918443505227
208,71,72,
244,28,19,-3.4358172572377272
249,86,98,-3.1656062908868883
255,77,67,-2.3428983193513986
267,54,88,
269,27,22,-2.0642462877049566
286,94,13,-1.1708921859568546
373,13,97,-6.991923635964199
377,82,98,-5.352197554215129
405,77,13,0.7203297071273802
411,72,76,
416,80,7,0.32957349761140264
505,49,61,
512,98,5,-1.4635562011873517
530,48,65,
583,58,12,-3.563893273206304
588,72,89,-6.218296694240502
622,94,72,-1.7848902380143574
635,95,34,-0.9389708972632427
639,97,17,-0.6774214962785567
658,96,85,-6.499342790715556
688,77,77,
731,26,74,-1.5993783323772721
780,11,2,-1.272237991894312
807,31,16,
811,79,95,-4.205698063420766
862,24,55,-1.6816687438355489
875,62,82,
902,14,15,-0.33001506739327
921,94,2,-2.3222643704355015
924,24,83,-3.7309719066128952
926,99,73,-1.552322513264059
953,10,10,-2.448474402243546
965,76,54,-0.7876836886607244
993,59,6,0.6219835236010667
1023,37,35,
1026,8,41,
1098,38,23,
1116,72,25,-1.313955869200524
1131,39,88,-2.2735486909056934
1136,89,67,-2.8589838117203223
1173,22,3,-1.3150341456234713
1205,85,33,-0.9040019443637037
1346,73,55,-2.7209474423249365
1394,51,70,
1407,48,5,0.8624874403210754
1410,22,74,-2.4218062643374125
1419,28,44,-1.2359392832290919
1476,57,84,
1553,37,63,
1559,70,36,-1.0136277041866464
1565,63,12,0.693974901589133
1580,27,89,-3.8250369926410244
1624,84,9,0.7310607818648798
1635,5,11,-3.5709793338381166
1641,62,18,-2.9480280576916966
1682,78,73,-1.512039762587011
1757,36,7,0.12278148323242633
1812,27,8,0.2782639747478619
1826,20,42,-4.312541234035329
1834,5,10,-1.899488036198715
1919,92,98,-5.733973448914854
1931,81,94,-6.865490927841288
1962,58,26,-1.5601104653401539
1981,68,25,-2.4842475439347202
2025,63,80,
2060,90,12,-2.798028435595497
2122,76,83,
2132,10,30,-4.0136336139692315
2165,65,59,
2205,59,4,-2.0951834637613924
2238,54,99,-6.840123316377127
2257,92,19,0.6907904930284658
2296,66,5,-1.562654163321672
2330,56,31,0.3709565360614846
2339,68,46,
2364,80,92,-3.1284678223397977
2385,56,11,-0.7695455186498723
2417,55,92,-2.653693388886751
2434,32,86,-4.468144561996867
2463,47,5,0.04154517519123324
2484,45,59,
2526,22,87,-6.002760113217081
2642,72,71,-4.96133468151719
2662,5,96,-3.450576946627793
2696,41,87,
2706,65,86,-6.401044126869982
2751,33,78,-5.9314846392522185
2851,8,67,-1.324189873418649
2886,59,82,
2906,46,10,0.8746119634402874
2914,62,5,0.6497303918304418
2922,44,72,
3000,38,16,-3.6388134954664872
3034,64,72,
3041,7,65,-2.188637834215827
3055,19,41,-2.435666864509212
3062,99,61,-1.419059773216909
3064,53,52,
3067,68,71,
3131,14,20,-2.3561823534565463
3170,46,0,-1.249944555509014
3183,4,58,-4.005418250987454
3198,41,76,
3239,32,24,
3269,83,82,-2.0213635327487856
3286,55,18,-2.3125494256232733
3317,50,51,
3359,7,94,-6.971995341423634
3399,13,21,-0.8023736526813154
3445,68,66,
