,x,y,value
28,42,70,
50,66,58,
63,56,96,-4.983299975781629
181,98,28,-4.981330842434003
233,40,0,-4.984217973486517
244,43,8,-4.984036659292096
247,2,20,-4.9870367898123895
288,54,93,-4.983408503516926
406,76,64,-4.982295837071699
413,58,7,-4.98319314592306
439,45,24,-4.983918269355573
471,16,19,-4.985863186956397
495,37,73,
523,93,34,-4.981539268542798
528,20,47,-4.985560968512895
533,90,18,-4.981667240828759
552,56,60,
573,87,46,-4.981797451201263
581,43,33,
585,5,75,-4.986768022338423
597,78,29,-4.982202676417725
630,12,37,
683,42,60,
704,42,56,
705,78,85,
744,6,42,
747,89,2,-4.981710416988865
752,9,76,-4.986425256486131
792,14,87,-4.986019135751942
795,29,93,-4.984924935871238
809,24,92,-4.985271175590323
813,51,89,
861,89,7,-4.981710408528304
865,57,83,
896,3,74,-4.9869459393479865
974,77,38,-4.982249112660052
1000,35,83,-4.984530582073175
1028,49,12,-4.983687282791859
1061,3,53,-4.986945985175689
1064,84,57,-4.981930034848725
1066,68,98,-4.9826809664221905
1084,87,28,-4.981797463936505
1101,15,67,-4.985940690332648
1120,3,92,-4.986945907101526
1192,22,37,-4.985414633630512
1224,69,79,
1228,2,72,-4.987036636490964
1241,94,20,-4.9814971177219824
1274,12,41,
1298,7,92,-4.986594509417712
1302,94,48,-4.981497098227432
1307,91,85,-4.981624300229393
1408,80,42,-4.98211065623045
1412,30,17,
1470,84,10,-4.981930074160766
1524,86,34,-4.981841389635995
1541,77,91,-4.98224908267642
1543,37,42,-4.984403879550822
1570,14,4,-4.986019341018018
1580,52,63,
1615,82,39,-4.982019794072051
1744,95,68,-4.981455167712667
1784,84,94,-4.981930018136556
1787,50,15,-4.983630666627828
1793,95,21,-4.98145519555951
1888,8,58,-4.986509416248519
1914,10,92,-4.9863421061791895
1916,12,44,
1959,66,59,
1976,74,67,-4.982390227539436
1984,5,94,-4.986767990476184
2029,85,84,-4.9818855581192665
2034,99,61,-4.981289838048198
2060,80,75,-4.982110637344501
2071,25,83,-4.985200570128135
2134,89,69,-4.981710361603239
2146,97,95,-4.981372026897303
2163,13,34,-4.986098592306721
2206,19,43,-4.985635306966899
2222,45,97,-4.983918196735253
2241,45,30,
2248,67,55,
2297,41,26,
2313,83,99,-4.981974752200037
2420,75,37,-4.982342898460754
2430,48,68,
2433,73,88,
2465,58,78,
2483,70,36,-4.982582788360864
2528,54,85,
2537,50,50,
2539,73,51,-4.982437896391381
2548,57,64,
2580,52,34,
2599,19,57,-4.985635282526074
2603,64,5,-4.982881564379949
2630,53,88,
2680,27,93,-4.9850614085334035
2705,22,33,-4.985414641870167
2726,65,75,
2738,79,56,-4.982156506941138
2747,28,94,-4.984992843133133
2757,4,14,-4.986856590988695
2772,32,39,-4.984725083493638
2775,38,24,
2828,57,23,-4.983246379673811
2831,34,43,-4.984594854829938
2838,40,69,
2896,23,61,-4.985342539160213
2897,51,99,-4.983574416672383
2905,5,55,-4.986768063023191
2935,89,51,-4.981710370544815
2939,10,10,-4.986342304473568
2941,63,26,-4.98293253834187
2948,95,84,-4.981455161484385
2978,60,28,-4.98308775172642
2992,42,36,
3052,65,50,
3059,3,25,-4.986946071515489
3064,4,7,-4.986856631934565
3085,70,69,-4.98258276500861
3103,86,44,-4.981841382752352
3176,91,2,-4.981624360754657
3205,62,42,
3219,31,25,
3249,44,6,-4.9839772424880735
3266,81,72,-4.982065065547
3309,13,38,
3347,76,73,-4.982295832284761
3373,58,16,-4.983193128450448
3386,24,99,-4.98527116871938
3397,2,83,-4.987036615223557
3455,70,43,-4.982582782468772
3458,65,96,-4.98283082932947
3460,98,19,-4.981330849710139
3463,27,5,-4.985061564856707
3482,63,51,
3534,85,9,-4.9818856109628795
3551,59,16,-4.983140256377957
3559,57,75,
3662,92,59,-4.981581659570908
3663,89,91,-4.98171035272586
3676,44,43,
3678,34,60,
3717,57,89,
3779,31,24,
3842,89,12,-4.981710401722116
3845,38,78,-4.984341301750112
3855,46,60,
3910,19,63,-4.985635273320311
3964,89,21,-4.981710391980763
3969,30,28,
3994,6,9,-4.98668093711703
4011,7,46,-4.986594596039993
4137,77,7,-4.982249147684859
4167,24,63,-4.985271209064946
4176,95,87,-4.98145516041605
4211,85,48,-4.981885575857976
4226,99,58,-4.981289839374322
4279,95,42,-4.98145518055812
4350,25,61,-4.985200596313333
4449,29,35,-4.9849250077064635
4503,98,62,-4.981330823586867
4517,71,57,-4.982534157574677
4522,14,19,-4.986019273628664
4560,57,19,-4.9832463855796805
4566,20,6,-4.985561081459466
4578,67,42,
4594,16,27,-4.985863162828448
4673,57,45,
4784,34,74,-4.984594818671981
4844,71,42,-4.98253416832685
4891,92,96,-4.981581644721962
4906,35,72,
4908,43,17,-4.984036637780194
4936,85,2,-4.9818856228803865
4972,31,94,-4.9847910364096855
4977,12,54,-4.986178818160603
4996,62,88,-4.982983859545478
5036,67,81,
5050,76,63,-4.982295837632794
5123,95,94,-4.981455158026273
5141,7,66,-4.986594553064221
5152,27,25,-4.9850615037663655
5172,98,8,-4.98133086150052
5186,95,51,-4.9814551756137595
5215,74,70,-4.982390225901546
5307,94,53,-4.981497095601578
5308,94,79,-4.981497084200465
5339,5,93,-4.986767992026992
5406,50,48,
5420,92,26,-4.981581679974643
5458,95,64,-4.981455169433809
5477,51,17,-4.983574495139087
5479,57,35,-4.98324636482417
5482,32,81,-4.984725033006354
5498,66,92,-4.9827805324277845
5516,26,42,-4.985130706370903
5568,1,63,-4.98712854867942
5626,1,35,-4.987128626620053
5649,99,46,-4.981289845211865
5652,24,51,-4.9852712262430785
5674,61,76,
5687,3,59,-4.986945970935928
5696,55,53,
5722,29,51,
5726,75,24,-4.982342910525913
5791,66,61,
5807,14,97,-4.98601912316969
5822,71,8,-4.982534207745666
5851,63,6,-4.9829325702901075
5892,62,96,-4.982983855380128
5895,71,51,-4.98253416161333
5904,56,77,
5907,34,68,
5925,66,49,
5950,51,96,-4.983574418443155
5964,31,45,-4.984791090561694
5967,39,7,-4.9842794120307605
5981,20,36,-4.9855609897745845
6020,19,7,-4.985635410178243
6048,71,47,-4.982534164490103
6110,10,12,-4.986342294664646
6152,90,65,-4.981667209691673
6180,57,88,
6185,31,22,
6220,43,53,
6248,47,97,-4.983801765716287
6261,40,23,
6272,16,16,-4.985863197358462
6349,45,75,
6365,79,76,-4.982156496403166
6502,84,97,-4.981930017011956
6572,0,43,-4.987221728004558
6623,7,48,-4.986594591222254
6675,69,17,-4.982631751847282
6725,88,74,-4.9817537687463345
6728,66,8,-4.982780606565762
6729,0,67,-4.987221664888911
6758,86,92,-4.981841359657682
6769,57,37,
6778,52,1,-4.983518800971008
6793,13,29,-4.9860986057525505
6812,79,9,-4.9821565498153175
6922,34,48,
6976,40,97,-4.984217829020338
7022,91,15,-4.981624342399091
7068,30,70,
7133,13,77,-4.986098510272511
7157,1,52,-4.987128575773084
7162,31,85,-4.98479104447312
7178,54,5,-4.983408600336315
7194,18,69,-4.9857103871183375
7232,55,69,
7257,75,76,
7260,93,86,-4.98153924314193
7359,33,29,
7378,99,24,-4.981289859257381
7463,22,15,-4.9854146889471025
7555,80,16,-4.98211067999232
7576,17,73,-4.985786313689013
7668,6,33,-4.9866808371821945
7830,82,31,-4.982019800272008
7873,33,38,-4.984659675851548
7876,39,57,
7895,80,35,-4.982110661467927
7901,98,7,-4.981330862820945
7902,90,81,-4.981667202880933
7904,79,82,
7957,59,26,-4.983140241986071
7968,18,46,-4.985710424538722
7990,67,83,
8133,32,84,-4.9847250302061825
8193,59,32,-4.983140234813385
8289,89,33,-4.981710381978009
8297,88,98,-4.981753759452129
8375,21,79,-4.985487366680204
8467,5,28,-4.986768138633302
8545,1,78,-4.987128516705609
8558,60,46,
8588,54,17,-4.98340857490937
8601,60,67,
8654,5,8,-4.986768230588285
8718,17,0,-4.985786512089538
8774,19,81,-4.98563524901908
8808,80,47,-4.982110652829071
8872,55,80,
8896,54,84,
8911,17,99,-4.9857862814359155
8952,5,5,-4.9867682505582165
8964,31,17,
8966,55,20,-4.9833541017301615
9017,18,6,-4.985710540689593
9060,63,15,-4.982932553471129
9102,42,33,
9116,86,46,-4.981841381501623
9169,45,35,
9179,33,9,-4.984659739197982
9181,42,48,
9213,42,6,-4.984096584921923
9236,80,9,-4.982110689595997
9242,57,59,
9249,2,58,-4.9870366672724895
9262,22,0,-4.985414755446318
9300,3,77,-4.986945933598483
9311,54,89,
9325,12,88,-4.986178763292261
9359,54,6,-4.983408597732006
9360,19,31,-4.985635332519996
