,x,y,value
172,26,62,
188,24,31,12.345168588845581
233,65,54,
296,93,54,11.14270261464107
327,13,78,10.183108567593504
379,23,16,13.341248670204234
381,36,26,
519,95,10,13.803861405373514
570,53,89,
581,54,10,13.978422293545085
663,39,94,9.77753505129211
690,5,56,10.981862606865203
736,3,70,10.400657395009173
751,96,29,12.375174977710532
761,30,91,9.839639604617739
787,92,95,9.61682907765474
792,55,13,13.694879753826152
879,20,67,10.646270491008192
944,52,93,9.834683930617617
973,92,37,11.959160163763524
982,12,11,13.701210644792251
990,65,58,
994,11,62,10.780083061126488
1000,75,35,12.168076272846013
1007,81,34,12.191726845933566
1010,92,45,11.559329891244223
1011,95,64,10.711217019024586
1038,34,29,
1046,40,13,13.673773083175908
1047,9,26,12.538394899866242
1051,5,21,12.836238240168473
1090,78,25,12.73913617614509
1116,97,50,11.289672416348276
1163,36,1,15.325536836907915
1171,71,83,
1191,12,75,10.285151633114463
1202,72,19,13.176389539039036
1221,2,80,10.023018241630844
1233,21,16,13.328477048858375
1249,97,49,11.335104430419491
1282,86,98,9.56045840970219
1325,68,79,
1342,43,29,
1348,36,84,10.105743753334952
1396,88,43,11.683751596111424
1420,29,23,12.866950854019933
1445,61,9,14.07623221090685
1473,80,31,12.36555204189344
1491,64,55,
1494,50,55,
1543,71,14,13.574861051662385
1580,77,19,13.154019739848437
1590,82,47,11.530912635872225
1664,47,44,
1726,65,82,
1754,61,36,12.158401358429751
1758,35,6,14.394922962682383
1801,64,62,
1990,41,92,9.849941511779175
2006,81,40,11.876177553168267
2061,92,9,13.92989919425229
2178,28,36,12.091836552590268
2200,89,92,9.737227774655327
2219,75,55,11.20908496187882
2229,37,42,11.825611860991003
2246,75,39,11.957806439098777
2248,96,62,10.784114970833526
2273,54,40,
2280,64,9,14.070328560159318
2322,55,48,
2367,96,48,11.388746079558057
2430,77,45,11.652163209947318
2470,11,20,12.954821368612198
2548,54,43,
2565,22,76,10.31895867277015
2588,64,12,13.773639094760771
2618,19,86,9.94381906789641
2676,7,9,13.864240669498445
2712,91,20,12.995998029728806
2723,49,57,
2753,17,82,10.069429765019963
2781,56,49,
2788,26,67,10.683633309392873
2822,37,64,
2840,15,46,11.508134577491504
