,x,y,value
10,54,72,
30,5,46,-0.4086402733759542
141,71,3,-0.0053521800987734736
179,17,89,0.21907048934415618
213,75,73,0.18911002104956176
249,48,10,-0.034020883832510895
267,18,80,-0.1025980386779971
338,81,89,0.31182630549898827
423,62,19,-0.8148455392525196
451,33,36,
494,85,31,0.729302882680072
520,56,15,-0.4105428206711218
575,1,25,0.989065359700573
581,0,71,1.9587186331770923e-05
758,33,69,
802,11,47,0.7399953842200255
803,23,1,-0.024829033038554216
804,67,38,
830,49,66,
835,94,33,0.0007021430007929652
845,64,6,0.8563150573919871
847,40,57,
882,36,96,0.12366428247811312
887,30,72,-0.8839474100378756
925,38,90,-0.26119696950617044
977,42,35,
1003,9,67,-0.42829795721124786
1025,83,0,-0.7104306970119899
1041,64,9,-0.8125411917364593
1058,18,0,0.929634480134947
1148,70,40,0.6652567357709598
1167,71,42,-0.0021507606061567097
1177,17,49,0.12908275955326465
1178,12,61,0.18437087135578878
1194,51,36,
1203,97,59,-0.7627088075555558
1253,84,44,0.655082582510234
1267,84,95,0.47840422589388143
1296,8,79,0.4532519400448405
1350,64,17,-0.24537555075553652
1378,54,67,
1382,36,99,-0.027268714992182086
1417,35,17,
1479,47,60,
1505,95,46,0.43215868836759963
1515,41,41,
1575,66,57,
1593,15,75,-0.5023285109536879
1604,69,18,-0.09082782289490077
1613,35,71,
1616,33,59,
1624,44,97,0.2060707360396481
1637,43,62,
1650,96,3,0.08027989120785328
1663,20,55,-0.021447430373303766
1672,40,3,0.4657552879752702
1676,88,57,0.3907927686351489
1683,80,6,0.797222183538971
1714,84,4,-0.4282252632356789
1715,86,5,-0.15586259003454261
1766,4,84,0.17824650624506733
1880,48,37,
1889,19,68,-0.13474986430871838
1923,19,12,-0.258364004845569
2014,43,98,-0.7848641095613691
2046,24,97,0.9249957428550899
2071,14,57,0.7203802571811209
2086,63,55,
2134,23,73,0.033877249959330724
2180,51,87,
2298,68,58,
2326,10,38,
2336,4,28,0.25230833740481207
2346,63,13,0.4632977506734075
2361,46,58,
2412,97,62,0.6662317677862808
2483,41,92,0.5711365820628889
2505,61,61,
2521,90,50,-0.30042801987019085
2524,18,11,0.0041337819477167415
2618,20,6,-0.931521943788254
2649,60,21,-0.4064309921230964
2671,24,50,-0.9647676841167089
2672,98,20,0.08658601560502732
2691,6,70,0.24535021168178717
2698,39,0,0.8493690966365948
2735,92,13,0.16607226538944686
2777,93,6,0.9535634052094222
2803,6,24,0.16433499126806694
2829,75,84,
2834,63,70,
2853,83,38,-0.6785127546573957
2856,33,47,
2894,50,55,
2930,8,82,-0.4803806523640455
2950,89,9,-0.8451459956406876
2992,61,73,
2995,68,83,
3006,37,24,
3013,99,76,-0.7922146274170948
3107,18,32,0.7755260471588254
3144,87,96,0.15700582738116986
3145,39,67,
3154,12,40,
3167,82,2,0.3118365936369054
3169,62,37,
3199,97,11,0.004397348956710179
3207,10,44,
3247,80,62,0.5592137904766226
3256,20,36,0.12416786900884125
3304,12,11,-0.003141505165823899
3317,42,2,-0.1454870093742815
3319,70,81,
3330,41,18,-0.6019780765125169
3342,88,77,-0.013431527281186906
3350,38,70,
3361,6,35,-0.3500461805124313
3378,40,15,0.3574099549832166
3388,93,35,-0.8974359241342783
3397,73,65,-0.07131344564353792
3418,79,47,0.49734634832933144
3420,56,8,-0.07861381373090326
3427,4,38,-0.25029504775981704
3455,15,80,0.06017987534956193
3503,62,81,
3518,99,42,0.38443061211600815
3532,86,78,0.47141204150119953
3557,54,90,0.1902069966121378
3588,25,56,-0.07376573034349121
3595,50,44,
3619,47,90,-0.44791510323548456
3628,29,74,-0.059147910227135725
3674,62,11,-0.0036279602047457615
3679,85,11,0.0035479988599009804
3685,10,35,
3700,49,90,0.4455458133415455
3735,82,83,-0.1869597329531223
3745,68,5,0.2777875611734466
3812,10,73,-0.45307708697509286
3927,45,99,-0.03930417103071315
3951,5,9,-0.8615291572206518
3975,82,81,-0.5819478257479092
3991,72,2,-0.4153651126061565
4076,35,92,-0.4267859983266439
4109,36,76,-0.5648750669849862
4114,91,79,0.8680844722011041
4121,46,97,-0.08498584786713237
4179,7,77,0.027719259151854247
4235,75,57,-0.23111039348021623
4309,92,94,0.17741987945182647
4432,80,19,0.8209134427897493
4490,40,2,0.19579323114416636
4531,62,92,0.516319121813364
4542,76,72,-0.9162901119058655
4556,24,61,0.2580734105368263
4589,3,2,0.40797145879783225
4649,59,15,-0.545471023604819
4723,73,10,-0.10639539565796641
4783,91,42,0.3875468922920946
4796,37,35,
4867,12,16,0.6840359993755858
4883,37,84,0.525071792942466
4955,85,25,0.7902613934949487
4996,71,85,
5025,25,29,0.06471058761997872
5029,15,81,-0.423268927552672
5033,93,66,-0.9927289544963803
5093,29,72,0.3332986612140918
5094,87,69,-0.864294730995816
5098,64,10,-0.7482780424281212
5105,80,23,-0.44237680138977076
5113,42,75,
5116,12,76,-0.5887660627703517
5142,19,78,0.26267432998286067
5154,0,38,1.9587186331770923e-05
5182,4,79,0.23484403435454348
5194,96,40,0.0540893420335129
5233,20,59,0.74810902653044
5243,74,14,-0.13416955382333506
5254,73,98,-0.10388638691242946
5262,98,25,0.21028339265795282
5267,1,46,-0.4312178591225452
5288,62,29,0.616549521709683
5320,36,47,
5381,58,10,0.5428388230974179
5423,65,16,0.3757759785907109
5446,93,21,-0.5439296031799339
5520,65,10,0.3292456809847826
5524,40,90,0.2108129824186762
5530,70,26,-0.6452498764937742
5533,89,92,-0.5810710746820644
5557,5,39,0.2521524524744536
5596,85,28,-0.767423149511312
5668,29,63,
5695,47,96,-0.1803549194495866
5710,53,29,0.6969108440843108
5750,16,35,0.7886963467023651
5760,95,72,0.9671832399848714
5793,99,65,0.540573085847667
5815,11,56,-0.6362191132174793
5874,63,44,
5902,84,19,0.6477848950883403
5904,84,73,-0.48230859660667447
5944,97,64,0.38763248066719
6007,87,64,-0.34092172033685
6054,19,80,0.03381957388127632
6137,64,44,
6218,90,61,0.08038098500279389
6286,31,70,
6320,87,97,0.8049581879957914
6324,42,84,
6422,49,18,-0.656543085779465
6443,16,4,0.5704721482204727
6463,85,39,0.21260210812511038
6496,96,75,-0.07470828943331265
6525,5,44,0.9454538277166642
6597,92,79,-0.16393314078417953
6598,50,56,
6639,86,35,0.49662969486478103
6656,56,51,
6684,13,31,0.5955686652051555
6696,84,87,0.37330043761820697
6704,31,79,-0.417188019262018
6749,38,78,-0.5000597798457094
6767,79,87,
6828,5,26,0.6117351159099313
6841,29,96,0.062189301834381094
6854,71,87,
6876,44,50,
6886,19,42,0.12249296232097873
6902,34,68,
6927,64,77,
6938,86,44,-0.549428875876187
6983,58,74,
7010,21,74,0.0305254720760193
7013,39,42,
7076,2,35,-0.119453108046366
7078,73,45,0.0666433832401696
7153,91,22,0.9688354655275917
7168,13,14,0.08904325985191464
7227,24,48,0.6400453417527001
7263,35,45,0.3579289912334127
7269,60,27,-0.21676632635061488
7305,16,89,-0.4452257920667936
7309,17,43,0.23836443375190863
7320,43,36,
7335,74,54,0.8138753578487858
7344,69,82,
7348,73,54,-0.10515737160510263
7399,96,20,-0.03306429017571144
7448,14,92,-0.5014612194026818
7505,5,73,-0.6961112939440199
7535,2,63,0.1303601181312053
7537,86,74,-0.09434502848300941
7633,49,26,-0.6432218667377926
7648,59,75,
7659,75,50,-0.24783106451559278
7706,5,20,0.3858948046805799
7710,16,72,0.8441654759102224
7724,88,66,-0.43408399901971895
7752,78,70,-0.5678609894062703
7755,42,1,0.18893739872860071
7777,94,58,-0.0061074477757832035
7806,49,68,
7825,33,31,
7855,85,1,0.4307785247434617
7856,8,99,-0.02012404735686546
7914,97,87,0.5635987646948806
7946,57,28,0.7737231143563021
7956,73,96,-0.02286344781192784
8001,14,22,-0.800468250882227
8115,27,19,0.21499305328651253
8119,67,82,
8122,76,67,-0.4904815251374264
8142,34,71,
8180,39,11,0.0037785516014576803
8207,46,2,-0.038217279353847444
8233,88,50,0.41906253181173914
8279,84,22,-0.6551204017291186
8295,4,86,0.10058286497713187
8376,59,35,-0.6488726810445802
8381,28,20,-0.3915551225192093
8408,91,78,0.8311054010400192
8411,6,18,0.25580831048551955
8453,60,24,0.3147878783534461
8505,87,80,0.09606367754829703
8533,33,89,-0.2951482537318988
8550,65,35,
8586,88,82,0.41242347210613284
8643,77,32,0.3189971084570711
8658,71,4,-0.0035271279965913838
8708,62,14,-0.11267574016854287
8729,81,8,-0.08890618575084819
8762,36,83,-0.17098432025343768
8817,74,70,-0.6214978091812406
8847,31,60,
8855,30,34,
8880,45,47,
8963,89,83,0.23149331610123625
8985,43,35,
8988,7,30,-0.13792101604431073
8991,58,14,-0.08843960816961116
9034,86,55,-0.012139830309929489
9037,0,51,1.9587186331770923e-05
9041,74,52,0.15997305965077047
9165,51,53,
9177,84,55,0.014516277926166499
9182,3,4,0.6407913414803739
9218,55,88,
9219,68,6,0.9402385126309254
9224,27,68,0.09571962679909252
9236,51,56,
9246,55,28,-0.8426105197332345
9278,43,26,
9310,2,55,0.002944856644758742
9311,80,22,-0.830219983998207
9326,10,91,-0.6119731401062964
9402,6,8,-0.056343166357891494
9424,47,34,
9452,35,58,
9481,64,83,
9510,27,69,0.21601187567299496
9523,3,56,-0.8363984971851045
9553,87,43,-0.4829651331325615
9586,82,0,-0.7492760437447706
9600,74,23,0.5229233454845883
9643,46,41,
9669,57,56,
9718,77,91,-0.3801913766094741
9738,10,98,-0.504219004055056
9779,96,97,0.07502280469249212
9787,89,75,0.8550372303134857
9882,83,55,-0.015700373088361586
10050,94,76,-0.042359177253249
10053,30,84,-0.6214515545464234
10086,2,80,-0.014574166601136751
10117,68,52,
10124,41,44,
10128,84,36,-0.08381782723153319
10177,4,90,0.11745491204262115
10198,97,39,0.26377442061114875
10237,90,97,0.2880694825582715
10253,95,57,-0.8997663606897953
10277,40,53,
10278,14,62,0.5391750001398057
10394,39,97,-0.7857540191909513
10407,69,10,0.11546036634244339
10475,83,20,-0.2899024296052296
10483,28,60,
10535,66,68,
10571,8,97,0.4680110954541481
10629,78,19,-0.8865256903284975
10656,28,70,-0.6076811825987031
10712,8,94,-0.490387329835132
10729,65,36,
10744,92,82,0.17380005386135755
10749,59,83,
10783,81,48,-0.3912197045758753
10793,32,9,0.7764858948581335
10800,13,5,0.18469973409336737
10807,0,73,1.9587186331770923e-05
10814,45,88,
10815,26,81,0.7676625389662517
10822,30,36,-0.11692599014904015
10868,63,23,-0.2720072778060545
10891,33,55,
10930,34,35,
10955,22,4,-0.6495200357684083
11035,84,8,-0.09530703763782233
11053,66,93,-0.2995704560322293
11075,53,90,0.41744548443904606
11112,93,48,-0.6357068938660876
11113,35,66,
11116,36,92,0.4293070671179664
11122,10,46,-0.26596835948166175
11143,28,14,-0.1311864655564614
11146,97,32,0.8252071949811253
11156,31,46,-0.20122346270378066
11178,96,41,0.08006479041622483
11196,60,32,0.6190673408383756
11233,42,88,
11277,80,51,0.6162095076825866
11278,66,0,-0.9437830424569951
11289,99,48,0.6152385275253096
11297,67,11,0.0012026731695164994
11304,41,14,-0.12464102623459705
11325,68,79,
11338,51,25,0.9629581929140008
11361,8,11,-0.0022191790586559845
11398,16,84,0.5934945821823114
11406,10,28,-0.592425170492298
11421,96,50,-0.07821178030702702
11430,44,41,
11466,97,31,0.9048540640427245
11471,97,99,0.03940915428254188
11476,94,14,-0.007010055072646293
11483,28,33,0.012759275906294887
11519,61,47,
11560,37,18,
11638,96,55,-0.0017742649799149524
11697,64,15,-0.6774824430216441
11700,74,86,
11729,39,75,0.7829085759622048
11734,32,42,0.34088755485708133
11743,17,98,-0.3517520792141319
11821,41,62,
11825,27,92,-0.13618786224734114
11837,87,79,0.7795726549371478
11854,69,49,
11863,96,59,0.06253231666007975
11907,43,48,
11931,48,94,0.03934979007308548
11939,80,68,0.36545805698571177
11943,91,39,-0.2583184395633601
11999,67,1,0.14445422472393088
12017,69,42,
12026,48,98,-0.033218291592154725
12105,87,84,0.5916843102740807
12160,67,25,0.26498980349462364
12172,7,81,-0.6945381168671936
12182,51,24,0.4121031053274149
12273,59,39,
12303,60,78,
12313,6,11,0.0017339821485335971
12340,59,98,-0.5882667838001996
12439,87,52,0.14183218014983678
12473,71,49,0.0016506229751620527
12496,66,7,-0.7115153429569114
12518,11,4,0.48743586359776736
12575,7,78,0.7671169222295922
12578,38,51,
12592,8,24,-0.21455394359288393
12734,50,96,0.031109443272776538
12746,71,0,0.00544565587225776
12778,72,56,0.851677096453763
12836,32,79,0.7635671082586173
12855,88,41,-0.4287390903024769
12882,74,10,0.8234551463425765
12956,81,40,-0.407595319018185
12991,71,83,
13017,49,37,
13022,61,93,-0.19669954240689846
13061,53,12,-0.7861157334271904
13074,17,76,0.35395656562627
13091,39,51,
13129,88,11,0.0019414761048810458
13139,71,99,0.00023565801847902357
13162,8,57,-0.45518352035563914
13165,69,25,-0.13635165285466133
13227,57,45,
13324,33,42,0.23143494190423897
13367,14,31,0.7322884051847129
13379,4,12,-0.22114555221890386
13428,72,52,-0.16267269016346297
13543,78,64,-0.35134842577440895
13604,14,44,0.800413350042438
13628,27,56,
13655,93,31,0.9084489902782384
13664,93,36,-0.1270609805755707
13668,98,82,0.20147467219855608
13676,75,51,-0.19060204706026473
13699,52,16,-0.2882595819894801
13702,63,71,
13724,39,93,0.2696274991075245
13735,81,56,0.5214851537481671
13736,49,32,
13799,39,47,
13816,5,74,0.16239248427482345
13818,65,38,
13871,80,87,0.47306739137701115
13885,45,92,0.6186435292697636
13903,67,87,
13943,95,9,0.9110679576321443
13960,29,80,0.038054982416029004
13997,48,52,
14020,92,63,0.18042770714401257
14022,39,55,
14027,39,63,
14080,78,66,0.8963770178738442
14089,3,75,-0.9035801103735233
14091,55,32,0.7302683255930633
14107,45,45,
14120,49,48,
14124,65,26,-0.2538118373257411
14129,68,72,
14145,28,45,-0.5040525701615302
14225,29,8,0.050153561904589194
14252,15,85,0.5364980829633104
14269,67,4,-0.1747136657219761
14317,30,71,
14318,24,22,0.9997951737059567
14319,53,28,0.8967843217803715
14340,14,25,0.7934964664925348
14441,23,37,-0.03518197106173304
14450,74,9,0.8941710756595207
14491,37,45,-0.4055862054822291
14493,10,93,0.195384041874604
14502,34,30,
14517,99,4,0.6282121853126992
14560,81,6,0.5868502748273325
14562,29,46,0.14893225473348726
14567,44,79,
14582,87,75,-0.8019640402858905
14588,47,52,
14591,21,25,0.17610849328435307
14624,67,86,
14655,35,3,-0.6744764971424124
14656,81,68,0.26902336301947516
14703,39,53,
14711,50,85,
14712,74,63,-0.9675049620248801
14737,87,41,0.8590690524187643
14768,6,84,-0.26340300924059357
14792,27,33,-0.00286716818688737
14839,59,81,
14849,85,16,-0.7634796165099957
14868,84,3,-0.6485894944190607
14903,86,68,-0.24185421958568054
14931,19,67,0.15855794483793195
14990,19,86,0.11750600937730393
15047,51,28,-0.9351375165658458
15072,21,23,-0.0946391270146687
15082,77,61,-0.09866935388758435
15084,43,92,-0.6001184434868945
15094,29,58,
15161,5,5,0.2682455587571413
15267,60,88,0.7416192781320587
15271,51,52,
15286,18,63,0.9165237323325992
15376,8,63,-0.4987021949721593
15419,16,6,-0.8379471297915043
15435,90,69,-0.3092781016938795
15522,90,16,0.2981922593246087
15532,89,68,0.4082968113075476
15568,65,47,
15677,31,67,
15681,81,84,-0.4155927901969596
15719,63,51,
15754,78,3,0.887719671207315
15836,44,76,
15849,41,8,0.13266908602123295
15870,30,55,
15886,70,56,-0.8510245265208588
15892,26,43,0.5486696506810038
16018,57,19,-0.7946610574993296
16056,37,67,
16189,12,2,0.2972559973378428
16193,19,35,0.2767253318551124
16233,55,90,-0.3922077327163396
16328,32,41,0.8414313098663366
16342,12,97,0.6608140676155498
16369,0,17,1.9587186331770923e-05
16449,6,63,0.38192909327566915
16453,28,1,-0.5184269175029569
16462,37,50,
16472,82,39,-0.19977479704962664
16480,55,53,
16486,44,78,
16521,32,2,0.35466042301443523
16528,0,34,1.9587186331770923e-05
16608,53,39,
16620,29,92,0.215869365992847
16631,72,81,
16636,60,37,0.5680063781373577
16669,95,15,0.7596392200868702
16671,84,91,-0.6514558207845902
16751,25,64,-0.0338676945501204
16787,47,27,
16789,17,58,0.05119107059233352
16904,64,22,-0.891761733200047
16923,93,91,-0.9874853985377983
16930,20,13,-0.8803704601031554
16943,46,20,0.03751543712350225
16974,82,34,0.6358495866204417
17015,3,12,-0.8272167909344856
17023,95,11,-0.004405713024593805
17036,61,16,0.5935070018844912
17039,12,87,-0.4069294249575107
17040,23,95,-0.033561253240140365
17051,88,6,0.4169799488775303
17084,60,68,
17093,66,97,0.8731762650340733
17130,27,9,-0.1980869320543155
17170,81,46,-0.2641161438460947
17186,70,62,-0.6717699086860351
17234,83,80,0.07844423594365257
17243,73,6,0.12179288188263393
17249,36,53,
17273,0,30,1.9587186331770923e-05
17290,80,91,-0.8255759687290536
17348,18,24,0.39434270968296414
17364,49,70,
17383,94,18,-0.03392720723745557
17400,77,5,0.1084819787721576
17404,21,10,-0.14904293152796888
17460,87,87,-0.49570030475811144
17533,76,84,
17546,69,58,
17607,82,61,0.19341401533104574
17656,83,66,0.7102194063757545
17661,1,29,-0.7464100319401519
17664,80,66,-0.8299598012759086
17690,43,69,
17758,13,56,0.5555141963141712
17774,75,47,0.25490005496852297
17785,48,50,
17829,32,99,-0.03391581509428576
17878,81,29,-0.4571733926900332
17892,5,90,-0.42367094042216125
17899,76,94,0.918421737905887
17958,60,7,0.5594638788698807
17978,28,69,
18027,22,40,-0.662731005449172
18071,11,33,0.009919940357023593
18074,49,77,
18226,90,77,0.00966383774786328
18249,77,50,0.36898848262939077
18288,19,6,-0.2939794455368985
18319,13,64,0.2551408355971292
18389,49,63,
18394,78,29,0.6707829861391035
18446,16,75,-0.8044178090759198
18506,41,31,
18613,60,92,-0.4648427585902628
18627,40,98,0.3854485539504684
18631,76,90,-0.4244559368856331
18645,76,16,-0.9072041259714813
18667,20,22,0.9701652499769451
18671,15,57,-0.4904016402693758
18699,45,17,0.27174779783634984
18709,35,68,
18774,82,68,-0.32977765655476143
18801,55,56,
18848,25,87,-0.04925164885931177
18906,98,2,-0.08825762151415262
18922,74,39,-0.26165449481301106
18930,40,33,
18939,97,56,0.8439981820635256
18949,61,65,
18955,49,67,
18983,45,82,
18994,54,87,
19001,69,87,
19003,67,10,-0.2242826059637617
19033,82,67,0.3879822359966796
19040,41,11,-0.004015234007467838
19059,76,77,
19078,24,79,0.8958245579292163
19091,49,10,0.8343208233384503
19134,72,46,-0.4313668613624885
19154,49,91,0.9887338661167189
19157,38,88,0.5826311015006753
19190,75,95,-0.18752483158546351
19199,31,45,0.24463502963378136
19206,47,84,
19222,97,78,-0.8484923533616116
19249,56,84,
19285,19,1,-0.16541810393147993
19307,66,43,
19311,32,32,
19330,52,57,
