,x,y,value
1,74,93,0.6073696999193539
20,87,80,0.5551297695266333
21,0,22,0.3086004962295293
42,23,12,0.6017963307710397
103,98,76,0.674515070367932
139,53,12,0.6558090209095936
168,13,49,0.5086247199599228
190,26,26,0.582488621577604
196,27,45,0.5687151394096931
219,75,1,0.6369746876896757
245,47,86,
307,48,0,0.6689714348600415
312,21,0,0.617824138514814
392,78,99,0.5730091342293269
490,24,11,0.49442438926890486
523,91,68,0.6266160003103041
539,98,0,0.6974342462595875
542,39,54,
546,54,87,
571,82,69,0.698606788017275
607,80,58,0.5840409490276086
623,22,95,0.5848007372667524
626,24,44,0.6242947380806687
628,82,68,0.6264255984414311
665,46,75,
696,45,7,0.6321449100652021
706,70,7,0.6617956064251238
758,55,43,
784,37,28,
791,70,60,0.4391757207129765
811,62,23,0.48694871409500945
845,8,77,0.45380227677960727
853,32,82,0.6342233426190269
860,48,12,0.6485993411499964
863,96,53,0.4480055064563526
909,58,1,0.6225462514128559
917,62,66,
929,46,51,
958,92,94,0.6954836811318944
1023,87,1,0.6400240670392543
1040,4,8,0.4294949762925865
1075,69,1,0.633195692969456
1220,30,3,0.3771658591771885
1252,39,94,0.6500121896033817
1260,88,71,0.5291928013407611
1342,94,60,0.44423090158364775
1394,68,79,
1432,11,44,
1503,34,24,
1505,36,46,
1559,82,34,0.45828948788448975
1571,54,31,0.6663971631936196
1706,67,13,0.6795118845574688
1714,73,83,
1722,32,61,
1752,8,84,0.3691220887920996
1760,52,90,0.48587932215654167
1797,49,36,
1809,58,68,
1814,43,78,
1826,51,67,
1853,69,40,
1872,66,91,0.4305335333089127
1878,0,95,0.5343280240282358
1941,95,32,0.6770120320498028
1943,74,41,0.4371389638521951
1980,24,52,0.4725818618074152
2092,60,7,0.652695654179647
2100,34,30,
2150,10,79,0.3455968439055839
2210,86,75,0.6897698498531506
2302,82,46,0.512615447710334
2323,69,57,
2334,6,66,0.3227478063843443
2347,92,33,0.5672678644390082
2355,35,28,
2366,90,73,0.47329043937797216
2437,89,32,0.6782861882827625
2550,37,27,
2561,67,48,
2567,36,92,0.4362900916401533
2585,1,13,0.559812090813389
2650,74,83,
2655,42,80,
2696,53,0,0.6761811146196386
2741,87,22,0.4390687010634522
2784,7,0,0.585977660095496
2811,70,30,0.5835602423869972
2836,48,64,
2869,38,66,
2931,24,84,0.405125531621951
2935,2,99,0.44896927699388955
2938,38,20,
3019,24,88,0.6242334147688382
3032,30,49,
3037,37,1,0.5903757898921456
3056,51,87,
3082,32,96,0.4867801612881325
3094,74,98,0.45906428036305286
3095,97,0,0.6978782522863445
3119,11,10,0.3553338462735439
3144,45,77,
3182,77,71,0.527094140789278
3202,99,6,0.6917520335684344
3207,1,94,0.5679027614896658
3209,83,88,0.6995784654248831
3248,73,31,0.6847317057642276
3254,68,53,
3278,91,87,0.6435256336217701
3354,96,13,0.6862051658245744
3399,64,95,0.6537089387967878
3407,12,44,
3411,56,51,
3446,50,59,
3454,84,50,0.6952380901486903
3512,71,47,0.4346584724075737
3554,23,34,0.3809887790554398
3573,61,9,0.43654636709774297
3633,26,5,0.5350951150052103
3643,65,51,
3691,47,15,0.4378469905017533
3696,5,21,0.3793647238898669
3709,79,81,
3726,12,72,0.34091560011101796
3739,28,58,
3747,57,61,
3779,18,49,0.5199410039453545
3819,83,20,0.6224337611190924
3831,53,72,
3869,94,64,0.6196154229243687
3950,75,80,
3968,22,59,0.3889348509378483
3971,52,46,
3998,71,90,0.5056673393795297
4000,83,38,0.6937987709612834
4021,91,1,0.6396836022182619
4032,81,89,0.6353293541449274
4095,39,76,0.6310775953195125
4102,1,29,0.34382141509633996
4147,45,28,
4150,30,44,0.6367761647799424
4218,36,93,0.5594355271215545
4263,43,71,
4342,62,49,
4380,57,81,
4475,57,67,
4476,19,81,0.5842815065196979
4489,4,81,0.5498109303832914
4616,92,29,0.4714023347385685
4680,12,97,0.3464087096851685
4748,99,69,0.6960861994789096
4766,58,60,
4778,83,61,0.5355179699242938
4781,86,96,0.5459701794739219
4800,4,74,0.47088175786272524
4900,38,80,0.5073174892359017
4985,49,5,0.5770208304724425
5023,19,70,0.5655767002263754
5065,89,17,0.5335464971561446
5084,76,84,
5102,67,42,
5132,37,41,
5157,49,4,0.45473222445683115
5206,42,81,
5236,48,55,
5246,41,66,
5284,49,43,
5302,2,32,0.5526135425608667
5359,3,3,0.31696461878817805
5386,17,55,0.4813710454100034
5471,10,34,0.35178112449440957
5473,77,35,0.44950868161216234
5571,75,24,0.6218242893805497
5588,39,9,0.40465503656855445
5642,38,71,
5644,15,1,0.5444606064002799
5697,64,41,
5703,32,30,
5720,83,93,0.6106063799313131
5745,89,57,0.6868505735170891
5776,59,41,
5783,62,54,
5809,47,44,
5820,11,63,0.5934341597134172
5886,54,44,
5926,85,88,0.6998333509302612
6039,16,83,0.5087893804842929
6050,93,9,0.44989289711904273
6058,71,39,0.5989151244898516
6059,95,16,0.4432282943739348
6061,16,64,0.5273572386763166
6084,38,76,0.6292685438176129
6134,71,31,0.6834714931394039
6154,75,84,
6200,9,4,0.37489177993502504
6262,86,17,0.5336105495301429
6266,70,49,0.6026531022089028
6270,59,94,0.6796969092956673
6276,72,40,0.47776308533454287
6291,72,44,0.6952250587171092
6302,5,61,0.4171519201266498
6318,56,62,
6334,52,48,
6352,17,79,0.361588486148521
6449,18,36,0.464028041468761
6498,36,18,
6535,29,13,0.6226920391132222
6563,79,32,0.6770134220111913
6565,72,33,0.5630451036558994
6608,72,17,0.5288772302570279
6634,15,82,0.597871078936155
6646,2,17,0.40787385143424887
6690,32,54,
6694,91,66,0.43876912111971433
6695,97,80,0.5530080218129778
6699,62,33,0.5547342884043343
6700,25,31,0.6153206675581588
6720,69,58,
6723,65,37,
6775,6,81,0.5545028413837991
6818,18,85,0.35229338071780103
6841,81,58,0.584316689232853
6871,10,33,0.460760371619382
6926,5,26,0.5352283799696618
6955,59,57,
6975,9,1,0.5306637617711547
7003,44,2,0.47785538994387805
7034,84,35,0.45143760479796563
7065,26,87,0.572420522229237
7070,88,5,0.6065193381070728
7092,64,53,
7095,52,44,
7113,91,58,0.5847405485902659
7124,6,83,0.4857270667686975
7125,16,70,0.5588603488060719
7127,66,56,
7164,67,90,0.5026595715484253
7172,18,88,0.6111096727217724
7198,30,67,
7242,87,20,0.6227735291429161
7307,14,87,0.546027264260373
7328,78,13,0.6862067280851671
7343,17,57,0.5958882168243921
7359,39,91,0.3937952286265057
7396,84,59,0.46873925205591144
7399,10,0,0.5929607699200543
7469,59,97,0.4325109475912835
7621,41,57,
7737,48,3,0.4093406860178249
7766,89,63,0.6980747211714822
7773,51,23,0.47341236859701197
7799,92,92,0.4872689752134161
7826,23,38,0.6163069634661917
7838,84,89,0.6359025878459899
7930,67,9,0.4422454021989185
7960,65,55,
8019,97,26,0.651812450077474
8028,67,44,
8038,98,98,0.46007497465842334
8107,54,12,0.6571484810168071
8111,21,97,0.36665359520264396
8185,88,44,0.6999582036488741
8210,35,61,
8223,33,70,
8265,47,55,
8347,8,21,0.3863822802016147
8373,47,50,
8405,24,96,0.47030653956436635
8493,11,41,
8547,33,73,
8596,91,12,0.6792874414689625
8632,76,55,0.5698547847817343
8681,94,24,0.6238323871374134
8767,4,95,0.5437425383052885
8774,56,78,
8797,71,48,0.48060821688704397
8829,73,43,0.6378115483526204
8867,95,76,0.6757214367310733
8940,89,14,0.5872864233382047
8963,59,0,0.6836814909034534
9037,90,53,0.4495334750736405
9062,10,55,0.46537940316706633
9069,31,94,0.6348194150928654
9132,48,15,0.4393881116441932
9173,5,51,0.5476535030898303
9219,36,95,0.6132856080285765
9221,38,19,
9257,80,56,0.6798098265520861
9267,96,66,0.43739000404934425
9268,48,1,0.6089955018992959
9289,83,98,0.46230096037501217
9296,60,73,
9334,51,12,0.6530262474969641
9424,60,91,0.42460204270647484
9455,55,46,
9457,49,17,0.5041118675541625
9556,0,59,0.3384621376993316
9561,33,25,
9572,60,34,0.4436239398654923
9599,84,15,0.47022558630680866
9626,81,75,0.6890267044450582
9635,66,93,0.6016812238487117
9660,20,47,0.3556915933346859
9664,18,20,0.5339649684159817
9708,82,33,0.5672687350094622
9712,58,96,0.5285135426178367
9731,76,63,0.6955961038505161
9740,48,98,0.4316121632588774
9748,11,7,0.5631662762861335
9773,96,67,0.500259716843365
9795,30,34,
9803,7,42,
9898,5,93,0.4922403301336691
9911,61,77,
9914,46,94,0.6618726966152007
9930,39,80,0.5091265407378012
9937,9,59,0.3595700372651548
9960,78,70,0.6504417950160694
9961,78,35,0.44991067564453896
9982,81,92,0.48703638829532997
10006,26,25,0.6274066704419297
10063,44,13,0.650542273331874
10120,35,36,
10122,55,61,
10123,66,74,
10134,87,13,0.6879247477159369
10258,60,2,0.5000414496190781
10287,86,57,0.6869146258910874
10351,72,43,0.6372019330117322
10365,71,96,0.5405862629168714
10378,11,6,0.5900776961942888
10380,74,6,0.6912270407608823
10448,40,25,
10479,51,99,0.548125495067106
10495,35,97,0.3954307524509745
10503,61,55,
10510,56,24,0.6049671273342208
10518,74,74,
10552,80,31,0.6878365240831177
10574,3,73,0.3500774202824415
10586,53,45,
10619,79,56,0.6794918935198534
10714,91,59,0.468589877712262
10751,70,97,0.4427329942244438
10772,84,44,0.6997884662831942
10788,11,79,0.34791028138315294
10857,45,63,
10902,71,88,
10927,86,31,0.6888554096964545
10983,98,44,0.6974138030201247
10993,16,79,0.3593366081447623
11013,67,3,0.4319563879993154
11028,94,7,0.6668507872957951
11125,75,28,0.4408929563006308
11132,68,25,0.6912516551078155
11151,63,94,0.683958417396642
11152,41,6,0.6523351769630756
11171,54,36,
11175,41,2,0.4727695524943516
11179,8,85,0.32941367993501547
11185,76,30,0.5870928563851057
11208,61,60,
11233,19,94,0.6094323039717501
11237,79,89,
11241,50,88,
11263,97,53,0.4476033406340597
11292,47,24,0.5923039824477299
11296,8,89,0.524405416813613
11302,53,15,0.4465977914037903
11329,80,59,0.4678902781496046
11333,99,64,0.6176052492888529
11409,51,43,
11425,70,76,
11515,40,41,
11519,32,85,0.3818907444886329
11534,69,71,
11582,4,25,0.577798556098585
11628,78,79,
11630,55,88,
11634,17,9,0.3596106775203781
11737,24,35,0.37594387659544004
11743,35,29,
11813,80,40,0.48147751899432106
11879,44,9,0.41327579097332345
11887,40,15,0.42619496440239013
11901,15,68,0.531393004492322
11931,53,55,
11950,59,28,0.427623826553663
11998,67,91,0.43138559425686973
12021,21,38,0.6119626774999212
12047,83,59,0.46859057450943076
12054,4,99,0.45367346330322655
12063,63,68,
12075,74,5,0.6029642431829529
12077,60,81,
12093,18,89,0.5472851175963985
12148,95,43,0.6405970436778892
12174,58,26,0.6364563821647311
12203,51,24,0.5982720099371375
12297,3,97,0.3254248243182246
12311,5,45,0.5193637941430383
12365,80,98,0.46160066401518596
12372,87,16,0.44458768175120605
12421,94,66,0.43806830434799193
12488,88,74,0.5919140953079322
12509,3,89,0.5126890459537274
12536,23,1,0.562192491520339
12543,8,24,0.5131854072204084
12548,19,51,0.5797762064908343
12591,40,30,
12608,83,95,0.6644564608383349
12648,7,24,0.5108513288256245
12703,29,14,0.5221389458798015
12716,82,67,0.5014484320448622
12743,21,41,0.358539550402792
12753,32,26,
12761,8,95,0.5531079673524386
12770,72,80,
12817,17,97,0.3577818688508215
12820,58,28,0.4264645200238111
12862,24,36,0.4771517835158267
12888,41,68,
12953,66,43,
12963,81,83,0.6013245221466543
12966,77,89,
12982,62,59,
13051,34,16,
13101,4,6,0.573749798239795
13173,86,93,0.6109249691848238
13174,96,88,0.6981986515573442
13180,40,13,0.6437030353341753
13251,93,98,0.46187536016049213
13263,50,7,0.6398480039581792
13455,8,98,0.3509524668891159
13500,69,43,
13516,6,28,0.32758055609384695
13530,35,65,
13534,57,9,0.4319843089862074
13551,62,99,0.5616618405651034
13559,64,59,
13585,97,79,0.45051432627187393
13601,99,38,0.6910870837568763
13627,64,6,0.6837161987312944
13649,83,82,0.6930947715513056
13674,44,81,
13733,66,59,
13745,85,23,0.49992914487155726
13750,5,63,0.5794541344943258
13795,25,84,0.40725442939321077
13816,76,61,0.53329388948284
13823,12,38,
13844,71,68,0.6215513698039328
13886,68,55,
13894,13,97,0.34870461197546393
13895,15,67,0.4064158380957531
13923,32,25,
13963,88,50,0.6954078275143702
13995,29,86,0.4542386391295863
14001,26,38,0.6226929627715816
14022,49,35,
14024,54,2,0.49275843905479316
14137,92,59,0.46839860527293514
14141,78,73,0.4717640330212771
14143,1,42,0.38923377213199717
14216,29,32,0.6131387108243593
