,x,y,value
16,52,29,78.0
45,89,68,78.0
73,15,70,78.0
76,40,70,
107,59,46,
137,40,50,
196,88,65,78.0
239,45,18,78.0
264,6,4,78.0
272,58,5,78.0
290,95,34,78.0
332,9,53,78.0
335,1,13,78.0
346,28,16,78.0
369,14,39,
402,18,38,78.0
438,99,23,78.0
450,20,95,78.0
517,91,72,78.0
543,95,9,78.0
596,7,52,78.0
699,14,95,78.0
706,13,63,78.0
734,60,72,
762,23,79,78.0
821,74,91,78.0
845,48,26,78.0
857,73,69,78.0
880,56,42,
918,23,60,78.0
951,98,72,78.0
953,2,29,78.0
990,21,84,78.0
1045,60,79,
1066,13,50,78.0
1077,23,82,78.0
1084,17,32,78.0
1115,51,78,
1181,46,19,78.0
1246,19,62,78.0
1342,10,52,78.0
1391,84,61,78.0
1400,57,93,78.0
1443,60,57,
1462,24,58,78.0
1630,32,18,
1641,98,6,78.0
1665,24,42,78.0
1673,42,1,78.0
1721,65,64,
1738,28,46,78.0
1778,86,82,78.0
1815,87,94,78.9
1825,52,12,78.0
1885,87,15,78.0
1889,23,97,78.0
1894,42,15,78.0
1896,72,53,78.0
1926,41,2,78.0
1972,54,52,
1977,98,46,78.0
2000,75,23,78.0
2029,55,6,78.0
2059,68,31,78.225
2061,33,45,78.0
2066,91,95,78.9
2081,11,79,78.0
2085,69,97,78.0
2091,80,18,78.0
2094,68,18,78.0
2104,95,58,78.0
2132,82,61,78.0
2160,25,4,78.0
2185,3,55,78.0
2189,14,10,78.0
2220,4,74,78.0
2230,46,96,78.0
2246,41,18,78.0
2252,55,59,
2335,72,0,78.0
2347,85,93,78.0
2370,8,38,
2404,40,78,
2419,34,58,
2437,89,41,78.67500000000001
2455,96,64,78.0
2492,66,41,
2495,5,30,78.0
2561,86,13,78.0
2598,52,17,78.0
2637,81,78,78.0
2682,18,10,78.0
2719,10,88,78.0
2761,22,60,78.0
2785,34,14,
2817,52,65,
2822,24,94,78.0
2871,26,88,78.0
2872,41,3,78.0
2890,67,77,
2932,27,45,78.0
2955,74,31,78.225
2961,31,31,
3009,37,15,78.0
3065,95,30,78.0
3069,41,59,
3120,64,98,78.0
3133,91,63,78.0
3167,77,57,78.0
3192,81,28,78.0
3201,66,74,
3204,3,98,78.0
3237,51,11,78.0
3286,44,22,78.0
3378,66,50,
3540,97,66,78.0
3558,68,73,
3587,57,2,78.0
3608,78,40,78.0
3610,21,77,78.0
3636,8,73,78.0
3643,34,75,78.0
3742,25,49,78.0
3779,21,58,78.0
3808,96,60,78.0
3810,75,40,78.0
3949,35,67,
4044,74,90,78.0
4108,38,60,
4120,68,19,78.0
4155,28,32,78.0
4159,21,14,78.0
4171,54,60,
4173,27,82,78.0
4175,86,62,78.0
4193,46,77,
4202,17,94,78.0
4211,63,61,
4214,28,76,78.0
4218,27,65,
4231,44,82,
4275,30,64,
4285,11,18,78.0
4332,78,28,78.0
4368,60,60,
4399,88,91,78.0
4400,3,56,78.0
4504,73,53,78.0
4525,39,13,78.0
4550,1,6,78.45
4561,25,71,78.0
4567,39,79,78.0
4654,71,29,78.225
4664,22,83,78.0
4686,55,40,
4715,18,32,78.0
4751,83,3,78.0
4759,20,26,78.0
4767,65,0,78.0
4769,6,12,78.0
4883,77,56,78.67500000000001
4890,23,99,78.0
4904,63,84,
4933,80,63,78.0
4961,82,34,78.0
4966,88,77,78.0
5015,13,69,78.0
5027,96,4,78.0
5054,72,8,78.0
5057,52,19,78.0
5150,64,19,78.0
5179,93,98,78.9
5190,1,23,78.0
5230,92,57,78.67500000000001
5266,46,73,
5329,27,13,78.0
5344,39,26,
5447,98,77,78.0
5568,35,88,78.0
5581,84,54,78.67500000000001
5597,48,79,
5621,56,93,78.0
5633,8,81,78.0
5749,46,17,78.0
5754,21,86,78.0
5771,2,40,78.0
5796,38,73,
5797,49,85,
5856,13,10,78.0
5878,32,70,
5922,27,14,78.0
5982,58,64,
5995,9,28,78.0
6005,78,97,78.0
6036,12,4,78.0
6064,56,18,78.0
6130,35,58,
6174,70,7,78.0
6194,39,75,78.0
6227,39,37,
6259,15,69,78.0
6269,55,45,
6280,7,17,78.0
6323,56,49,
6331,24,40,78.0
6349,35,23,
6463,59,2,78.0
6538,68,61,
6604,71,23,78.225
6620,73,29,78.225
6625,0,43,78.0
6642,12,75,78.0
6643,61,19,78.0
6645,15,71,78.0
6784,92,70,78.0
6890,5,98,78.0
6925,20,66,78.0
6954,36,16,
6967,29,4,78.0
6995,18,49,78.0
7034,17,36,78.0
7116,90,32,78.0
7135,19,74,78.0
7164,25,99,78.0
7259,33,38,78.0
7283,16,69,78.0
7314,79,93,78.0
7331,1,74,78.0
7339,71,30,78.225
7342,84,5,78.0
7351,51,61,
7366,99,82,78.0
7404,78,89,
7462,34,57,
7492,23,43,78.0
7505,6,11,78.0
7523,22,5,78.0
7659,52,32,
7695,34,40,78.0
7698,43,11,78.0
7725,35,52,
7758,81,60,78.0
7779,56,96,78.0
7816,61,26,78.0
7871,97,79,78.0
7946,17,96,78.0
7962,86,73,78.0
