,x,y,value
70,7,9,0.5112748372364455
112,90,58,0.48327420233694646
135,82,90,0.5225197831146264
169,46,68,
185,70,59,0.5225737749351238
218,35,42,0.5100131413075859
238,10,26,0.47911579570748103
242,19,17,0.5118041754582017
249,3,23,0.4775196288496897
276,34,58,
321,1,24,0.5001862232596912
374,70,74,
391,24,52,0.48575227748645433
476,94,98,0.4794161089314791
478,8,77,0.5081809696484609
498,67,31,0.47865075625327597
517,65,48,
578,6,64,0.496033020996293
580,5,74,0.48661595968554416
611,64,58,
622,81,16,0.49530454419829467
642,89,73,0.48150782182518087
667,11,31,0.4888501444291437
708,29,25,0.47834628294951637
716,54,56,
728,76,72,0.49405781924326014
797,21,9,0.502056100497675
809,83,88,0.519546848813998
831,44,76,
834,72,9,0.4871128562713925
835,17,48,0.5175649642275559
850,81,47,0.5210675156124074
863,85,4,0.48175873199031843
866,58,73,
883,93,53,0.4803454820243098
916,39,46,
919,16,35,0.5149510076196879
956,70,19,0.522157266545541
964,80,95,0.48767930587755387
1039,59,82,
1062,49,17,0.4831809806119045
1119,44,12,0.47955016192810246
1161,32,41,0.5064742719931402
1202,51,49,
1209,10,34,0.488257282070817
1251,17,8,0.48361144567540393
1354,68,49,
1429,67,73,
1435,62,78,
1451,91,32,0.49066585293715936
1459,86,93,0.4795896218096387
1486,8,9,0.5005718651330681
1596,15,46,0.47912212230516454
1607,26,82,0.5092176294190481
1686,97,41,0.5160420666774292
1695,95,81,0.4799559819449306
1703,43,55,
1734,32,36,
1767,12,41,
1780,28,12,0.5036444866413387
1781,27,14,0.4988141578638334
1782,25,35,0.5023684723420889
1795,70,54,0.47847929532603206
1803,73,15,0.4773211076496099
1804,52,17,0.5152589996081873
1838,74,31,0.5007684972287281
1849,36,6,0.4787671100223495
1852,9,95,0.5227262477218301
1854,81,9,0.5178814404559702
1858,43,3,0.5137998842315958
1868,32,97,0.5111079518607509
1894,41,70,
1903,19,33,0.5056590283733001
1918,88,76,0.5124277733613013
1945,92,67,0.4830813680830838
1981,8,87,0.5227174292399859
2031,11,91,0.48184778710719367
2070,7,66,0.48613479987995434
2096,18,39,0.5187497292501692
2137,23,92,0.4773823398873622
2187,33,43,0.4831542478123791
2196,95,86,0.4807755330723608
2203,18,48,0.5203169075132673
2226,12,52,0.5148303643890437
2274,72,12,0.4774155926620039
2306,20,95,0.522679443808859
2350,39,76,0.5213837208596811
2382,53,73,
2403,8,3,0.48803710311456416
2406,63,28,0.4850731578869841
2452,59,55,
2500,83,60,0.4773373825551563
2510,72,71,0.5221309003780321
2512,48,29,
2533,87,43,0.5074614031064804
2571,52,67,
2583,10,36,
2608,28,39,0.5032080292638361
2610,46,23,0.5142145604400891
2634,57,82,
2636,61,97,0.5188586591977957
2680,23,70,0.5208260189135098
2689,47,61,
2710,14,10,0.5060189603988063
2718,76,53,0.5122332831453968
2756,33,15,
2776,79,79,
2778,3,50,0.4811620404523358
2789,90,30,0.49612446228097085
2834,32,70,
2839,14,62,0.48056141244551315
2877,26,68,0.4915665026769544
2962,42,66,
3043,82,44,0.518984159167106
3045,61,90,0.5096824680145947
3047,38,42,
3101,34,1,0.4979015414852084
3112,60,79,
3199,63,8,0.5061728037055573
3202,69,29,0.5023948501744582
3205,98,90,0.4869662400129645
3210,1,91,0.519173320469305
3218,22,48,0.4773971732975809
3241,6,94,0.4866673710030732
3259,87,40,0.5150647077274915
3301,0,59,0.5225728759818804
3316,26,24,0.4862572740084472
3409,65,21,0.48533361356357846
3410,58,72,
3421,22,85,0.518314187896774
3466,97,21,0.4932587445875761
3488,18,67,0.49442076228235265
3494,80,81,0.5018782880722331
3502,24,6,0.49516136858940474
3530,14,30,0.4993988704364095
3555,71,29,0.5215973067272178
3604,18,13,0.5019421601352899
3647,54,76,
3650,96,56,0.49947841773627544
3685,58,34,0.509000954962757
3782,23,20,0.5215283444574895
4062,94,34,0.5049034126617843
4100,52,3,0.4803335618959154
4107,58,41,
