,x,y,value
1,97,46,-987.0
5,60,7,-987.0
70,41,47,
85,12,19,-987.0
179,5,46,-987.0
235,66,66,
236,96,95,-987.0
285,40,0,-987.0
320,23,75,-987.0
357,29,8,-987.0
388,81,68,-987.0
397,27,74,-987.0
425,22,55,-987.0
451,29,69,
464,73,74,
478,72,65,-987.0
506,66,45,
508,25,5,-987.0
512,73,85,
609,1,23,-987.0
680,35,48,
699,65,70,
700,95,50,-987.0
701,82,61,-987.0
772,31,48,
822,52,83,
855,38,50,
869,96,33,-987.0
889,40,29,
923,33,29,
965,83,27,-987.0
1010,80,79,-987.0
1104,8,77,-987.0
1167,46,62,
1202,65,26,-987.0
1244,15,20,-987.0
1390,1,36,-987.0
1399,9,7,-306.0
1415,50,19,-987.0
1417,71,51,-987.0
1430,36,50,
1440,14,6,-987.0
1441,80,7,-987.0
1450,95,40,-987.0
1485,15,61,-987.0
1529,87,40,-987.0
1551,90,12,-987.0
1600,22,11,-987.0
1616,18,87,375.0
1628,5,98,-987.0
1644,82,50,-987.0
1664,5,50,-987.0
1730,80,83,-987.0
1738,89,46,-987.0
1745,26,17,-987.0
1747,6,72,-987.0
1771,67,56,
1781,68,27,-987.0
1788,77,5,-987.0
1795,55,6,-987.0
1814,16,77,-987.0
1855,47,34,
1878,3,85,-987.0
1887,56,80,
1903,38,20,
1909,90,91,-987.0
1949,16,56,-987.0
1969,52,3,-987.0
2008,43,29,
2023,49,83,
2040,24,49,-987.0
2050,71,63,-987.0
2090,73,28,-987.0
2185,88,20,-987.0
2237,90,37,-987.0
2270,38,22,
2286,21,8,-987.0
2327,47,88,
2362,69,21,-987.0
2365,83,91,-987.0
2417,85,96,-987.0
2421,59,30,-987.0
2473,74,4,-987.0
2488,69,6,-987.0
2500,82,8,-987.0
2552,97,76,-987.0
2556,56,17,-987.0
2571,26,12,-987.0
2586,99,24,-987.0
2588,12,82,-987.0
2596,24,29,-987.0
2601,31,92,-987.0
2699,49,26,-987.0
2708,5,60,-987.0
2775,98,20,-987.0
2786,49,4,-987.0
2812,68,72,
2908,93,58,-987.0
2910,87,98,-987.0
2989,68,11,-987.0
3154,97,52,-987.0
3176,67,95,-987.0
3225,39,17,-987.0
3239,44,80,
3243,82,86,-987.0
3340,11,18,-987.0
3404,42,85,
3453,45,47,
3478,19,3,-987.0
3517,62,15,-987.0
3572,93,40,-987.0
3622,36,22,
3646,82,85,-987.0
3662,56,7,-987.0
3671,1,96,-987.0
3707,98,70,-987.0
3717,27,48,-987.0
3802,18,80,148.0
3833,84,67,-987.0
3880,94,11,-987.0
3885,39,63,
3916,14,27,-987.0
3927,89,47,-987.0
3928,55,78,
3940,75,27,-987.0
3944,27,33,-987.0
3946,35,80,-987.0
4004,34,61,
4062,19,81,148.0
4064,40,49,
4116,28,65,
4117,72,87,
4125,79,73,-987.0
4158,89,41,-987.0
4168,30,96,-987.0
4183,21,36,-987.0
4195,31,96,-987.0
4203,31,99,-987.0
4206,19,38,-987.0
4243,48,35,
4268,46,32,
4401,53,91,-987.0
4439,24,68,-987.0
4463,33,33,
4477,56,67,
4483,55,55,
4545,88,61,-987.0
4575,71,50,-987.0
4594,36,67,
4607,86,34,-987.0
4681,38,48,
4683,12,54,-987.0
4689,88,60,-987.0
4690,68,3,-987.0
4697,35,70,
4732,3,89,-987.0
4750,67,59,
4783,21,67,-987.0
4797,58,1,-987.0
4811,86,37,-987.0
4839,90,1,-987.0
4858,63,39,
4869,31,70,
4892,15,97,-987.0
4913,45,74,
4923,95,78,-987.0
4959,49,84,
4968,99,74,-987.0
5004,31,43,-987.0
5042,2,64,-987.0
5051,68,76,
5067,34,1,-987.0
5131,15,82,375.0
5139,88,55,-987.0
5149,95,52,-987.0
5245,46,67,
5247,92,89,-987.0
5259,7,42,
5296,77,89,
5307,36,74,
5313,84,38,-987.0
5332,76,65,-987.0
5342,48,18,-987.0
5382,5,70,-987.0
5439,74,32,-987.0
5463,39,36,
5521,61,83,
5554,77,97,-987.0
5572,63,33,-987.0
5596,25,13,-987.0
5707,28,98,-987.0
5709,40,14,-987.0
5745,61,76,
5765,25,81,-987.0
5770,70,79,
5794,63,82,
5853,70,6,-987.0
5933,41,50,
5955,70,13,-987.0
5975,95,5,-987.0
6079,84,83,-987.0
6231,46,49,
6247,53,93,-987.0
6322,25,87,829.0
6348,62,73,
6374,75,34,-987.0
6379,21,57,-987.0
6397,58,25,-987.0
6529,2,25,-987.0
6534,69,60,
6578,87,29,-987.0
6624,9,56,-987.0
6657,28,66,
6677,7,34,-987.0
6784,40,58,
6791,62,24,-987.0
6821,46,45,
6879,67,79,
6948,78,14,-987.0
6951,92,65,-987.0
6965,44,12,-987.0
6969,63,16,-987.0
6976,93,75,-987.0
6986,38,75,-987.0
7021,16,81,-987.0
7039,29,96,-987.0
7062,29,48,-987.0
7064,38,69,
7132,80,54,-987.0
7169,7,67,-987.0
7196,65,5,-987.0
7225,10,78,-987.0
7244,79,35,-987.0
7297,71,3,-987.0
7340,87,81,-987.0
7345,63,1,-987.0
7359,79,68,-987.0
7375,64,78,
7393,38,70,
7401,17,58,-987.0
7410,47,50,
7411,48,91,-987.0
7419,47,32,
7439,59,79,
7442,0,79,-987.0
7480,61,97,-987.0
7513,24,95,-987.0
7515,34,41,-987.0
7540,70,93,-987.0
7545,48,58,
7587,3,14,-987.0
7589,93,10,-987.0
7630,19,71,-987.0
7652,84,12,-987.0
7716,9,10,-987.0
7787,54,13,-987.0
7808,18,35,-987.0
7877,11,13,-987.0
7881,87,35,-987.0
7960,35,83,-987.0
8032,26,80,-987.0
8060,56,40,
8064,91,48,-987.0
8085,18,61,-987.0
8138,41,54,
8181,86,79,-987.0
8204,59,37,-987.0
8224,83,98,-987.0
8229,15,60,-987.0
8252,84,2,-987.0
8265,5,97,-987.0
8275,28,94,-987.0
8286,76,91,-987.0
8301,25,61,-987.0
8317,78,7,-987.0
8328,14,9,-987.0
8367,29,7,-987.0
8381,44,73,
8388,43,13,-987.0
8404,95,34,-987.0
8438,64,46,
8446,18,41,-987.0
8484,63,8,-987.0
8545,72,74,
8581,21,79,148.0
8603,42,53,
8607,21,9,-987.0
8611,58,65,
8612,13,21,-987.0
8626,78,77,-987.0
8692,82,0,-987.0
8704,93,76,-987.0
8706,66,5,-987.0
8710,47,29,
8716,77,55,-987.0
8750,24,28,-987.0
8757,48,23,-987.0
8770,17,90,-987.0
8774,6,32,-987.0
8785,85,8,-987.0
8820,73,37,-987.0
8825,19,70,-987.0
8837,61,88,-987.0
8968,57,38,
9065,64,2,-987.0
9067,80,55,-987.0
9074,22,57,-987.0
9076,95,8,-987.0
9108,87,25,-987.0
9128,5,89,-987.0
9138,29,70,
9163,25,62,-987.0
9244,50,13,-987.0
9307,92,39,-987.0
9372,5,91,-987.0
9415,78,34,-987.0
9483,64,90,-987.0
9553,28,73,-987.0
9578,82,75,-987.0
9581,42,77,
9621,46,84,
9663,93,70,-987.0
9714,81,17,-987.0
9888,19,95,-987.0
9913,37,46,
9916,68,12,-987.0
9943,46,8,-987.0
9998,31,45,-987.0
9999,27,77,-987.0
10003,61,48,
10045,98,10,-987.0
10053,81,13,-987.0
10092,67,23,-987.0
10157,53,78,
10175,2,16,-987.0
10197,13,60,-987.0
10249,78,2,-987.0
10279,64,65,
10301,82,46,-987.0
10308,95,98,-987.0
10326,20,36,-987.0
10348,83,14,-987.0
10396,60,97,-987.0
10425,47,97,-987.0
10436,10,63,-987.0
10455,41,44,
10545,17,21,-987.0
10559,24,46,-987.0
10586,3,42,-987.0
10590,69,64,
10666,38,81,-987.0
10745,12,2,-306.0
10746,8,99,-987.0
10766,81,18,-987.0
10783,13,2,-987.0
10785,19,64,-987.0
10816,54,14,-987.0
10832,93,20,-987.0
10903,83,43,-987.0
10933,71,67,-987.0
