,x,y,value
21,89,73,-1.0
36,72,20,-1.0
109,38,54,
174,95,30,-1.0
207,82,68,-1.0
214,43,8,-1.0
229,67,27,-1.0
262,92,82,-1.0
275,90,10,-1.0
287,3,60,-1.0
303,32,68,
317,94,84,-1.0
334,48,53,
358,5,22,-1.0
360,23,89,-1.0
364,62,10,-1.0
374,39,51,
395,3,53,-1.0
400,29,27,-1.0
456,56,4,-1.0
517,8,18,-1.0
553,12,92,-1.0
559,26,99,-1.0
570,10,98,-1.0
586,51,0,-1.0
612,93,79,-1.0
623,30,37,-1.0
644,55,19,-1.0
652,76,13,-1.0
691,30,58,
707,34,45,-1.0
712,78,8,-1.0
718,43,31,
728,25,41,-1.0
805,15,4,-1.0
806,70,13,-1.0
813,83,10,-1.0
864,61,59,
871,0,38,-1.0
914,2,85,-1.0
951,30,20,
954,61,10,-1.0
960,5,40,
963,73,98,-1.0
980,72,33,-1.0
1005,61,57,
1072,6,29,-1.0
1079,2,58,-1.0
1110,48,95,-1.0
1122,62,32,-1.0
1180,45,75,
1251,62,31,-1.0
1259,56,23,-1.0
1295,0,64,-1.0
1321,71,21,-1.0
1342,29,83,-1.0
1369,97,43,-1.0
1384,23,40,-1.0
1491,17,84,-1.0
1496,51,52,
1498,3,96,-1.0
1508,11,75,-1.0
1572,33,54,
1648,6,12,-1.0
1649,94,62,-1.0
1707,21,59,-1.0
1714,8,74,-1.0
1722,94,56,-1.0
1739,26,86,-1.0
1778,28,24,-1.0
1812,93,82,-1.0
1825,73,18,-1.0
1887,25,21,-1.0
1939,43,16,-1.0
1965,41,18,-1.0
2032,19,50,-1.0
2070,79,16,-1.0
2191,29,48,-1.0
2197,98,98,-1.0
2227,43,67,
2247,96,67,-1.0
2305,22,23,-1.0
2320,58,46,
2335,41,60,
2375,98,24,-1.0
2389,15,64,-1.0
2391,0,42,-1.0
2431,51,56,
2433,22,58,-1.0
2439,88,21,-1.0
2450,30,21,
2487,94,73,-1.0
2563,51,24,-1.0
2677,6,16,-1.0
2686,72,66,-1.0
2688,41,84,
2725,97,94,-1.0
2743,52,5,-1.0
2779,95,15,-1.0
2869,51,60,
2892,80,48,-1.0
2912,21,55,-1.0
2942,22,42,-1.0
2977,19,15,-1.0
3035,93,55,-1.0
3067,73,55,-1.0
3093,29,57,
3118,18,89,-1.0
3131,49,55,
3143,60,70,
3147,98,13,-1.0
3180,9,22,-1.0
3361,79,53,-1.0
3427,23,70,-1.0
3446,48,52,
3490,38,30,
3503,92,17,-1.0
3524,82,85,-1.0
3543,99,54,-1.0
3544,1,86,-1.0
3548,6,42,
3550,0,12,-1.0
3595,16,91,-1.0
3597,35,47,
3614,82,78,-1.0
3620,67,85,
3679,20,60,-1.0
3681,24,98,-1.0
3699,36,62,
3884,26,55,
3907,57,28,-1.0
3934,22,52,-1.0
3993,10,23,-1.0
4034,42,66,
4039,69,73,
4078,6,87,-1.0
4098,82,15,-1.0
4120,58,40,
4159,3,12,-1.0
4196,34,78,-1.0
4309,1,68,-1.0
4316,61,7,-1.0
4321,93,42,-1.0
