,x,y,value
26,0,0,0
56,0,1,0
86,0,2,0
116,0,3,0
146,0,4,0
176,0,5,0
206,0,6,0
236,0,7,0
266,0,8,0
296,0,9,0
326,0,10,0
356,0,11,0
386,0,12,0
416,0,13,0
446,0,14,0
476,0,15,0
506,0,16,0
536,0,17,0
566,0,18,0
596,0,19,0
626,0,20,0
656,0,21,0
686,0,22,0
716,0,23,0
746,0,24,0
776,0,25,0
806,0,26,0
836,0,27,0
866,0,28,0
896,0,29,0
926,0,30,0
956,0,31,0
986,0,32,0
1016,0,33,0
1046,0,34,0
1076,0,35,0
1106,0,36,0
1136,0,37,0
1166,0,38,0
1196,0,39,0
1226,0,40,0
1256,0,41,0
1286,0,42,0
1316,0,43,0
1346,0,44,0
1376,0,45,0
1406,0,46,0
1436,0,47,0
1466,0,48,0
1496,0,49,0
1526,0,50,0
1556,0,51,0
1586,0,52,0
1616,0,53,0
1646,0,54,0
1676,0,55,0
1706,0,56,0
1736,0,57,0
1766,0,58,0
1796,0,59,0
1826,0,60,0
1856,0,61,0
1886,0,62,0
1916,0,63,0
1946,0,64,0
1976,0,65,0
2006,0,66,0
2036,0,67,0
2066,0,68,0
2096,0,69,0
2126,0,70,0
2156,0,71,0
2186,0,72,0
2216,0,73,0
2246,0,74,0
2276,0,75,0
2306,0,76,0
2336,0,77,0
2366,0,78,0
2396,0,79,0
2426,0,80,0
2456,0,81,0
2486,0,82,0
2516,0,83,0
2546,0,84,0
2576,0,85,0
2606,0,86,0
2636,0,87,0
2666,0,88,0
2696,0,89,0
2726,0,90,0
2756,0,91,0
2786,0,92,0
2816,0,93,0
2846,0,94,0
2876,0,95,0
2906,0,96,0
2936,0,97,0
2966,0,98,0
2996,0,99,0
3026,1,0,0
3056,1,1,0
3086,1,2,0
3116,1,3,0
3146,1,4,0
3176,1,5,0
3206,1,6,0
3236,1,7,0
3266,1,8,0
3296,1,9,0
3326,1,10,0
3356,1,11,0
3386,1,12,0
3416,1,13,0
3446,1,14,0
3476,1,15,0
3506,1,16,0
3536,1,17,0
3566,1,18,0
3596,1,19,0
3626,1,20,0
3656,1,21,0
3686,1,22,0
3716,1,23,0
3746,1,24,0
3776,1,25,0
3806,1,26,0
3836,1,27,0
3866,1,28,0
3896,1,29,0
3926,1,30,0
3956,1,31,0
3986,1,32,0
4016,1,33,0
4046,1,34,0
4076,1,35,0
4106,1,36,0
4136,1,37,0
4166,1,38,0
4196,1,39,0
4226,1,40,0
4256,1,41,0
4286,1,42,0
4316,1,43,0
4346,1,44,0
4376,1,45,0
4406,1,46,0
4436,1,47,0
4466,1,48,0
4496,1,49,0
4526,1,50,0
4556,1,51,0
4586,1,52,0
4616,1,53,0
4646,1,54,0
4676,1,55,0
4706,1,56,0
4736,1,57,0
4766,1,58,0
4796,1,59,0
4826,1,60,0
4856,1,61,0
4886,1,62,0
4916,1,63,0
4946,1,64,0
4976,1,65,0
5006,1,66,0
5036,1,67,0
5066,1,68,0
5096,1,69,0
5126,1,70,0
5156,1,71,0
5186,1,72,0
5216,1,73,0
5246,1,74,0
5276,1,75,0
5306,1,76,0
5336,1,77,0
5366,1,78,0
5396,1,79,0
5426,1,80,0
5456,1,81,0
5486,1,82,0
5516,1,83,0
5546,1,84,0
5576,1,85,0
5606,1,86,0
5636,1,87,0
5666,1,88,0
5696,1,89,0
5726,1,90,0
5756,1,91,0
5786,1,92,0
5816,1,93,0
5846,1,94,0
5876,1,95,0
5906,1,96,0
5936,1,97,0
5966,1,98,0
5996,1,99,0
6026,2,0,0
6056,2,1,0
6086,2,2,0
6116,2,3,0
6146,2,4,0
6176,2,5,0
6206,2,6,0
6236,2,7,0
6266,2,8,0
6296,2,9,0
6326,2,10,0
6356,2,11,0
6386,2,12,0
6416,2,13,0
6446,2,14,0
6476,2,15,0
6506,2,16,0
6536,2,17,0
6566,2,18,0
6596,2,19,0
6626,2,20,0
6656,2,21,0
6686,2,22,0
6716,2,23,0
6746,2,24,0
6776,2,25,0
6806,2,26,0
6836,2,27,0
6866,2,28,0
6896,2,29,0
6926,2,30,0
6956,2,31,0
6986,2,32,0
7016,2,33,0
7046,2,34,0
7076,2,35,0
7106,2,36,0
7136,2,37,0
7166,2,38,0
7196,2,39,0
7226,2,40,0
7256,2,41,0
7286,2,42,0
7316,2,43,0
7346,2,44,0
7376,2,45,0
7406,2,46,0
7436,2,47,0
7466,2,48,0
7496,2,49,0
7526,2,50,0
7556,2,51,0
7586,2,52,0
7616,2,53,0
7646,2,54,0
7676,2,55,0
7706,2,56,0
7736,2,57,0
7766,2,58,0
7796,2,59,0
7826,2,60,0
7856,2,61,0
7886,2,62,0
7916,2,63,0
7946,2,64,0
7976,2,65,0
8006,2,66,0
8036,2,67,0
8066,2,68,0
8096,2,69,0
8126,2,70,0
8156,2,71,0
8186,2,72,0
8216,2,73,0
8246,2,74,0
8276,2,75,0
8306,2,76,0
8336,2,77,0
8366,2,78,0
8396,2,79,0
8426,2,80,0
8456,2,81,0
8486,2,82,0
8516,2,83,0
8546,2,84,0
8576,2,85,0
8606,2,86,0
8636,2,87,0
8666,2,88,0
8696,2,89,0
8726,2,90,0
8756,2,91,0
8786,2,92,0
8816,2,93,0
8846,2,94,0
8876,2,95,0
8906,2,96,0
8936,2,97,0
8966,2,98,0
8996,2,99,0
9026,3,0,0
9056,3,1,0
9086,3,2,0
9116,3,3,0
9146,3,4,0
9176,3,5,0
9206,3,6,0
9236,3,7,0
9266,3,8,0
9296,3,9,0
9326,3,10,0
9356,3,11,0
9386,3,12,0
9416,3,13,0
9446,3,14,0
9476,3,15,0
9506,3,16,0
9536,3,17,0
9566,3,18,0
9596,3,19,0
9626,3,20,0
9656,3,21,0
9686,3,22,0
9716,3,23,0
9746,3,24,0
9776,3,25,0
9806,3,26,0
9836,3,27,0
9866,3,28,0
9896,3,29,0
9926,3,30,0
9956,3,31,0
9986,3,32,0
10016,3,33,0
10046,3,34,0
10076,3,35,0
10106,3,36,0
10136,3,37,0
10166,3,38,0
10196,3,39,0
10226,3,40,0
10256,3,41,0
10286,3,42,0
10316,3,43,0
10346,3,44,0
10376,3,45,0
10406,3,46,0
10436,3,47,0
10466,3,48,0
10496,3,49,0
10526,3,50,0
10556,3,51,0
10586,3,52,0
10616,3,53,0
10646,3,54,0
10676,3,55,0
10706,3,56,0
10736,3,57,0
10766,3,58,0
10796,3,59,0
10826,3,60,0
10856,3,61,0
10886,3,62,0
10916,3,63,0
10946,3,64,0
10976,3,65,0
11006,3,66,0
11036,3,67,0
11066,3,68,0
11096,3,69,0
11126,3,70,0
11156,3,71,0
11186,3,72,0
11216,3,73,0
11246,3,74,0
11276,3,75,0
11306,3,76,0
11336,3,77,0
11366,3,78,0
11396,3,79,0
11426,3,80,0
11456,3,81,0
11486,3,82,0
11516,3,83,0
11546,3,84,0
11576,3,85,0
11606,3,86,0
11636,3,87,0
11666,3,88,0
11696,3,89,0
11726,3,90,0
11756,3,91,0
11786,3,92,0
11816,3,93,0
11846,3,94,0
11876,3,95,0
11906,3,96,0
11936,3,97,0
11966,3,98,0
11996,3,99,0
12026,4,0,0
12056,4,1,0
12086,4,2,0
12116,4,3,0
12146,4,4,0
12176,4,5,0
12206,4,6,0
12236,4,7,0
12266,4,8,0
12296,4,9,0
12326,4,10,0
12356,4,11,0
12386,4,12,0
12416,4,13,0
12446,4,14,0
12476,4,15,0
12506,4,16,0
12536,4,17,0
12566,4,18,0
12596,4,19,0
12626,4,20,0
12656,4,21,0
12686,4,22,0
12716,4,23,0
12746,4,24,0
12776,4,25,0
12806,4,26,0
12836,4,27,0
12866,4,28,0
12896,4,29,0
12926,4,30,0
12956,4,31,0
12986,4,32,0
13016,4,33,0
13046,4,34,0
13076,4,35,0
13106,4,36,0
13136,4,37,0
13166,4,38,0
13196,4,39,0
13226,4,40,0
13256,4,41,0
13286,4,42,0
13316,4,43,0
13346,4,44,0
13376,4,45,0
13406,4,46,0
13436,4,47,0
13466,4,48,0
13496,4,49,0
13526,4,50,0
13556,4,51,0
13586,4,52,0
13616,4,53,0
13646,4,54,0
13676,4,55,0
13706,4,56,0
13736,4,57,0
13766,4,58,0
13796,4,59,0
13826,4,60,0
13856,4,61,0
13886,4,62,0
13916,4,63,0
13946,4,64,0
13976,4,65,0
14006,4,66,0
14036,4,67,0
14066,4,68,0
14096,4,69,0
14126,4,70,0
14156,4,71,0
14186,4,72,0
14216,4,73,0
14246,4,74,0
14276,4,75,0
14306,4,76,0
14336,4,77,0
14366,4,78,0
14396,4,79,0
14426,4,80,0
14456,4,81,0
14486,4,82,0
14516,4,83,0
14546,4,84,0
14576,4,85,0
14606,4,86,0
14636,4,87,0
14666,4,88,0
14696,4,89,0
14726,4,90,0
14756,4,91,0
14786,4,92,0
14816,4,93,0
14846,4,94,0
14876,4,95,0
14906,4,96,0
14936,4,97,0
14966,4,98,0
14996,4,99,0
15026,5,0,0
15056,5,1,0
15086,5,2,0
15116,5,3,0
15146,5,4,0
15176,5,5,0
15206,5,6,0
15236,5,7,0
15266,5,8,0
15296,5,9,0
15326,5,10,0
15356,5,11,0
15386,5,12,0
15416,5,13,0
15446,5,14,0
15476,5,15,0
15506,5,16,0
15536,5,17,0
15566,5,18,0
15596,5,19,0
15626,5,20,0
15656,5,21,0
15686,5,22,0
15716,5,23,0
15746,5,24,0
15776,5,25,0
15806,5,26,0
15836,5,27,0
15866,5,28,0
15896,5,29,0
15926,5,30,0
15956,5,31,0
15986,5,32,0
16016,5,33,0
16046,5,34,0
16076,5,35,0
16106,5,36,0
16136,5,37,0
16166,5,38,0
16196,5,39,0
16226,5,40,1
16256,5,41,0
16286,5,42,0
16316,5,43,0
16346,5,44,0
16376,5,45,0
16406,5,46,0
16436,5,47,0
16466,5,48,0
16496,5,49,0
16526,5,50,0
16556,5,51,0
16586,5,52,0
16616,5,53,0
16646,5,54,0
16676,5,55,0
16706,5,56,0
16736,5,57,0
16766,5,58,0
16796,5,59,0
16826,5,60,0
16856,5,61,0
16886,5,62,0
16916,5,63,0
16946,5,64,0
16976,5,65,0
17006,5,66,0
17036,5,67,0
17066,5,68,0
17096,5,69,0
17126,5,70,0
17156,5,71,0
17186,5,72,0
17216,5,73,0
17246,5,74,0
17276,5,75,0
17306,5,76,0
17336,5,77,0
17366,5,78,0
17396,5,79,0
17426,5,80,0
17456,5,81,0
17486,5,82,0
17516,5,83,0
17546,5,84,0
17576,5,85,0
17606,5,86,0
17636,5,87,0
17666,5,88,0
17696,5,89,0
17726,5,90,0
17756,5,91,0
17786,5,92,0
17816,5,93,0
17846,5,94,0
17876,5,95,0
17906,5,96,0
17936,5,97,0
17966,5,98,0
17996,5,99,0
18026,6,0,0
18056,6,1,0
18086,6,2,0
18116,6,3,0
18146,6,4,0
18176,6,5,0
18206,6,6,0
18236,6,7,0
18266,6,8,0
18296,6,9,0
18326,6,10,0
18356,6,11,0
18386,6,12,0
18416,6,13,0
18446,6,14,0
18476,6,15,0
18506,6,16,0
18536,6,17,0
18566,6,18,0
18596,6,19,0
18626,6,20,0
18656,6,21,0
18686,6,22,0
18716,6,23,0
18746,6,24,0
18776,6,25,0
18806,6,26,0
18836,6,27,0
18866,6,28,0
18896,6,29,0
18926,6,30,0
18956,6,31,0
18986,6,32,0
19016,6,33,0
19046,6,34,0
19076,6,35,0
19106,6,36,0
19136,6,37,1
19166,6,38,1
19196,6,39,1
19226,6,40,1
19256,6,41,1
19286,6,42,1
19316,6,43,1
19346,6,44,0
19376,6,45,0
19406,6,46,0
19436,6,47,0
19466,6,48,0
19496,6,49,0
19526,6,50,0
19556,6,51,0
19586,6,52,0
19616,6,53,0
19646,6,54,0
19676,6,55,0
19706,6,56,0
19736,6,57,0
19766,6,58,0
19796,6,59,0
19826,6,60,0
19856,6,61,0
19886,6,62,0
19916,6,63,0
19946,6,64,0
19976,6,65,0
20006,6,66,0
20036,6,67,0
20066,6,68,0
20096,6,69,0
20126,6,70,0
20156,6,71,0
20186,6,72,0
20216,6,73,0
20246,6,74,0
20276,6,75,0
20306,6,76,0
20336,6,77,0
20366,6,78,0
20396,6,79,0
20426,6,80,0
20456,6,81,0
20486,6,82,0
20516,6,83,0
20546,6,84,0
20576,6,85,0
20606,6,86,0
20636,6,87,0
20666,6,88,0
20696,6,89,0
20726,6,90,0
20756,6,91,0
20786,6,92,0
20816,6,93,0
20846,6,94,0
20876,6,95,0
20906,6,96,0
20936,6,97,0
20966,6,98,0
20996,6,99,0
21026,7,0,0
21056,7,1,0
21086,7,2,0
21116,7,3,0
21146,7,4,0
21176,7,5,0
21206,7,6,0
21236,7,7,0
21266,7,8,0
21296,7,9,0
21326,7,10,0
21356,7,11,0
21386,7,12,0
21416,7,13,0
21446,7,14,0
21476,7,15,0
21506,7,16,0
21536,7,17,0
21566,7,18,0
21596,7,19,0
21626,7,20,0
21656,7,21,0
21686,7,22,0
21716,7,23,0
21746,7,24,0
21776,7,25,0
21806,7,26,0
21836,7,27,0
21866,7,28,0
21896,7,29,0
21926,7,30,0
21956,7,31,0
21986,7,32,0
22016,7,33,0
22046,7,34,0
22076,7,35,0
22106,7,36,1
22136,7,37,1
22166,7,38,1
22196,7,39,1
22226,7,40,1
22256,7,41,1
22286,7,42,1
22316,7,43,1
22346,7,44,1
22376,7,45,0
22406,7,46,0
22436,7,47,0
22466,7,48,0
22496,7,49,0
22526,7,50,0
22556,7,51,0
22586,7,52,0
22616,7,53,0
22646,7,54,0
22676,7,55,0
22706,7,56,0
22736,7,57,0
