,x,y,value
40,32,22,
85,96,67,-4.374825964772917
98,63,96,-5.941906816467707
102,14,17,-7.252100787994916
151,43,38,
163,53,94,-6.682212749323433
221,95,26,-2.5485926536794343
233,89,11,-6.297768443375866
256,21,75,-3.363007672165147
279,85,23,-3.2257033837279074
285,0,42,-2.2062102715113134
288,88,62,-2.352077644004856
291,98,16,-6.34852176503167
355,76,62,-5.03092696270438
362,28,28,-5.457933850311775
363,73,89,
404,69,46,
461,44,25,
533,92,83,-1.7811413632246822
558,20,33,-1.0442817591868359
602,17,2,-0.19194390564332764
694,70,68,-3.055126863666337
787,58,69,
809,8,81,-1.4523811626920864
814,73,70,0.6827848789320647
872,36,66,
938,3,55,-3.5011488512145155
940,50,70,
941,93,46,-5.362378871842516
968,86,34,0.20280804633993554
972,63,28,-5.4913579336456495
997,15,61,-6.144296666835924
1015,8,40,
1067,39,19,
1074,33,27,
1081,23,31,-1.8525613216272996
1099,83,30,-0.34355468212274864
1104,86,85,-3.562890534596167
1154,55,24,-3.5830226767052675
1156,97,69,0.48405138110722135
1167,53,86,
1254,68,30,-4.5127282569278755
1260,86,76,0.6754550032979854
1261,58,18,-3.8657550616530383
1289,38,38,
1307,30,48,-2.3670441348145905
1378,8,47,-5.937939253521974
1416,96,16,-5.054775075945807
1425,16,60,-7.046681331081384
1468,19,29,-4.975718637036829
1477,90,4,0.3934343546724701
1633,20,47,-5.4417461123773405
1651,56,12,-5.241786497716991
1670,70,32,-1.9782677965933786
1686,59,14,-4.64757214714975
1765,1,68,-4.0222707874693295
1790,11,13,-7.144544173967315
1835,76,59,-6.976562394098855
1860,99,47,-4.72315687967488
1891,43,86,
1949,25,69,-2.326777359095508
1991,91,4,-2.691370681144411
2016,4,87,-3.7311057095429616
2046,46,11,-4.674947705208817
2049,35,88,-3.307516637601249
2101,96,65,-1.4186772303376545
2118,97,18,-7.241307849041485
2139,0,5,-2.035501430864424
2161,23,51,-7.401281735336987
2172,44,28,
2176,18,20,-3.487428419680368
2224,31,71,
2234,0,11,-4.220038169049641
2256,21,21,-3.418841035059417
2276,22,25,-4.874256278349618
2277,41,70,
2425,17,72,-3.389961024279895
2436,10,16,-5.093293281386455
2443,88,28,-1.358589894945296
2486,49,29,
2494,5,47,-2.749140067199562
2497,42,97,-3.330966413549784
2515,87,73,-3.418628998979746
2518,80,59,-2.9659712964164227
2531,13,71,-2.690116932400427
2533,67,52,
2609,76,4,-0.25616910912905677
2613,68,12,-6.211076778610153
2674,88,45,-1.036272207795367
2678,35,72,
2766,36,95,-3.169195167120992
2776,39,7,-1.994430829933468
2803,99,5,-4.241055748637052
2815,40,13,-7.143306474459718
2825,36,14,-2.9869323928329106
2842,80,1,-3.5195829256132534
2847,0,16,-5.587006492842976
2853,2,39,-0.3087035076869302
2918,29,76,-3.783269596106977
2921,98,85,-6.859040484180287
2940,74,59,-6.785449122047227
3054,97,58,-4.1315174842061335
3074,54,85,
3088,0,29,-2.861725466765022
3104,15,62,-3.9785795182583783
3115,5,75,-3.4520792010618084
3169,79,35,-0.44615202170182044
3184,93,97,-6.927114143177865
3207,7,1,0.1949343943948243
3255,44,60,
3281,53,48,
3299,82,29,-2.4464277817581612
3324,77,88,
3331,7,88,-4.8830168293571505
3369,21,24,-2.529591061749948
3376,19,21,-5.536573076578392
3484,13,40,
3498,42,69,
3531,3,24,-4.151484087159721
3539,35,45,-5.250843293056069
3552,63,37,
3554,77,20,-4.33840375264424
3568,72,29,-0.7996881441423698
3581,42,0,-1.249944555509014
3595,99,31,-1.4280384604588985
3607,32,36,
3676,3,91,-5.044916174174629
3732,21,26,-5.350626867328654
3748,40,33,
3789,15,31,-2.0703360773166155
3810,42,64,
3863,18,52,-5.951976842323937
3953,63,4,-0.3623583151273788
3968,33,2,-1.4421362018172754
3984,12,90,-7.172216343916355
3997,70,69,-3.94185444363805
4068,88,3,-1.30573612800867
4095,86,96,-5.232396293891485
4168,38,0,-1.249944555509014
4311,55,97,-3.459970950055892
4334,18,13,-2.6508714864466496
4371,1,87,-7.058407552838945
4434,40,48,
4466,69,29,-2.426803981126117
4491,59,10,-5.149927763211821
4562,52,90,-7.56909687323773
4570,6,47,-5.578183538468023
4594,44,63,
4615,46,93,-7.320326768988558
4706,64,15,-7.595500393350179
4718,39,71,
4733,31,28,
4743,90,82,-4.375525530425813
4752,98,18,-7.998374534147409
4768,43,73,
4814,90,92,-7.850086279676208
4817,5,3,-0.0811120063158377
4844,96,87,-2.965747525803023
4860,69,80,
4867,74,94,-4.369715093422466
4967,87,13,-4.838293810077008
5001,45,26,
5005,33,4,-1.6447142902982517
5022,47,7,-0.9834054775941441
5042,67,36,
5043,97,57,-6.023699140522741
5052,63,31,-4.144358557250573
5069,32,60,
5141,46,82,
5173,5,97,-2.592097458524707
5184,85,31,-0.561790421813285
5233,2,94,-6.5456515609532
5315,16,6,-0.1371738516214922
5365,95,28,-1.4390574724355671
5400,35,1,-2.2467280119400055
5447,45,41,
5459,41,26,
5464,98,88,-6.160173331414789
5474,19,68,-3.624451183921673
5518,48,6,-4.275184587276293
5556,28,89,-7.081869776891346
5568,21,92,-5.544689580888272
5584,73,10,-1.7894374512734688
5608,95,44,-0.6684587568413223
5633,3,73,-3.0288433603679747
5668,7,97,-3.7756672671107996
5689,76,51,-6.808474091485532
5702,79,38,-3.532016118242188
5728,7,63,-1.7216385583807474
5734,49,22,-6.23469874353267
5741,47,19,-4.135103860894155
5809,12,60,-6.087174898625101
5835,84,25,-2.1572481028326997
5838,40,17,-3.4771886769980735
5841,71,3,-2.866779539587503
5867,48,56,
5877,18,75,-3.1390028658537092
5926,97,52,-7.73330019631412
5931,27,56,
5962,50,12,-4.475666343099535
5969,60,96,-7.231870475021883
5990,51,61,
6040,37,18,
6066,54,73,
6080,1,47,-3.7774337715723227
6081,14,27,-1.724585685694218
6085,7,46,-1.423341619612759
6100,64,64,
6117,76,87,
6124,91,36,0.16030320045491742
6189,78,11,-4.981425793906604
6196,91,91,-6.2806048433191055
6207,7,81,-0.8693366955186796
6249,24,40,-3.8437749755930533
6251,52,39,
6360,83,4,-3.6681382787005106
6361,63,40,
6405,19,24,-5.7397256984681295
6455,82,79,-2.3079970175326743
6484,35,96,-7.240504886044263
6495,18,36,0.40678048315534276
6506,4,2,0.8436894886605941
6527,22,31,-2.7796276269770486
6557,8,77,-1.2409361198375963
6559,17,31,-3.7644069641343494
6560,67,43,
6565,75,9,-2.493762386408644
6580,37,37,
6656,4,88,-5.117381167011703
6664,80,63,-2.0575951840687035
6666,4,81,-4.024809074571123
6713,42,16,-6.253714854045731
6788,30,51,
6803,80,25,-2.2877947951963833
6814,68,89,-3.4397836223333673
6825,14,22,-5.011015628082478
6840,87,8,-5.300629564529076
6844,1,32,-0.6375878642531676
6884,94,11,-5.1293207443265
6892,65,16,-5.88500346465084
6928,46,58,
6979,47,92,-3.652933922321549
7026,9,24,-3.1564421959783777
7036,97,59,-7.020830921502556
7098,47,58,
7118,6,24,-5.827406897080126
7159,66,48,
7229,76,96,-2.8810384522926613
7234,70,99,-4.747260115335111
7243,53,25,-5.917571338109515
7292,35,35,
7334,98,42,-1.1006884464913567
7362,48,45,
7367,12,21,-4.094879825625766
7409,19,17,-4.459639996026976
7434,4,67,-4.161290480281256
7439,86,18,-4.126198200395033
7460,71,0,-1.249944555509014
7477,33,92,-3.60918235377152
7564,27,63,
7654,89,9,-3.2187231585234466
7697,21,4,-0.11445436613431514
7712,29,12,-3.096890321168636
7717,64,51,
7750,35,40,-3.7141340371236415
7785,66,43,
7887,75,64,-4.191531130765089
7888,7,64,-1.2788096679986118
7915,45,40,
7950,51,44,
