,x,y,value
1,22,20,-4.950722421850961
64,58,42,
93,49,18,-4.946015099237655
96,95,34,-4.939811457002739
123,11,54,-4.952995849264335
146,44,46,
148,88,22,-4.94064932993523
167,97,69,-4.939577636229017
179,99,60,-4.939346421810398
194,20,41,-4.951117128771604
200,44,4,-4.9468111756997715
227,4,81,-4.954587883001887
275,30,15,
315,56,3,-4.944948887740481
373,82,59,-4.941393404940108
389,23,32,-4.9505274804041735
390,96,6,-4.939694510291266
414,87,4,-4.940771813039286
450,57,17,-4.944800575167907
452,6,60,-4.954120189200778
491,14,56,-4.952350042616663
493,17,76,-4.9517239300213856
543,0,57,-4.9555586128712
557,0,13,-4.955559820615454
576,39,56,
659,50,22,-4.9458593994580475
660,30,60,
661,61,34,-4.944218015501089
696,68,41,
706,53,81,
775,68,71,
783,99,17,-4.939346632719396
831,1,70,-4.955311315556443
874,54,80,
921,42,8,-4.9471379954461865
925,70,66,-4.9429622042400325
1054,94,86,-4.93992901643433
1104,53,34,
1122,47,85,
1123,7,93,-4.953889760392871
1166,53,48,
1177,68,45,
1189,95,30,-4.93981147879552
1238,3,87,-4.954825976232463
1249,60,83,-4.944361837232918
1326,17,54,-4.9517241967672225
1344,9,60,-4.953438023601017
1392,60,31,-4.94436216670585
1409,83,87,-4.94126749118873
1423,55,58,
1434,15,64,-4.952139166515267
1479,41,60,
1481,41,76,
1563,88,37,-4.940649236842756
1596,29,46,-4.949396046534082
1603,0,2,-4.9555603698773245
1685,59,3,-4.944507608814297
1708,35,90,-4.948322920911265
1772,79,43,-4.941775279906228
1797,24,55,-4.950334275134596
1818,18,17,-4.951520414256612
1898,18,65,-4.9515196335032385
1943,67,49,
1952,27,60,
1979,7,52,-4.953890350103194
2103,60,84,-4.944361832396551
2156,62,65,
2169,80,13,-4.941647491204466
2208,68,7,-4.943235464913366
2212,77,32,-4.942033621896371
2233,59,68,
2252,71,89,-4.942826975727444
2276,8,73,-4.953662658681558
2284,3,50,-4.954826585403087
2331,60,19,-4.944362283317529
2568,24,43,-4.950334423905457
2585,38,36,
2607,50,60,
2653,75,90,-4.942294692694279
2654,55,72,
2662,26,24,-4.949954246338236
2675,63,8,-4.943932892633852
2690,64,89,-4.943791013750014
2696,82,49,-4.941393452268066
2713,98,12,-4.9394619963689665
2743,27,84,-4.949765913325716
2748,91,19,-4.940286408273517
2894,5,48,-4.954353046571031
2914,16,45,-4.951930822508252
3024,53,85,
