,x,y,value
6,66,59,
21,46,78,
50,73,39,11.979052464420764
57,25,20,12.96959566909782
93,81,9,14.066304031140593
122,27,4,14.557730880635864
162,5,9,13.827952924774063
163,79,49,11.506337521686437
170,95,2,15.093499835413152
248,16,36,11.95665876404133
315,64,80,
317,11,86,9.843012593636534
383,12,44,
444,59,1,15.301261845200358
455,24,94,9.626588619495745
458,83,1,15.347485482438044
512,47,18,13.194167745371754
580,50,42,
702,79,47,11.598614208607774
764,97,41,11.905167725973202
765,36,19,
886,62,64,
906,79,34,12.253683029718294
908,3,17,13.101322645366377
963,95,63,10.923470477041969
979,48,14,13.517530580433794
995,57,25,12.738933532246406
1068,6,91,9.651779449036532
1113,82,88,9.988528312020245
1129,32,75,10.31884139817322
1138,40,71,
1167,0,6,14.15816566670204
1180,28,40,11.796976051545919
1196,89,68,10.721626252749392
1199,41,3,14.779673592577666
1295,58,60,
1298,74,36,12.137471101417251
1358,90,71,10.607467903162942
1406,58,70,
1408,18,0,15.800535838932245
1487,45,83,
1527,98,98,9.67040951894601
1592,86,89,9.959339321746688
1595,74,62,10.939461061895628
1611,93,83,10.172278892368865
1643,30,15,
1697,94,96,9.733392314950176
1701,78,80,
1715,71,59,11.057196464734613
1784,15,77,10.178547965336683
1792,61,63,
1795,11,16,13.214315345255041
1813,49,70,
1889,84,82,10.199089892999321
1971,64,77,
1985,26,5,14.402954690137088
2034,0,59,10.813688568002066
2084,97,80,10.280670590257188
2128,82,17,13.349671289832557
2173,79,69,10.671043002724073
2196,18,33,12.128169346426201
2205,96,99,9.637360590785025
2252,17,41,11.703069457395832
2261,49,13,13.607592248509135
2262,88,92,9.860578207543258
2323,74,23,12.907268253474323
2335,57,28,12.552582624813967
2351,1,49,11.253492444985579
2363,96,91,9.899772500269723
2395,60,94,9.745055054364757
2418,13,4,14.501285742849074
2427,28,96,9.57650915667823
2452,98,92,9.867199350943318
2630,67,46,
2638,76,69,10.666326331285415
2680,83,31,12.427419008477774
2715,98,93,9.833964803422054
2730,70,52,11.355722179881635
2749,78,46,11.643973582560317
2752,98,89,9.968001764489241
2763,15,44,11.547696876490171
2764,91,30,12.493459682969071
2794,23,30,12.319196617082067
2821,21,62,10.779013752086444
2878,61,93,9.78059767032332
2914,62,51,
2922,12,64,10.661424853174417
3000,94,53,11.342995198635935
3054,24,74,10.325340348426408
3089,97,63,10.924433971896
3108,14,32,12.167723367957347
3145,59,48,
3168,69,25,12.76721274174619
3171,88,41,11.898937575073303
3194,16,78,10.146379311947722
3248,77,17,13.342382097866546
3287,83,79,10.304744607816229
3423,0,84,9.864997966148636
3431,72,68,10.697870537692374
3497,22,17,13.180879664492071
3505,75,67,10.742166809791833
3558,83,89,9.955835741015417
3590,97,51,11.433186873898567
3648,61,18,13.233338921728166
3746,13,13,13.47489381907614
3764,62,73,
3768,85,93,9.82419317365362
3873,2,96,9.469175720525035
3937,56,16,13.375527220600858
3951,53,74,
3961,58,53,
3991,21,91,9.714372057012984
4042,71,88,
4055,79,51,11.415925587127493
4078,72,26,12.70979767539633
4121,24,14,13.43265328990099
4127,15,75,10.25187964782371
4142,9,41,
4167,26,63,
4214,33,33,
4304,50,8,14.107397803422192
4313,81,38,12.04336709617244
4329,90,95,9.763210268285137
4348,69,81,
4353,24,64,10.710393008546694
4384,63,43,
4389,67,40,
4417,28,49,11.36517983627936
4452,11,63,10.697319656216433
4511,46,39,
4515,41,61,
4527,6,14,13.358137563334509
4541,40,70,
4559,46,49,
4570,51,29,12.475897588112256
4573,6,79,10.068075063138295
4582,6,49,11.275154232805914
4619,12,83,9.95155026060458
4657,20,2,14.904585628187874
4682,6,33,12.077726396079768
4741,20,33,12.136293269652054
4742,85,3,14.881896668031311
4749,90,65,10.840095687256618
4768,64,35,
4782,91,98,9.66640480978108
4807,31,66,
4848,82,24,12.853673014419188
4859,29,54,
4884,97,45,11.710137308752243
4900,62,60,
4941,33,49,
4969,54,16,13.37001723267888
4975,75,66,10.781363671520584
4995,53,25,12.727914604659395
5000,95,24,12.86576930169286
5007,53,99,9.563574009753918
5013,34,30,
5101,43,1,15.254306162487948
5217,19,44,11.564126053416693
5226,2,24,12.600980388215548
5229,74,75,
5260,1,28,12.345695439204537
5263,62,19,13.161453518289287
5295,92,24,12.863871745674352
5323,1,33,12.056064608259433
5332,74,15,13.497223822209255
5407,63,78,
5416,39,65,
5473,16,31,12.232977044209559
5509,87,43,11.799296937675892
5513,5,99,9.385058428217189
5527,68,74,
5579,78,90,9.91504715289635
5598,46,93,9.738287734367713
5608,75,54,11.277167169691369
5613,78,94,9.781740818009812
5631,28,94,9.642098496402712
5673,77,11,13.857946707132367
5729,46,24,12.771446719992712
5770,63,36,
5803,12,20,12.916707022789904
5812,49,93,9.747574420617951
5814,59,23,12.874674243128933
5859,79,31,12.421932752680362
5981,3,31,12.177785612857555
6050,30,76,10.27460675716566
6057,77,2,15.074114356173471
6070,95,58,11.128985760086326
6088,86,63,10.916162521653607
6103,76,74,10.477291239301794
6115,43,64,
6150,94,71,10.610358316134363
6171,2,83,9.90869485673063
6224,32,25,
6285,64,21,13.023180563053735
6317,59,16,13.383430992723259
6335,58,49,
6347,96,73,10.536101277669053
6352,79,81,
6397,34,93,9.697493724629357
6406,88,75,10.456006518648394
6413,55,47,
6414,55,75,
6426,85,15,13.51324784280694
6491,48,30,
6601,33,28,
6613,43,92,9.761854007519398
6680,10,34,12.039595365415398
6740,68,92,9.829798170519792
6769,55,24,12.798099099544558
6787,3,71,10.350485703446681
6841,20,74,10.309391495432212
6857,21,23,12.746820943665139
6883,77,27,12.656408013330225
6905,57,66,
6945,98,46,11.663141225631527
6978,75,36,12.139212466272944
7063,40,5,14.454083084444623
7067,53,31,12.364955934001923
7078,97,77,10.388904987061268
7086,78,49,11.504822157886462
7123,8,9,13.840839643024855
7246,93,19,13.209825465960254
7269,34,14,
7277,87,2,15.087242108748427
7312,32,92,9.723413087068083
7324,53,60,
7327,31,37,11.96286449065352
7343,5,71,10.35914044305432
7350,18,44,11.560052272909594
7364,38,32,
7390,60,30,12.44161098541774
7439,69,75,
7445,95,32,12.381277433502483
7452,0,89,9.69314130829897
7507,47,46,
7516,91,23,12.929059194675512
7563,44,73,
7566,25,92,9.696800000293681
7574,57,34,12.207725138626865
7610,12,84,9.916570425381352
7636,25,88,9.831579735998472
7639,74,38,12.032365018926196
7654,81,61,10.991222285616677
7688,86,80,10.272399140014794
7691,9,49,11.28799870344226
7725,90,3,14.886851078421962
7728,16,92,9.660591363201279
7775,44,23,12.830982708619821
7809,93,99,9.635643742510323
7826,28,68,
7908,0,70,10.37549329414277
7933,72,80,
7983,20,38,11.867891974712844
8026,93,17,13.360562699267152
8166,77,32,12.361891954262802
8174,62,57,
8194,45,50,
8200,19,67,10.571902258004036
8210,45,16,13.342962420723321
8231,50,65,
8362,14,5,14.354553185343182
8391,65,36,
8392,62,14,13.556041818622031
8413,0,66,10.53055750084074
8457,53,14,13.532344033536592
8470,42,53,
8472,29,82,10.055022808936698
8569,26,57,
8628,46,37,
8645,77,88,
8648,11,74,10.272154881831957
8685,88,42,11.849319160567315
8686,82,47,11.602815713251143
8716,97,0,15.998537464237407
8797,97,31,12.439194039451436
8799,24,32,12.208312079271401
8817,30,91,9.749380568784472
8860,3,19,12.950585412059478
8937,9,11,13.642695576210834
8941,64,6,14.38681324640781
9022,70,5,14.536147112235243
9024,63,95,9.719481078243422
9042,98,58,11.130340247440522
9050,40,74,
9051,64,92,9.820986474458817
9062,60,73,
9076,13,19,12.993296018916427
9096,95,60,11.04575600105899
9123,73,98,9.642816804957933
9139,64,59,
9218,52,5,14.49196055473438
9245,99,21,13.069723825735126
9386,5,46,11.409996546145123
9442,86,3,14.88300585505719
9463,87,3,14.884056083780827
9485,12,82,9.986741460119168
9490,98,48,11.56988782098628
9520,9,12,13.548417041346513
9525,53,41,
9528,77,55,11.23718373459501
9541,96,43,11.806066634776244
9552,13,32,12.163543108619582
9557,59,43,
9598,91,32,12.378627211691747
9631,70,83,
9653,38,75,10.34036579454802
9759,23,44,11.580177115662982
9764,72,99,9.608757973212692
9766,69,96,9.69998816049366
9878,60,51,
9897,52,30,12.41996320862587
10110,3,47,11.354467068784965
10122,8,65,10.604654945398789
10142,72,39,11.977200043917943
10144,68,87,
10179,48,15,13.433576921522903
10212,57,33,12.262951793868861
10230,37,80,10.155301759638782
10231,55,40,
10246,60,98,9.614556112229746
10271,31,57,
10300,92,25,12.799291659236369
10359,38,91,9.778353149687854
10401,12,4,14.497086558128615
10411,98,76,10.425841205569478
10415,15,43,11.596161137470064
10421,96,6,14.432183605973744
10439,51,13,13.613563500286737
10448,28,50,11.319747822208145
10473,30,29,
10515,11,36,
10532,98,94,9.800908461081022
10622,37,60,
10644,13,33,12.10747315199443
10698,74,57,11.146697669352696
10701,24,40,11.781466174638952
10741,79,83,
10799,61,7,14.254193492858363
10858,91,27,12.67314327075917
10872,6,99,9.389367539551834
10922,43,43,
10930,66,63,
10939,58,81,
10958,91,22,12.996449062527908
10977,38,11,13.756424806225809
10982,66,98,9.628707830872184
10996,79,48,11.552235541715044
10997,3,50,11.216758367792412
11024,88,39,12.000024035008781
11027,59,36,12.104877091071861
11100,74,1,15.33385585554575
11164,77,63,10.904084997802286
11177,83,16,13.429654629960945
11189,89,14,13.601283712052384
11212,6,42,
11217,60,60,
11245,18,69,10.490302664189983
11271,40,52,
11309,88,69,10.682074138595246
11355,10,82,9.978289513502592
11394,91,35,12.212910302991148
11410,8,12,13.54415017762631
11414,53,24,12.792494691097378
11437,93,82,10.207470091883454
11453,45,52,
11465,70,10,13.944042610473627
11486,4,52,11.131570568701061
11546,10,49,11.292249857383538
11559,30,12,
11561,92,10,13.974105193108198
11682,81,98,9.655615945826135
11701,77,14,13.586233164892391
11702,35,16,
11754,43,22,12.89510842826892
11809,87,51,11.425965652379809
11816,72,30,12.468019257643103
11832,46,48,
11870,72,86,
11898,36,0,15.869633997087236
11915,19,68,10.53299683488505
11927,26,49,11.357482752852246
11937,64,37,
11982,77,92,9.846459384349442
12015,72,13,13.664537496822337
12106,75,35,12.192860726645652
12146,37,57,
12184,30,56,
12195,64,63,
12201,9,9,13.845106506745058
12312,90,72,10.569666433538451
12320,5,89,9.714857085002837
12329,24,47,11.441946646293731
12331,84,20,13.129055455670057
12345,20,77,10.199027284981955
12401,21,95,9.581784527487617
12442,40,3,14.776289644001855
12462,35,88,9.869113982005278
12467,7,86,9.825978178838206
12470,67,27,12.637623089087302
12472,92,51,11.430325823026024
12480,56,84,
12517,56,80,
12518,54,60,
12542,54,98,9.598606098190121
12564,67,83,
12567,87,92,9.859587136924398
12598,84,52,11.378097241811505
12610,19,2,14.900535485469122
12635,94,43,11.804982345288447
12676,52,85,
12688,22,16,13.259578253466419
12691,33,73,
12714,85,67,10.756449465533827
12791,10,39,
12793,30,90,9.782980347563743
12794,6,35,11.96807944400432
12857,56,53,
12884,64,68,
12887,94,61,11.00408905233019
12993,60,10,13.921503829764633
13050,47,76,
13051,44,81,
13092,21,30,12.311221431958698
13099,76,1,15.337282555201977
13126,87,77,10.381683765542512
13147,0,2,14.819993866577073
13176,26,87,9.869642968378024
13238,90,60,11.042293269035401
13279,88,26,12.73262166648717
13286,99,73,10.53727418078451
13289,36,49,
13304,10,95,9.53628754408879
13310,11,28,12.388687486996902
13362,26,18,13.120199006721474
13384,33,89,9.827890068413952
13418,53,7,14.232931528007423
13426,38,3,14.76940643029931
13435,10,41,
13476,29,5,14.41445509010249
13510,63,22,12.951907362273339
