,x,y,value
24,6,17,-987.0
45,10,15,-987.0
74,72,46,-987.0
143,97,7,-987.0
145,58,91,-987.0
165,32,62,
249,79,7,-987.0
267,6,28,-987.0
269,78,45,-987.0
280,18,25,-987.0
419,24,10,-987.0
440,46,86,
466,59,36,-987.0
471,46,72,
482,61,56,
615,86,63,-987.0
629,67,18,-987.0
709,17,93,-987.0
717,35,10,-987.0
720,38,90,-987.0
771,24,47,-987.0
823,64,89,-987.0
914,79,41,-987.0
920,40,5,-987.0
924,98,71,-987.0
1008,45,97,-987.0
1051,84,49,-987.0
1072,29,7,-987.0
1076,21,71,-987.0
1078,57,42,
1111,3,29,-987.0
1146,47,86,
1149,29,30,-987.0
1152,69,61,
1200,0,83,-987.0
1211,36,80,-987.0
1229,33,91,-987.0
1239,46,95,-987.0
1245,95,24,-987.0
1276,54,44,
1284,58,27,-987.0
1294,0,48,-987.0
1354,95,96,-987.0
1400,34,13,-987.0
1405,70,3,-987.0
1436,64,99,-987.0
1438,69,91,-987.0
1468,91,22,-987.0
1497,48,93,-987.0
1530,42,74,
1571,82,66,-987.0
1574,99,37,-987.0
1621,47,20,-987.0
1638,86,14,-987.0
1651,93,92,-987.0
1705,19,33,-987.0
1740,10,53,-987.0
1748,59,68,
1798,13,83,-987.0
1877,47,85,
1936,93,61,-987.0
1952,10,72,-987.0
2026,4,76,-987.0
2052,66,24,-987.0
2057,89,26,-987.0
2080,35,12,-987.0
2113,79,31,-987.0
2115,9,99,-987.0
2146,87,82,-987.0
2159,84,80,-987.0
2204,44,25,
2220,67,46,
2289,57,24,-987.0
2303,23,31,-987.0
2309,94,6,-987.0
2317,39,21,
2329,88,70,-987.0
2331,26,28,-987.0
2384,10,82,-987.0
2401,12,98,-987.0
2407,80,40,-987.0
2424,77,90,-987.0
2532,31,95,-987.0
2560,88,27,-987.0
2580,11,8,-987.0
2600,31,99,-987.0
2618,86,3,-987.0
2624,31,80,-987.0
2625,81,64,-987.0
2703,92,91,-987.0
2715,82,72,-987.0
2749,93,52,-987.0
2773,2,55,-987.0
2779,75,10,-987.0
2811,3,46,-987.0
2818,93,66,-987.0
2830,75,92,-987.0
2907,12,35,-987.0
2911,8,17,-987.0
2996,99,17,-987.0
3002,25,78,-987.0
3008,77,33,-987.0
3009,87,23,-987.0
3011,67,78,
3090,67,39,
3115,73,49,-987.0
3162,91,30,-987.0
3181,75,61,-987.0
3193,99,19,-987.0
3200,71,69,-987.0
3242,59,29,-987.0
3252,25,81,-987.0
3254,48,20,-987.0
3267,60,1,-987.0
3272,24,84,-987.0
3363,88,43,-987.0
3370,73,5,-987.0
3406,24,12,-987.0
3477,65,91,-987.0
3484,72,24,-987.0
3488,94,94,-987.0
3514,47,81,
3592,63,97,-987.0
3630,95,66,-987.0
3632,5,14,-987.0
3681,8,82,-987.0
3755,36,83,-987.0
3780,56,44,
3811,81,3,-987.0
3818,46,49,
3827,74,87,
3859,21,23,-987.0
3871,84,3,-987.0
3874,52,19,-987.0
3901,82,15,-987.0
3902,67,58,
3941,7,4,-306.0
3942,43,62,
3943,40,14,-987.0
3995,88,22,-987.0
4103,51,84,
4115,15,62,-987.0
4124,49,86,
4154,26,8,-987.0
4182,54,94,-987.0
4196,46,67,
4257,57,30,-987.0
4272,68,13,-987.0
4285,32,66,
4293,37,20,
4307,3,66,-987.0
4404,39,87,-987.0
4409,27,0,-987.0
4440,45,78,
4484,98,16,-987.0
4542,70,18,-987.0
4553,57,39,
4601,82,49,-987.0
4629,74,24,-987.0
4662,7,69,-987.0
4702,75,2,-987.0
4724,93,64,-987.0
4727,59,34,-987.0
4742,47,22,-987.0
4746,80,7,-987.0
4755,66,16,-987.0
4817,61,32,-987.0
4833,42,80,
4861,22,69,-987.0
4867,88,12,-987.0
4889,22,60,-987.0
4945,88,3,-987.0
4964,95,85,-987.0
5006,38,88,-987.0
5068,62,10,-987.0
5114,55,84,
5172,11,5,-306.0
5203,52,56,
5211,83,5,-987.0
5214,31,18,
5227,77,46,-987.0
5302,17,64,-987.0
5375,89,51,-987.0
5391,36,39,
5392,69,82,
5401,55,13,-987.0
5497,39,94,-987.0
5534,15,46,-987.0
5609,26,20,-987.0
5647,78,60,-987.0
5662,71,64,-987.0
5671,21,96,-987.0
5690,49,78,
5714,61,77,
5727,6,21,-987.0
5757,86,1,-987.0
5788,32,16,
5820,97,71,-987.0
