,x,y,value
29,72,44,-0.30000000000000004
94,54,19,-1.0
187,69,87,
235,65,42,
249,26,11,-1.0
294,90,68,-1.0
309,77,94,-1.0
403,99,5,-1.0
447,32,74,-1.0
501,84,57,-1.0
505,10,85,-1.0
515,77,5,-1.0
564,55,5,-1.0
585,81,48,-1.0
624,36,11,-1.0
669,99,96,-1.0
765,6,39,
828,55,75,
930,74,36,-0.30000000000000004
936,84,68,-1.0
1037,71,88,
1128,20,69,-1.0
1139,10,77,-1.0
1203,32,44,-1.0
1206,76,89,
1212,78,12,-1.0
1222,55,50,
1338,62,67,
1344,82,77,-1.0
1361,20,74,-1.0
1404,6,17,-1.0
1405,3,84,-1.0
1449,23,32,-1.0
1452,65,61,
1469,67,28,-1.0
1472,77,49,-1.0
1525,13,89,-1.0
1555,21,27,-1.0
1667,94,56,-1.0
1673,66,8,-1.0
1679,1,24,-1.0
1720,96,81,-1.0
1723,1,49,-1.0
1738,76,77,
1784,4,7,-1.0
1827,1,4,-0.5
1830,99,76,-1.0
1854,29,75,-1.0
1867,3,82,-1.0
1903,84,13,-1.0
1944,26,12,-1.0
1993,66,95,-1.0
2005,37,80,-1.0
2042,95,48,-1.0
2066,82,99,-1.0
2067,0,31,-1.0
2119,42,62,
2157,52,37,
2214,73,35,-1.0
2220,84,14,-1.0
2238,12,17,-1.0
2265,92,5,-1.0
2278,23,20,-1.0
2318,43,22,-1.0
2339,99,18,-1.0
2454,35,61,
2469,60,89,-1.0
2474,10,15,-1.0
2527,22,69,-1.0
2549,57,3,-1.0
2645,78,65,-1.0
2697,92,84,-1.0
2726,13,84,-1.0
2810,20,51,-1.0
2812,33,24,
2824,24,13,-1.0
2829,6,44,-1.0
2927,91,75,-1.0
2930,37,28,
3003,41,59,
3030,37,63,
3043,74,52,-1.0
3044,5,66,-1.0
3107,73,79,
3109,95,72,-1.0
3233,89,49,-1.0
3275,11,45,-1.0
3299,63,81,
3326,10,16,-1.0
3328,76,66,-1.0
3474,47,28,
3575,47,88,
3632,49,32,
3664,77,75,-1.0
3672,19,63,-1.0
3683,86,55,-1.0
3691,78,39,-0.30000000000000004
3740,52,87,
3794,2,84,-1.0
3802,87,25,-1.0
3814,78,72,-1.0
3817,44,35,
3824,67,31,-1.0
3852,42,0,-1.0
3858,83,33,-1.0
3878,28,75,-1.0
3879,62,90,-1.0
3915,9,75,-1.0
3916,59,21,-1.0
3941,81,82,-1.0
3946,90,87,0.0
3965,1,28,-1.0
3994,69,64,
4006,53,43,
4014,72,22,-1.0
4023,46,76,
4028,31,17,
4049,87,4,-1.0
4059,26,76,-1.0
4063,35,84,-1.0
4097,40,34,
4126,46,87,
4138,12,56,-1.0
4140,30,19,
4156,71,29,-1.0
4206,63,80,
4225,1,50,-1.0
4306,82,28,-1.0
4348,11,29,-1.0
4359,34,64,
4368,75,80,
4376,23,87,-1.0
4378,37,24,
4409,11,51,-1.0
4426,24,21,-1.0
4428,43,70,
4454,54,10,-1.0
4462,36,1,-1.0
4464,12,24,-1.0
4547,38,71,
4567,47,47,
4602,97,80,-1.0
4641,90,3,-1.0
4711,68,61,
4775,72,92,-1.0
4778,46,85,
4786,53,14,-1.0
4808,26,85,-1.0
4809,54,86,
4811,2,43,-1.0
4832,51,62,
4852,78,49,-1.0
4858,31,50,
4882,46,96,-1.0
4892,98,51,-1.0
4980,44,92,-1.0
5003,96,28,-1.0
5016,65,10,-1.0
5078,83,17,-1.0
5088,20,76,-1.0
5099,21,81,-1.0
5188,73,57,-1.0
5190,73,60,-1.0
5223,83,70,-1.0
5254,29,21,-1.0
5273,90,43,-1.0
5284,99,29,-1.0
5357,84,65,-1.0
5390,75,62,-1.0
5404,1,59,-1.0
5409,0,95,-1.0
5449,25,26,-1.0
5493,37,46,
5543,83,20,-1.0
5624,10,42,
5625,26,36,-1.0
5648,4,92,-1.0
5669,13,95,-1.0
5671,85,16,-1.0
5672,23,43,-1.0
5723,80,52,-1.0
5729,80,26,-1.0
5744,82,41,-1.0
5747,55,80,
5756,31,19,
5766,63,8,-1.0
5845,45,82,
5856,33,75,-1.0
5928,82,63,-1.0
5932,9,48,0.0
5957,5,44,-1.0
5971,23,98,-1.0
5975,58,36,-1.0
5981,15,32,-1.0
6028,28,5,-1.0
6031,83,93,-1.0
6079,83,46,-1.0
6092,27,45,-1.0
6133,87,12,-1.0
6135,6,19,-1.0
6183,63,23,-1.0
6185,70,3,-1.0
6235,32,11,-1.0
6244,98,76,-1.0
6258,20,67,-1.0
6279,23,13,-1.0
6387,97,29,-1.0
6402,51,4,-1.0
6472,20,68,-1.0
6493,67,57,
6525,23,19,-1.0
6527,65,60,
6565,30,79,-1.0
6566,53,84,
6612,39,69,
6628,62,35,-1.0
6660,57,90,-1.0
6696,39,73,
6739,29,54,
6746,19,72,-1.0
6762,74,70,-1.0
