,x,y,value
15,45,12,-5.85264130115754
65,48,92,-4.0371326735329855
120,80,49,-7.187358942920902
175,85,41,-5.7136879046425815
176,49,32,
188,52,90,-4.678947419147969
192,12,87,-2.2364881870417026
196,67,46,
215,29,28,0.2866875208191306
272,46,94,0.564384140838694
280,52,35,
319,65,36,
381,88,33,0.7897607740765906
406,82,69,-2.11157311102912
429,92,87,-5.698426342805914
562,83,62,-1.3151994275477712
573,42,38,
589,92,47,-3.614642090840503
603,12,48,-7.741096873803499
611,98,28,-4.164914326548926
651,29,10,-2.480866580889665
657,62,45,
668,2,36,-1.284533751110665
673,15,87,-6.246444512379862
767,65,88,-2.0115105299366833
790,4,25,-4.252729575090798
792,48,8,-1.989676946401243
830,40,47,
831,50,11,-5.224307436438206
868,3,27,-3.715441847624512
901,10,50,-6.6696643792499835
908,89,38,-0.32105563621020394
964,27,20,-5.900682700776384
1064,3,20,-5.806671348529379
1119,34,76,-2.724199372494936
1160,49,68,
1181,44,80,
1189,24,53,-4.081326562523424
1224,68,92,-4.047398227635679
1229,96,59,-1.7096258653632983
1234,2,91,-2.8898933621094693
1236,85,56,-4.6724911666486735
1258,13,54,-6.692285062783357
1262,8,47,-7.567508590880991
1321,42,14,-6.68936496127255
1331,21,37,-4.110151821496002
1406,19,46,-4.200524570106063
1426,49,62,
1427,44,21,-3.969652052252669
1462,2,59,-4.565798293413323
1471,78,67,-3.801912583177322
1475,85,84,-3.5367899382600845
1599,25,62,-3.5682062454713384
1622,91,63,-0.4334399548022372
1629,82,32,-2.8175195164681277
1680,14,99,-2.7109905245784933
1730,53,10,-2.5387577590620953
1738,70,6,-4.487474663825324
1791,70,48,-7.992709676249534
1797,54,41,
1811,28,55,
1831,20,11,-4.531562207036193
1839,14,10,-2.135725563322586
1842,31,7,-3.5595821597079045
1901,43,18,-3.522969277021428
1932,11,21,-7.027306142713405
1958,71,53,-6.164283425151672
1966,0,88,-3.6873128429262874
1989,6,17,-3.475162007494208
2045,76,75,-2.559475642178133
2063,47,35,
2087,30,19,
2121,97,53,-2.644769320583035
2232,74,11,-5.454250081802398
2264,13,68,-3.916966382414035
2267,33,26,
2286,85,65,0.6940985565379414
2299,27,83,-7.408674737236056
2312,25,81,-3.550288822092205
2371,47,43,
2388,34,18,
2397,71,68,-0.48806459650980916
2405,81,1,-2.7100297251125056
2441,68,46,
2447,14,37,
2459,80,97,-0.6704202832518833
2461,72,71,-4.237026675692156
2501,91,32,-0.6803930472491846
2503,90,72,-1.3356662267079162
2509,89,2,0.554979713542469
2541,38,83,-5.819507260491623
2563,12,52,-3.089634544560603
2595,5,44,-4.824411113084835
2627,48,29,
2633,42,76,
2691,15,54,-5.605400946662574
2712,20,18,-3.435519506706189
2729,83,69,-1.8534374499585269
2756,70,68,-2.863071599184929
2800,70,62,-3.7117092502977673
2867,19,44,-4.280693782412039
2872,25,86,-2.4730016822820984
2881,85,58,-4.431532851486109
2891,82,36,-3.857912215813694
2896,48,98,-3.2859827720450214
2899,11,30,-1.7443849749135705
2923,41,88,
2925,95,74,-5.9537321260060345
2993,29,60,
3093,16,0,-1.249944555509014
3132,53,18,-7.538271399510796
3136,2,71,-4.2362585905263455
3167,41,28,
3185,9,2,-3.1093334500437653
3201,29,47,-6.666185466175503
3204,89,55,-3.1798601186531528
3214,20,92,-3.913673458348696
3221,4,39,-4.9638494054600075
3245,4,92,-2.9989252510252884
3261,36,70,
3319,6,7,-5.108592038715194
3427,13,46,-3.5366718130642463
3472,27,46,-7.513949730959477
3475,51,2,0.8187988977933376
3497,46,25,-2.7170165983516537
3517,68,56,
3617,87,60,-4.1853946336803665
3637,82,99,-1.2407178000881673
3641,11,18,-5.772161911343096
