,x,y,value
2,53,13,78.0
132,39,35,
140,87,19,78.0
159,13,40,
209,86,27,78.0
250,10,28,78.0
255,17,39,78.0
269,4,56,78.0
303,93,40,78.0
370,20,98,78.0
379,47,11,78.0
383,98,9,78.0
432,74,26,78.225
456,94,24,78.0
485,64,9,78.0
497,86,97,78.9
516,88,63,78.0
545,89,31,78.0
553,64,32,78.225
606,96,98,78.9
624,93,17,78.0
639,76,97,78.0
735,95,30,78.0
736,77,26,78.0
798,69,34,
833,26,33,78.0
841,82,84,78.0
846,82,27,78.0
883,91,27,78.0
936,6,34,78.0
949,83,55,78.67500000000001
987,15,75,78.0
994,85,36,78.0
1047,4,32,78.0
1057,60,63,
1144,79,70,78.0
1148,60,85,78.0
1153,10,50,78.0
1193,87,78,78.0
1202,67,57,
1210,98,46,78.0
1213,52,92,78.0
1253,20,35,78.0
1290,15,3,78.0
1470,34,7,78.0
1488,90,75,78.0
1538,21,95,78.0
1548,70,37,78.225
1566,35,25,
1637,61,79,
1654,93,36,78.0
1727,36,30,
1756,2,14,78.0
1767,92,93,78.9
1843,7,14,78.0
1846,89,35,78.0
1870,78,96,78.0
1902,61,60,
1921,9,99,78.0
1967,64,43,
2037,33,4,78.0
2096,90,71,78.0
2124,9,25,78.0
2151,36,27,
2154,97,92,78.0
2164,36,58,
2202,49,76,
2207,18,95,78.0
2231,14,15,78.0
2259,5,15,78.0
2274,74,97,78.0
2308,42,81,
2313,25,43,78.0
2381,88,0,78.0
2421,25,27,78.0
2470,94,4,78.0
2485,48,90,78.0
2504,47,79,
2538,7,61,78.0
2563,58,90,78.0
2580,21,23,78.0
2662,3,77,78.0
2689,89,13,78.0
2725,43,25,
2732,87,12,78.0
2752,17,26,78.0
2759,71,51,78.0
2843,28,23,78.0
2867,80,71,78.0
2923,57,34,78.0
2958,24,33,78.0
2989,83,56,78.67500000000001
2998,47,92,78.0
3010,1,51,78.0
3015,71,73,
3064,92,71,78.0
3106,66,17,78.0
3206,71,60,78.0
3253,76,18,78.0
3261,25,14,78.0
3280,30,4,78.0
3285,27,1,78.0
3348,36,99,78.0
3371,47,25,78.0
3403,83,62,78.0
3405,74,32,78.225
3410,83,64,78.0
3466,73,46,78.0
3490,92,42,78.0
3498,47,73,
3531,53,27,78.0
3594,41,35,
3596,15,1,78.0
3727,0,83,78.0
3736,13,13,78.0
3743,50,82,
3809,30,39,78.0
3846,36,86,78.0
3863,32,46,78.0
3896,64,62,
3923,41,60,
3931,82,97,78.0
3938,12,81,78.0
3967,32,99,78.0
4087,18,16,78.0
4126,51,27,78.0
4185,78,31,78.0
4209,70,90,78.0
4213,49,79,
4221,71,98,78.0
4280,59,79,
4297,60,79,
4445,61,64,
4600,66,13,78.0
4644,19,9,78.0
4648,89,60,78.0
4772,56,32,78.0
4914,17,15,78.0
5012,33,90,78.0
5093,56,44,
5116,38,56,
5123,40,48,
5200,63,78,
5235,1,0,78.0
5289,95,7,78.0
5362,36,31,
5371,32,51,
5400,58,5,78.0
5401,5,11,78.0
