x,y,value
33,89,0
50,57,nan
68,29,-0.05796208151425575
0,35,0
72,67,-0.7711400188584214
29,37,-0.4979486294496981
10,21,0
55,8,0
84,31,0
31,92,0
80,84,-0.2579365257195687
2,22,0
7,96,0
87,8,0
78,52,0
61,51,nan
3,84,0
26,35,0.05905765459006379
23,45,0.696741426000392
37,48,nan
90,97,0
1,21,0
38,21,nan
8,96,0
32,7,0.07280224713421934
8,74,0
39,66,nan
87,10,0
1,27,0
12,79,0
96,37,0
65,27,0.5481562705056426
64,21,0
3,43,0
33,5,-1.0252612109987622
91,61,0
13,77,0
51,44,nan
60,89,1.620051278597476
46,2,0
88,0,0
65,9,0
39,32,nan
38,8,0.2471838465216819
20,15,0
11,68,0
79,2,0
20,37,-0.4892271166009595
6,67,0
68,41,nan
94,5,0
46,94,0.14627241625185824
39,65,nan
22,24,0
74,48,-1.184675580788873
66,10,0
55,66,nan
87,23,0
47,2,0
80,97,0
12,10,0
92,13,0
96,52,0
71,50,0.7376251008619696
45,40,nan
63,75,nan
89,17,0
8,44,nan
67,30,-0.17374565399161768
13,59,0
48,38,nan
97,43,0
80,67,0.04797852439588002
1,81,0
8,5,0
35,75,-0.18976122497583398
30,63,nan
33,10,-1.5352199326445766
54,48,nan
64,69,nan
81,37,0
53,96,0
72,77,nan
19,37,0.11040372848854074
94,42,0
37,39,nan
41,57,nan
52,75,nan
36,55,nan
9,6,0
17,98,0
59,98,0
17,17,0
92,77,0
91,1,0
63,65,nan
43,77,nan
75,0,0
9,49,-0.5700820450417993
55,45,nan
43,83,nan
20,5,0
14,7,0
77,84,nan
61,1,0
70,1,0
4,24,0
16,3,0
83,54,0
94,63,0
87,69,0
59,67,nan
19,48,-0.17695790486957386
45,51,nan
35,14,1.9866978542003917
88,19,0
33,49,nan
45,36,nan
27,1,0
14,18,0
45,3,0
30,46,0.23494013466222952
97,33,0
8,36,nan
80,37,0
58,7,0
86,63,0
8,58,0
77,97,0
76,16,0
34,4,0
9,86,0
49,97,0
84,93,-1.365031910286603
25,45,1.8032889360976148
27,5,-1.9550121098043234
50,69,nan
51,7,0
24,44,0.9287949141287257
16,66,0
34,24,nan
95,37,0
21,18,0
55,67,nan
65,21,0
14,23,0
44,99,0
36,38,nan
5,59,0
85,2,0
49,69,nan
69,73,nan
40,91,-0.34235557352944834
9,96,0
84,14,0
47,70,nan
82,60,0
57,76,nan
86,57,0
48,30,nan
12,44,nan
67,77,nan
58,56,nan
86,75,-1.3400290858880441
26,41,-0.698848875667484
32,55,nan
85,85,0.6120101518425134
80,49,0
43,22,-0.9372890390235188
21,80,0
5,81,0
5,5,0
33,29,nan
47,94,0.3599879746755118
55,72,nan
99,19,0
98,33,0
57,43,nan
17,93,0
66,94,-1.044056564015042
85,95,0
3,7,0
3,53,0
5,60,0
5,44,1.0137870959771351
32,63,nan
18,89,0
91,5,0
28,50,0.1458172857196216
93,66,0
2,42,0
56,52,nan
43,60,nan
59,30,-1.2715492755737272
15,37,-1.1307521331249712
21,85,0
43,19,1.132645649665705
96,54,0
5,7,0
77,90,1.8322002357131464
61,62,nan
57,98,0
99,40,0
20,33,1.9648620686050875
2,85,0
43,48,nan
25,1,0
42,8,0.0006491109343529367
84,94,-0.62833793081624
22,94,0
18,20,0
17,77,0
46,9,0
84,53,0
23,34,-0.4381832030782812
32,93,0
42,90,0.10648646631156422
3,19,0
39,37,nan
30,43,-1.1991782201827286
81,15,0
24,8,0.054468540686146594
41,27,nan
93,13,0
14,44,0.9871465040885231
8,87,0
57,40,nan
21,62,-0.5501696787475266
23,64,0.7569162935831351
68,88,-0.7070992582437607
74,45,1.8470152973694631
11,63,0
95,87,0
72,92,-0.7313745325085488
43,1,0
34,8,0.7397889380429238
89,32,0
12,15,0
72,42,-1.1318917570602405
88,52,0
13,94,0
12,40,nan
72,38,-0.6505769653031788
58,86,nan
54,25,0.5010607621210945
96,42,0
19,87,0
32,22,nan
63,69,nan
79,21,0
87,9,0
18,50,-0.19612815150077065
99,58,0
16,81,0
97,99,0
55,74,nan
58,88,nan
87,72,0
68,46,nan
99,86,0
35,9,1.0790340856365987
65,79,nan
69,79,nan
45,49,nan
91,60,0
1,63,0
35,0,0
81,16,0
73,13,0
82,78,1.4743002116784032
38,62,nan
9,82,0
92,75,0
67,24,0
40,67,nan
26,59,nan
11,53,0.6283428903980544
11,50,-1.2379909358610492
37,60,nan
83,23,0
48,67,nan
16,65,0
37,49,nan
80,6,0
15,61,0
44,35,nan
46,84,nan
95,69,0
83,27,0
89,80,0
79,41,0
97,32,0
8,34,0.27951337753956584
30,39,1.204666666059493
34,76,0.5260759142858723
61,8,0
51,23,-1.2216461853732172
73,45,1.299219664732482
65,18,0
78,49,0
87,37,0
36,28,nan
32,90,0
2,37,0
53,16,0
24,38,0.8876653351634782
13,97,0
37,18,nan
78,34,0
30,60,nan
24,1,0
57,59,nan
8,72,0
98,31,0
90,4,0
58,54,nan
71,45,-0.14909643866425915
51,73,nan
93,59,0
47,6,0
89,90,1.3817633810430527
19,3,0
58,85,nan
76,62,0.18611552829492095
36,14,1.2143189255755498
26,53,-0.004170673696198113
24,9,-0.305866598727957
51,83,nan
50,97,0
68,9,0
40,95,0
22,1,0
79,33,0
30,92,0
94,99,0
79,10,0
65,42,nan
16,59,0
16,58,0
69,72,nan
52,80,nan
71,84,nan
34,21,nan
7,3,0
10,30,-1.0101282433715457
7,56,0
27,25,-1.0360697681263138
10,10,0
37,4,0
5,94,0
5,63,0
47,57,nan
75,88,nan
81,17,0
76,41,0.7374687324145625
78,25,0
79,3,0
51,64,nan
40,81,nan
93,43,0
76,78,nan
69,20,0
29,8,1.877341016405131
93,4,0
23,90,0
83,7,0
19,66,-0.9019523326569991
59,97,0
99,97,0
39,78,1.105129342554641
84,18,0
41,84,nan
68,90,1.8782829470884042
16,84,0
16,52,0.11983043579267816
73,48,-1.2001607483108343
80,57,0
92,21,0
97,5,0
0,3,0
27,51,1.2252421800818272
63,22,0
57,18,0
1,83,0
28,68,nan
36,95,0
96,29,0
15,86,0
34,84,-0.22439970312961255
12,66,0
61,19,0
29,45,0.5252077198295049
99,30,0
88,83,0
84,50,0
22,37,-1.5903867521886785
40,90,1.8590417394521475
94,68,0
39,16,-0.6716574350329407
79,45,0
63,89,0.12355035957707894
10,62,0
83,58,0
27,30,-0.12568222524270967
99,64,0
10,17,0
79,95,0
67,9,0
20,58,0.2627608795230708
19,78,0
14,97,0
8,45,0.5672124330475912
4,76,0
33,93,0
17,38,0.6882812756067536
77,41,-1.1137766822552215
71,30,0.011968359550861507
64,82,nan
76,64,1.6062056586141225
72,82,nan
84,37,0
46,27,nan
51,85,nan
86,7,0
39,28,nan
47,80,nan
94,60,0
49,21,0.9647090172367376
67,64,nan
96,22,0
12,59,0
83,53,0
23,85,0
35,96,0
46,24,-1.172134134310274
75,94,0.719555685258509
48,7,0
70,89,-0.11544070358420233
98,41,0
74,91,0.10213455156247363
13,34,-0.04069242105369164
78,90,0.783010237243422
20,49,0.030639909666483778
3,12,0
82,25,0
18,33,0.02833393925353156
59,28,1.158944002380128
55,11,0
66,28,1.006996493908431
17,55,0
96,25,0
74,33,0.44497408412599304
63,68,nan
27,18,-1.3352205288748251
9,3,0
53,38,nan
35,88,0.36095160013531663
71,24,0
10,52,1.0529946062997424
46,12,0.06900293509162392
40,2,0
23,95,0
54,92,-1.1952291265548516
62,52,nan
88,23,0
18,63,0
47,85,nan
26,84,0
6,86,0
88,8,0
65,59,nan
75,71,-0.04894524451889759
54,98,0
51,26,1.7319882382521667
60,1,0
21,87,0
73,77,nan
39,97,0
35,73,nan
12,50,-1.2613983325368345
29,59,nan
73,8,0
54,1,0
61,93,-0.19406310364728263
9,83,0
19,43,0.15099369737415425
82,83,1.2259127178220641
19,18,0
28,34,-0.4661751575702697
76,28,-0.14507658033587367
19,25,0
44,85,nan
47,50,nan
75,53,-0.23713740531640815
92,84,0
28,67,nan
9,84,0
70,7,0
69,86,nan
72,13,0
10,12,0
24,79,-0.395298516865274
13,73,0
0,72,0
97,28,0
9,69,0
72,94,0.28709628092765305
1,32,0
26,63,nan
79,84,nan
13,35,-1.2905168054568628
71,55,-1.9997551183833568
39,23,nan
13,13,0
64,25,0
72,12,0
30,82,-0.6779460797582719
66,20,0
79,35,0
1,94,0
92,59,0
19,69,0
78,72,0.6461242850369515
42,82,nan
47,96,0
31,2,0
64,76,nan
43,47,nan
64,0,0
83,35,0
31,78,1.0319287679246356
60,74,nan
29,62,nan
79,32,0
45,86,nan
78,59,0
41,9,0.2754111283142189
79,7,0
32,15,nan
58,23,0
47,52,nan
73,11,0
16,57,0
57,52,nan
19,89,0
4,2,0
13,64,0
14,84,0
18,78,0
77,5,0
45,16,-1.1269420458874309
60,9,0
0,44,0
86,73,-0.22128582969677446
24,10,-0.21823980535422172
5,89,0
47,26,-0.23427973262415214
14,14,0
97,94,0
33,53,nan
14,83,0
92,53,0
61,69,nan
42,22,nan
60,33,1.6990333582229693
10,66,0
57,7,0
27,46,0.42245540126874354
72,86,nan
63,78,nan
0,20,0
77,15,0
5,66,0
14,67,0
50,59,nan
7,80,0
4,66,0
56,10,0
59,8,0
97,21,0
18,84,0
42,92,0.2079257509834016
94,1,0
22,57,-0.4392364233852074
71,19,0
5,31,-0.8911989951264065
36,20,nan
41,75,nan
31,46,1.86199231851723
23,8,0
56,41,nan
47,90,1.0478907005110807
63,16,0
28,52,nan
89,62,0
6,26,0
56,44,nan
25,72,-0.737399386132376
35,32,nan
30,56,nan
81,73,0.18973945281124172
66,82,nan
13,5,0
96,62,0
63,10,0
85,58,0
85,34,0
80,86,0.07267983728002081
76,45,0.4833318363469354
56,89,nan
94,86,-1.6997075283625853
40,96,0
27,65,nan
69,5,0
75,72,-0.6681031541288103
72,17,0
3,72,0
25,36,-0.9255321512399577
28,99,0
97,16,0
31,54,nan
25,15,0.24223329867336907
93,83,0
