,x,y,value
43,64,9,0.4168288859577686
66,99,23,0.47102253282327644
83,88,12,0.42562579341518764
88,15,10,0.57422475877226
124,58,93,0.4564106511848839
127,23,30,0.5277804822632294
148,6,96,0.5430724849852661
160,89,38,0.4310906989344894
172,12,13,0.5805148926181923
195,85,30,0.5599206993529185
204,39,57,
246,92,7,0.4668701207345046
261,70,20,0.570296083025568
271,68,66,
279,93,67,0.4312124598047145
298,39,89,0.4629574991897948
310,19,35,0.5833135282551769
315,92,51,0.42083292551257395
362,87,57,0.4384068116620567
388,37,64,
395,7,1,0.5755691915030762
408,46,62,
413,14,86,0.4450742729735482
433,14,83,0.42303732173196945
441,15,8,0.487093246339518
495,89,60,0.5611038964137907
505,63,89,0.41844683683470923
545,24,45,0.4178853749560962
566,51,19,0.4753560938059185
597,50,67,
651,60,19,0.4294204697574577
660,38,49,
750,65,41,
799,6,9,0.4367898552938985
847,37,70,
904,32,55,
936,5,44,0.44723923418892725
976,49,16,0.4311327023602883
1030,4,5,0.582788047282095
1075,14,10,0.41929191656130493
1106,68,89,0.4166677597344471
1111,19,83,0.5805993738235837
1116,78,5,0.481487510123362
1140,65,28,0.49361325239216625
1174,32,88,0.5223595094629535
1180,37,40,
1193,22,84,0.529448500447741
1204,56,31,0.4328487448424455
1219,95,0,0.4407661535307756
1240,52,23,0.58332272876609
1297,68,88,0.5151261335445116
1300,44,95,0.5657091531225169
1316,34,27,
1369,26,74,0.44287562828370974
1379,39,95,0.43087927482521043
1438,46,95,0.5509585670518947
1471,82,70,0.4205293557390237
1479,11,39,
1542,55,73,
1573,60,57,
1591,41,6,0.4335037228059027
1658,68,83,
1663,21,45,0.5180332825777142
1670,11,80,0.5802050010876361
1679,28,40,0.5008998073231724
1796,98,28,0.4188904848518604
1799,7,47,0.4178820294583696
1802,50,46,
1812,3,57,0.5709612735594196
1842,18,19,0.4254406020049473
1902,72,93,0.4659459916174779
1943,36,66,
1949,94,89,0.4240300976537943
1996,46,41,
1997,57,28,0.5640424181703914
2003,97,70,0.4477886036943859
2063,10,45,
2106,60,47,
2140,78,18,0.41767254826468314
2149,25,30,0.49322547010878826
2153,93,0,0.47254947345137394
2181,87,8,0.568533710387512
2248,41,16,0.43030736176954804
2349,22,36,0.518071643434663
2395,60,3,0.4629715680026509
2431,37,71,
2453,47,71,
2487,29,6,0.42259591260321233
2490,19,24,0.5824873652322191
2513,30,73,0.4204516950467591
2525,56,56,
2546,12,95,0.58241902781292
2572,36,42,0.5830943743263205
2575,30,49,
2726,48,43,
2727,68,96,0.4275635615844799
2740,32,50,
2798,37,23,
2827,51,66,
2911,67,47,
2918,18,16,0.4212911494020941
2922,80,46,0.4534954277862269
2938,84,19,0.5833201422455851
2943,37,20,
2997,92,20,0.4875787149693001
3134,20,44,0.4816982885740268
3138,28,94,0.5746713872587256
3148,80,0,0.5629662686870762
3157,23,57,0.44385272459534253
3159,67,22,0.5710127285217242
3228,41,49,
3242,6,30,0.4525930156239647
3280,12,89,0.47694486857564067
3303,5,50,0.5600270893722222
3326,54,18,0.4933233844865199
3333,72,45,0.469762727725751
3342,25,44,0.41796634219026013
3369,73,72,0.571736686050149
3370,92,74,0.5781935419086945
3381,56,0,0.4347355341748054
3413,3,84,0.5702665307372523
3424,85,5,0.5805993738235837
3489,50,83,
3527,16,61,0.5089142782512978
3534,97,41,0.44725139154278554
3557,28,90,0.4979648078533897
3578,22,93,0.4615806603554918
3601,77,89,
3634,55,49,
3638,52,21,0.4172808749249253
3672,71,95,0.4840284704408701
3682,90,78,0.569182120370932
3684,1,47,0.5773384202229696
3714,11,94,0.4429500640393144
