x,y,value
47,78,nan
56,3,73.00684899377592
13,33,48.54894437575342
2,62,38.897300677553446
31,97,24.351591323771842
67,93,33.83784863137726
42,48,nan
0,86,40.80441152620633
1,47,46.61544808322666
46,58,nan
52,99,28.178005607210743
39,15,59.0
34,28,nan
36,39,nan
53,79,nan
81,17,70.80254232723568
58,72,nan
40,65,nan
66,20,60.37383539249432
4,36,51.66236541235796
65,29,51.97114584074513
97,62,59.22837157984339
7,99,40.607881008493905
93,23,74.27651041883968
41,6,68.0294054067798
96,3,91.0494371207203
25,48,29.5296461204668
86,44,55.758407437802596
46,52,nan
78,39,52.40229002629561
12,72,27.073972741361768
8,43,nan
12,33,49.09175083453431
29,3,71.7007670809734
11,86,30.463092423455635
6,64,34.48187929913333
28,66,nan
76,10,73.92563831310488
39,96,22.0
38,38,nan
4,10,72.94518489934754
85,5,82.92767933567175
51,63,nan
56,96,27.80287754891569
64,24,55.90169943749474
60,33,46.06517122512408
49,38,nan
47,67,nan
79,64,41.23105625617661
63,23,56.36488268416781
29,92,20.591260281974
9,32,51.61395160225576
38,55,nan
58,13,63.89053137985315
16,3,74.63243262818116
60,95,29.698484809834994
97,15,82.73451516749222
62,41,nan
13,37,nan
74,51,41.88078318274385
73,45,44.68780594300866
33,10,64.28063471995279
79,65,41.0
1,85,39.56008088970496
30,76,9.219544457292887
78,25,62.625873247404705
56,67,nan
44,16,58.215118311311535
72,33,52.630789467763066
58,60,nan
22,76,17.11724276862369
45,24,50.35871324805669
34,91,17.72004514666935
93,40,63.812224534175265
20,2,74.46475676452586
62,26,53.225933528685054
43,99,25.317977802344327
62,76,nan
11,82,29.120439557122072
83,31,61.5223536610881
58,88,nan
78,36,54.45181356024793
97,24,76.57675887630658
66,10,69.46221994724903
6,83,34.20526275297414
24,9,66.70832032063167
43,88,nan
41,28,nan
32,71,nan
3,1,81.39410298049853
96,33,70.21395872616783
88,47,55.94640292279746
84,9,79.05694150420949
44,14,60.207972893961475
78,47,47.43416490252569
88,77,49.09175083453431
87,92,51.264022471905186
60,97,31.144823004794873
61,88,26.076809620810597
20,83,21.02379604162864
95,22,76.4198926981712
81,61,43.965895873961216
67,95,35.0
90,60,52.88667128870941
39,69,nan
8,67,31.78049716414141
