,x,y,value
14,93,50,-3.246110993499183
91,52,70,
106,73,45,-3.392903547809132
138,85,1,-3.305852056603998
163,37,30,
174,63,50,
183,8,39,
197,75,89,
209,25,29,-3.780688318016862
212,19,29,-3.8336188958983817
237,27,9,-3.76480665694236
241,85,68,-3.3031298912709945
248,77,47,-3.3629261297134345
254,78,53,-3.355230870377067
298,81,26,-3.334233080382613
400,40,80,
440,14,94,-3.8722662157884677
444,7,65,-3.93956089569984
466,63,58,
484,6,0,-3.9558905207864603
531,67,13,-3.4398399494880123
664,64,68,
699,49,53,
724,42,12,-3.637942206639923
802,66,68,
806,91,46,-3.260620789476552
824,76,50,-3.370231516766225
838,71,94,-3.405531082826216
845,87,53,-3.289230458064565
864,32,69,
916,36,98,-3.68167946272308
926,12,93,-3.890464732014898
976,22,13,-3.8082913857523826
985,55,73,
1086,10,89,-3.909147708610452
1132,2,8,-3.993424643776936
1146,37,88,-3.674119072421095
1165,1,80,-3.994421706992565
1174,35,61,
1194,71,36,-3.408386809148462
1204,64,91,-3.4588418886609738
1216,87,43,-3.289645057896041
1272,21,50,-3.814030262522408
1299,56,99,-3.5203426075506417
1301,48,27,-3.5881877027365374
1331,99,93,-3.201772107522965
1332,76,57,-3.3699078360124926
1337,80,2,-3.34257515416504
1338,1,77,-3.9948041824030143
1366,83,3,-3.3204298233983383
1378,88,26,-3.283073118652174
1386,94,26,-3.239878213137609
1399,27,98,-3.757672181095741
1416,96,96,-3.222872605345243
1427,74,17,-3.3866617047448093
1438,94,66,-3.2383247800417543
1450,67,72,
1621,62,45,
1734,54,9,-3.5412042858937856
1828,75,4,-3.379708206703174
1845,90,63,-3.2671267871334146
1852,81,97,-3.3310714038955425
1875,54,25,-3.54035817582461
1885,67,90,-3.435994604514823
1926,36,30,
2004,22,88,-3.8018457486250306
2049,68,45,
2061,92,52,-3.2531978526972742
2067,40,36,
2074,64,35,
2089,45,54,
2099,81,75,-3.3320860416913813
2107,69,71,
2132,8,85,-3.9280117198715754
2143,88,50,-3.282107018572478
2209,71,50,-3.407720735951286
2223,72,23,-3.4014384203715853
2224,34,28,
2239,60,62,
2260,15,99,-3.8627656576664715
2266,69,69,
2333,28,4,-3.756496020802146
2358,88,60,-3.2816910096508316
2519,80,89,-3.3387963646059866
2521,32,66,
2561,97,27,-3.2184616541893663
2588,69,11,-3.4246844412678095
2602,56,6,-3.5255416458857125
2677,90,4,-3.269421410697292
2701,94,63,-3.23844511586574
2718,91,2,-3.262276237978019
