x,y,value
16,63,0.9879966052238349
10,15,0.17534971911576758
32,32,nan
38,80,0.16645704341570533
3,7,0.9083472424346726
56,39,nan
46,54,nan
52,98,0.45520576959803605
60,56,nan
86,31,0.26559947064160494
70,47,0.3680055792250744
44,61,nan
51,3,0.19582992840709568
55,39,nan
21,87,0.5416602824943588
29,73,0.8408112906165608
13,41,nan
72,28,0.8494331555834098
47,13,0.22446231551283685
87,86,0.4631399271224059
65,57,nan
20,42,0.09373975862611372
47,91,0.09829598677299395
7,66,0.33987976874317716
31,99,0.003297078770144568
6,36,0.09726667806466216
11,11,0.8209513294472762
35,64,nan
66,77,nan
44,88,nan
56,83,nan
86,86,0.9342565104985784
21,33,0.2495488279162671
13,44,nan
0,38,0.705743583504897
93,84,0.9820374995292411
89,9,0.928167869027928
41,83,nan
37,70,nan
52,35,nan
49,70,nan
92,86,0.6309235861519874
45,19,0.9681420650569555
68,88,0.035362436008458675
95,85,0.02353343843236516
9,96,0.48164484227690746
0,89,0.35409880556834594
85,88,0.058133940887616586
69,44,nan
50,40,nan
14,44,0.5055879495327705
2,95,0.13222343322957503
86,18,0.8713825486526141
24,31,0.8733317087145167
5,63,0.011150656941139536
79,74,0.9808903344707511
5,84,0.43453298870360746
91,26,0.7865716920496407
65,16,0.9171116802532551
4,75,0.46733116522913165
56,60,nan
31,57,nan
14,95,0.48039301792919414
42,84,nan
13,0,0.9362638162985906
57,23,0.2929282844929948
16,29,0.033825979955871166
7,73,0.16066557780125296
86,7,0.8249726856079005
66,68,nan
95,74,0.023709918166374244
86,6,0.7446343272089533
68,13,0.1838414292330926
79,39,0.25627483013649477
76,61,0.016870641430610123
95,22,0.7358813434431649
83,38,0.3061145789165069
3,35,0.05798954481183077
55,52,nan
23,90,0.0832103232811301
82,50,0.961982285610509
93,98,0.7688029630718916
8,46,0.03688701556226187
48,17,0.062339795323812563
25,96,0.9422847033461323
93,41,0.10148141684553086
56,87,nan
59,83,nan
68,10,0.04826128813863906
34,34,nan
33,63,nan
96,28,0.784805149564519
34,81,0.053039444486804255
70,72,nan
39,1,0.9679484118389674
62,27,0.6955850582189873
98,13,0.32649194410411453
8,86,0.7544776663676264
29,36,0.42410007075082223
67,51,nan
58,15,0.504128482611333
79,51,0.6888278212633915
88,56,0.3207462300099694
13,36,nan
54,16,0.23628434973219742
15,12,0.999767878769684
91,76,0.0572608304681585
42,7,0.8869717471676702
4,83,0.25348728422959255
35,23,nan
66,70,nan
80,70,0.035070830097754635
49,45,nan
30,70,nan
2,89,0.045830356680647166
52,97,0.430057203153665
27,39,0.0720235493663175
5,13,0.7791246282608142
42,45,nan
82,2,0.7621907043532923
