,x,y,value
36,76,4,14.68731066264803
87,75,0,15.969368090726014
120,28,1,15.278495786938606
133,41,87,
137,62,62,
142,62,97,9.701690365396798
200,27,19,13.125804975917907
268,89,59,10.994646717904008
291,37,61,
297,50,26,12.734940414356156
359,14,58,10.961403853463388
375,47,53,
401,70,38,12.043368825775428
431,10,61,10.808133729738532
440,4,78,10.10951936933594
448,23,15,13.413328473711838
493,38,62,
495,30,99,9.567447241235035
597,51,61,
617,50,82,
618,47,94,9.791349285286103
639,46,7,14.295861368597095
712,70,90,9.919422952450672
716,41,41,
721,80,93,9.785126064111989
733,61,10,13.977095442597534
757,52,75,
861,60,95,9.768395276238712
945,82,55,11.200175977065594
967,29,42,11.780060346976303
988,29,53,
1062,21,92,9.74515487251942
1072,65,25,12.79778007292893
1088,32,55,
1145,95,87,9.905748060427918
1200,39,77,10.357336126670797
1216,40,90,9.90570276955818
1289,24,29,12.452608559398431
1301,46,10,13.965657979120893
1316,39,10,13.945397383590265
1352,74,63,10.898587505114929
1381,88,0,15.91063946380968
1412,14,23,12.764127509863311
1467,28,90,9.853059076994299
1474,59,58,
1504,91,6,14.327479561537661
1529,17,9,13.932904660372635
1597,51,6,14.430084515544266
1606,18,42,11.714454586134984
1635,14,46,11.494204831654395
1680,3,70,10.399095886933402
1682,63,52,
1716,11,55,11.067402579804906
1810,30,57,
1814,55,32,12.383154258041943
1829,32,26,
1924,39,27,
1937,55,85,
1972,4,69,10.445227351641485
1973,57,37,
1992,18,47,11.474780770046616
1998,62,11,13.877596367033588
2009,64,97,9.699438743903338
2040,94,44,11.63444308291728
2045,11,56,11.024496684850988
2130,17,41,11.75736577458553
2131,53,46,
2152,54,53,
2195,34,30,
2201,19,54,11.166332293430138
2228,81,94,9.747698148989246
2310,40,34,
2358,23,10,13.86766623761736
2416,39,60,
2576,54,65,
2582,26,1,15.26750253004233
2585,33,18,
2647,96,98,9.533489817647562
2666,62,29,12.5552264124461
2678,67,6,14.424831750760001
2699,88,53,11.256633012114412
2700,42,28,
2726,20,67,10.637813696963818
2779,69,90,9.92181391162194
2826,27,60,
2839,75,35,12.187354646144527
2851,35,1,15.312132364533257
2854,65,90,9.92945116628742
2857,38,74,
2912,92,47,11.504696262098859
2926,0,89,9.69314130829897
2931,29,26,12.663362852896158
2944,32,14,
2987,74,90,9.907977336686326
2994,29,60,
3027,94,6,14.309024315094675
3060,77,90,9.897468946996542
3086,10,98,9.47252738994799
3182,88,17,13.274833071532536
3218,50,54,
3234,77,31,12.402839182980578
3235,95,19,13.081982875097992
3260,32,90,9.87323938339701
3321,44,8,14.17422687872265
3360,1,5,14.3025027055648
3387,52,10,13.975579161761928
3416,75,8,14.16121982278557
3443,23,56,11.105326807371428
3476,57,34,12.272394951179066
3559,65,99,9.633439478023453
3560,63,36,
3591,99,2,14.937716889768865
3597,41,40,
3629,55,9,14.081619941445734
3673,83,51,11.371129726728935
3732,70,53,11.330130161525409
3758,62,7,14.306470319264445
3802,31,86,10.004731252020768
3817,22,96,9.619514742710688
3824,37,88,9.962588487233296
3876,90,42,11.75628427624059
3931,60,53,
3940,77,8,14.154034339826104
3953,67,22,12.992259399560528
3981,14,66,10.636481563053877
3996,60,34,12.271703097565318
4003,97,46,11.519590255483749
4150,47,45,
4232,34,86,10.01867909849584
4251,82,74,10.441912465888393
4270,94,28,12.492190987378994
4276,73,27,12.654050730968375
4285,42,69,
4333,71,45,11.693155649022158
4336,52,74,
4341,57,43,
4343,19,46,11.52825206385987
4387,71,0,15.981555804507321
4453,39,92,9.835239498052685
4478,66,57,
4498,39,12,13.75244828597129
4503,94,17,13.239120256662783
4535,15,90,9.772292223721955
4545,16,21,12.914386791398211
4561,78,22,12.959849837185626
4596,60,38,
4606,15,35,12.054992439910473
4609,41,86,
4618,48,9,14.07348539024155
4673,65,76,
4686,10,94,9.603026332083001
4697,69,1,15.34725062156625
4760,55,41,
4794,20,47,11.487859089540567
4842,18,60,10.90562477058079
4907,2,22,12.741363909270422
4955,41,5,14.544216263439996
4960,86,84,10.062360889288296
4981,42,82,
5049,49,98,9.664549930126274
5082,38,15,13.487432673108415
5087,51,67,
5198,98,75,10.312336043772113
5202,91,89,9.86245520313459
5208,13,40,
5216,18,4,14.578888837253775
5224,46,72,
5277,50,75,
5363,61,95,9.767765693779557
5367,94,25,12.678541894811433
5390,23,8,14.081089189933584
5410,95,51,11.303175910343196
5433,85,30,12.42513826128908
5436,80,75,10.413788922738389
5437,39,76,10.393881352678845
5557,2,42,11.596850441544959
5567,33,43,11.750583990034432
5625,35,44,11.710925749336306
5700,29,69,
5715,6,90,9.706181089288645
5748,38,54,
5781,84,14,13.539664510361698
5813,0,93,9.559104347231782
5818,20,46,11.534733827293085
5842,41,21,
5940,23,47,11.50657548901547
5957,39,19,
5960,27,35,12.130335156920463
5991,50,83,
6023,15,12,13.622485566616318
6029,91,63,10.819278403041512
6083,62,6,14.431935816199655
6141,14,86,9.90158150783913
6199,27,98,9.583829663710395
6204,0,7,14.032700169766827
6281,35,41,11.858039577094752
6292,55,66,
6298,51,93,9.831023196074009
6341,90,90,9.834558768240774
6372,74,81,
6479,27,91,9.814035161952672
6496,63,15,13.520902240516829
6501,54,15,13.522973911505378
6506,9,38,
6551,35,39,
6595,84,96,9.668010500231972
6600,7,16,13.221421591497554
6631,15,42,11.694017731721772
6643,55,37,
6704,26,90,9.842065820098021
6707,10,88,9.804096957650088
6728,18,34,12.129849591157136
6730,26,55,
6733,72,72,
6777,32,52,
6807,21,4,14.598330076662272
6825,81,47,11.563056175787231
6897,89,53,11.251019698753968
6898,76,33,12.293498071793389
6899,35,46,
6910,37,80,10.241670983342534
6936,34,82,10.1581906537563
6946,42,60,
6949,18,41,11.76407300064097
6988,18,62,10.823770994429356
7023,61,65,
7055,31,7,14.241773976161603
7105,28,76,10.344685486596216
7122,34,21,
7166,8,17,13.150296295541525
7198,40,61,
7226,14,39,
7315,80,17,13.314283325150356
7319,86,58,11.05284271438991
7340,1,64,10.617753817454258
7469,95,29,12.425914763083224
7477,80,84,10.091019683028842
7572,95,41,11.775156762417833
7593,2,34,12.012245446567112
7618,97,73,10.393392824439841
7669,84,45,11.643219680127835
7732,9,77,10.183977418875857
7738,43,50,
7741,37,36,
7752,82,98,9.612661794822719
7758,38,72,
7814,48,85,
7819,99,24,12.709986356048574
7862,4,93,9.590496873068233
7868,18,53,11.203436287209904
7927,34,91,9.848776213867867
8014,9,59,10.883230463506763
8043,16,33,12.171555316091501
8067,49,45,
8101,64,93,9.83062287523594
8111,35,43,11.7593900103162
8119,73,16,13.418723404479046
8137,30,0,15.92817259026901
8159,34,18,
8161,68,8,14.180578919809028
8188,90,93,9.734308775695268
8204,42,52,
8249,91,91,9.79506845583364
8268,63,21,13.06727620747969
8300,49,44,
8306,97,91,9.757064047040512
8357,21,63,10.802780485972264
8421,7,71,10.39188606060351
8511,87,95,9.685207891879335
8528,47,30,
8545,32,86,10.009542489245712
8557,96,39,11.869725477110393
8561,48,14,13.599360917467349
8575,3,64,10.633454986732334
8612,69,93,9.821563919076436
8632,78,72,10.53387971840902
8650,13,73,10.360900064663285
8699,21,51,11.31153338797483
8722,11,89,9.77748064310526
8761,72,63,10.904683266831904
8774,24,55,11.154215541448561
8850,56,5,14.57035255327651
8868,24,74,10.39595203027136
8926,66,61,
8988,42,87,
9023,88,15,13.43473047964749
9039,71,81,
9081,45,80,
9118,1,53,11.077962972364583
9143,86,62,10.887759179211137
9164,29,4,14.644494598095095
9181,19,11,13.743797511954584
9187,73,15,13.499922223619652
9226,23,32,12.27294092199314
9237,69,45,
9242,59,35,12.217713059372342
9250,35,50,
9253,40,57,
9254,70,21,13.05460159602135
9301,39,78,10.32102744679913
9302,62,77,
9374,38,44,11.722858091247957
9389,6,13,13.465948924634322
9400,45,84,
9410,8,86,9.857692132897366
9450,36,86,10.027149026333216
9478,68,88,9.991777817660015
9515,12,27,12.493907841690504
9532,62,15,13.521929165882721
9571,42,54,
9575,33,80,10.22473642109697
9580,72,24,12.846982091482797
9604,76,7,14.274496733518962
9636,77,59,11.051803175221318
9647,20,65,10.71650550829596
9832,23,98,9.560718520082471
9840,77,75,10.425881813077437
9847,5,19,12.97665989941397
9860,4,94,9.557440530727199
9868,61,23,12.932802109957079
9902,55,35,
9919,57,38,
9926,21,80,10.159017104333453
9957,82,26,12.681495085763938
9960,71,25,12.785171050378825
9966,17,63,10.77663202050833
9968,49,89,
10107,31,72,
10118,11,18,13.09618493344292
10165,70,98,9.655617675429124
10183,31,98,9.604622869150514
10227,50,18,13.282403659295827
10247,4,67,10.522753164948437
10256,93,17,13.245398808051325
10276,73,86,
10298,11,13,13.503461509929256
10377,65,22,12.995690142012698
10424,37,56,
10431,77,72,10.537737803945216
10438,32,78,10.292011887119212
10483,33,83,10.118513095901758
10533,21,18,13.164661576403002
10610,31,28,
10613,23,13,13.584291632449698
10629,18,1,15.218165788079475
10706,80,74,10.45082145070162
10761,27,82,10.123449601841108
10778,25,0,15.901068856381656
10792,37,69,
10794,7,97,9.482381610152236
10796,94,79,10.192908823492417
10825,74,42,11.829702844686143
10866,47,75,
10898,27,52,11.30245695065329
10910,92,72,10.462913427136085
10923,50,89,
10946,50,60,
10959,54,73,
10975,28,89,9.88684604551598
10976,69,59,
11050,17,60,10.89891754452535
11085,65,71,
11155,73,48,11.546790572030554
11168,25,47,11.518406887523096
11178,82,31,12.381837307828306
11179,71,43,11.789536499464564
11220,27,66,
11259,58,83,
11275,94,77,10.265294171763792
11277,35,20,
11314,29,91,9.824735060197217
11346,77,37,12.073612724800686
11357,74,64,10.858475390850737
11369,70,88,
11406,31,52,
11502,66,93,9.82758335539858
11558,75,85,
11567,25,94,9.70304886072511
11572,18,66,10.663932239198617
11582,15,1,15.197728933666262
11615,4,4,14.476906624732347
11679,1,38,11.791201636614602
11734,78,18,13.246102120319687
11735,57,69,
11746,7,17,13.142723002523205
11752,19,81,10.110546737534612
11758,72,79,
11773,19,57,11.037604157947158
11819,30,6,14.362270256423754
11868,62,39,
11869,81,60,10.993900176321407
11931,15,67,10.604298523056654
12003,23,90,9.824523797104021
12053,43,57,
12203,79,11,13.834050935857395
12237,35,86,10.022998760437652
12252,12,66,10.622177818797413
12254,98,5,14.419170119966171
12287,56,37,
12332,1,17,13.096163031782709
12359,91,90,9.82866823461291
12397,2,81,9.986346036883855
12422,98,55,11.107632082912543
12488,79,52,11.344401068020057
12558,36,24,
12566,84,71,10.544976501416157
12652,54,36,
12858,32,3,14.830692885229194
12860,21,12,13.662363660438025
12888,40,66,
