x,y,value
58,32,0
40,59,1
35,52,1
52,82,1
80,32,0
1,5,0
45,21,0
7,96,0
92,83,0
86,82,0
13,6,0
46,88,1
91,93,0
74,97,0
47,26,0
38,0,0
5,3,0
72,2,0
2,71,0
31,82,0
43,66,1
32,37,0
18,85,0
54,87,1
11,88,0
11,7,0
56,6,0
61,2,0
83,33,0
87,82,0
44,87,1
14,0,0
31,98,0
89,97,0
45,37,1
60,44,1
52,15,0
91,74,0
98,31,0
84,70,0
41,82,1
48,86,1
9,24,0
8,66,0
34,7,0
77,89,1
86,75,0
5,62,0
73,89,1
12,50,0
72,46,0
31,19,1
33,98,0
6,35,0
76,15,0
22,11,0
56,31,0
85,39,0
65,62,1
76,93,0
99,19,0
62,68,1
95,7,0
64,53,1
8,43,1
47,60,1
88,22,0
75,79,1
99,56,0
91,65,0
35,40,0
95,11,0
84,1,0
63,84,1
84,68,0
53,82,1
42,40,1
59,42,1
81,58,0
67,5,0
77,21,0
0,69,0
45,23,0
91,80,0
96,23,0
5,65,0
41,24,1
31,8,0
61,73,1
2,4,0
45,71,1
60,89,0
74,70,0
42,16,0
6,52,0
62,43,1
81,17,0
55,2,0
19,71,0
35,70,1
74,94,0
42,67,1
91,34,0
55,22,0
10,53,0
6,65,0
47,87,1
47,72,1
94,34,0
40,36,1
7,33,0
61,82,1
85,77,0
12,64,0
6,85,0
72,15,0
53,48,1
8,95,0
61,36,0
53,89,1
60,25,0
73,7,0
76,88,1
16,60,0
33,56,1
31,30,1
62,21,0
17,14,0
91,55,0
17,93,0
29,59,1
90,6,0
76,47,0
13,75,0
9,30,0
63,47,1
14,43,1
81,35,0
9,23,0
88,37,0
36,94,0
42,92,0
12,26,0
19,7,0
19,54,0
30,75,0
85,82,0
47,28,1
89,89,0
28,64,1
4,14,0
58,65,1
86,48,0
60,60,1
17,64,0
27,81,0
28,98,0
37,88,0
21,0,0
13,52,0
26,31,0
52,47,1
2,55,0
50,38,1
48,24,0
7,10,0
97,75,0
1,26,0
29,86,0
71,21,0
18,55,0
25,97,0
26,67,0
88,68,0
66,68,1
88,11,0
38,12,0
36,86,0
19,56,0
58,17,0
46,31,1
46,7,0
95,26,0
48,81,1
50,64,1
27,71,0
8,23,0
58,8,0
86,78,0
27,63,1
88,83,0
2,89,0
66,36,1
74,58,0
93,36,0
6,33,0
13,73,0
15,3,0
41,32,1
88,20,0
86,94,0
47,75,1
0,47,0
17,63,0
57,49,1
23,94,0
10,25,0
92,63,0
37,28,1
34,55,1
75,1,0
71,56,0
12,35,0
76,57,0
67,54,1
57,68,1
75,97,0
12,91,0
82,72,0
20,83,0
83,37,0
72,22,0
20,45,0
90,88,0
45,57,1
91,90,0
39,48,1
52,97,0
22,68,0
33,49,1
76,31,0
64,78,1
87,61,0
75,54,0
2,33,0
81,7,0
44,82,1
4,45,0
52,34,1
81,34,0
89,82,0
48,42,1
97,54,0
0,61,0
72,31,0
74,9,0
60,37,0
0,95,0
50,39,1
84,31,0
41,21,1
60,10,0
1,43,0
4,12,0
97,46,0
19,30,0
21,79,0
52,35,1
41,47,1
70,2,0
33,30,1
62,69,1
86,10,0
41,37,1
96,78,0
1,93,0
1,91,0
96,81,0
97,2,0
88,95,0
90,3,0
24,60,0
36,63,1
79,1,0
33,3,0
0,6,0
72,67,0
42,34,1
78,98,0
30,78,0
6,71,0
68,42,1
11,56,0
84,6,0
26,40,0
54,3,0
2,45,0
63,74,1
65,80,1
51,57,1
13,97,0
76,59,0
81,60,0
45,39,1
49,13,0
97,97,0
72,52,0
57,79,1
77,20,0
70,59,0
34,14,1
47,43,1
22,64,0
24,28,0
77,31,0
47,32,1
2,80,0
40,7,0
54,89,1
26,77,0
74,41,0
20,22,0
52,52,1
27,72,0
23,32,0
46,59,1
99,65,0
20,34,0
16,90,0
81,4,0
2,81,0
29,35,0
90,39,0
65,52,1
43,20,0
77,46,0
88,48,0
11,73,0
18,9,0
51,24,0
69,86,1
49,71,1
53,72,1
12,3,0
29,30,0
12,72,0
47,79,1
40,61,1
86,38,0
15,37,0
81,23,0
82,4,0
45,68,1
18,84,0
74,75,1
81,22,0
65,2,0
50,57,1
21,43,0
16,6,0
29,60,1
29,69,1
9,16,0
60,76,1
3,85,0
26,3,0
84,49,0
92,71,0
30,45,0
3,97,0
81,99,0
76,87,1
21,97,0
70,62,0
95,78,0
98,76,0
13,0,0
91,8,0
20,93,0
36,31,1
40,67,1
41,11,0
5,35,0
36,53,1
27,40,0
39,5,0
36,91,0
60,14,0
45,76,1
14,27,0
7,34,0
55,81,1
19,50,0
86,87,0
96,53,0
46,87,1
85,71,0
21,1,0
14,18,0
67,96,0
9,27,0
74,59,0
83,95,0
81,14,0
88,81,0
90,56,0
61,38,1
25,40,0
89,19,0
16,51,0
83,38,0
61,48,1
86,81,0
7,42,1
75,49,0
18,40,0
57,84,1
28,27,0
90,37,0
44,9,0
