,x,y,value
11,0,0,0
41,0,1,0
71,0,2,0
101,0,3,0
131,0,4,0
161,0,5,0
191,0,6,0
221,0,7,0
251,0,8,0
281,0,9,0
311,0,10,0
341,0,11,0
371,0,12,0
401,0,13,0
431,0,14,0
461,0,15,0
491,0,16,0
521,0,17,0
551,0,18,0
581,0,19,0
611,0,20,0
641,0,21,0
671,0,22,0
701,0,23,0
731,0,24,0
761,0,25,0
791,0,26,0
821,0,27,0
851,0,28,0
881,0,29,0
911,0,30,0
941,0,31,0
971,0,32,0
1001,0,33,0
1031,0,34,0
1061,0,35,0
1091,0,36,0
1121,0,37,0
1151,0,38,0
1181,0,39,0
1211,0,40,0
1241,0,41,0
1271,0,42,0
1301,0,43,0
1331,0,44,0
1361,0,45,0
1391,0,46,0
1421,0,47,0
1451,0,48,0
1481,0,49,0
1511,0,50,0
1541,0,51,0
1571,0,52,0
1601,0,53,0
1631,0,54,0
1661,0,55,0
1691,0,56,0
1721,0,57,0
1751,0,58,0
1781,0,59,0
1811,0,60,0
1841,0,61,0
1871,0,62,0
1901,0,63,0
1931,0,64,0
1961,0,65,0
1991,0,66,0
2021,0,67,0
2051,0,68,0
2081,0,69,0
2111,0,70,0
2141,0,71,0
2171,0,72,0
2201,0,73,0
2231,0,74,0
2261,0,75,0
2291,0,76,0
2321,0,77,0
2351,0,78,0
2381,0,79,0
2411,0,80,0
2441,0,81,0
2471,0,82,0
2501,0,83,0
2531,0,84,0
2561,0,85,0
2591,0,86,0
2621,0,87,0
2651,0,88,0
2681,0,89,0
2711,0,90,0
2741,0,91,0
2771,0,92,0
2801,0,93,0
2831,0,94,0
2861,0,95,0
2891,0,96,0
2921,0,97,0
2951,0,98,0
2981,0,99,0
3011,1,0,0
3041,1,1,0
3071,1,2,0
3101,1,3,0
3131,1,4,0
3161,1,5,0
3191,1,6,0
3221,1,7,0
3251,1,8,0
3281,1,9,0
3311,1,10,0
3341,1,11,0
3371,1,12,0
3401,1,13,0
3431,1,14,0
3461,1,15,0
3491,1,16,0
3521,1,17,0
3551,1,18,0
3581,1,19,0
3611,1,20,0
3641,1,21,0
3671,1,22,0
3701,1,23,0
3731,1,24,0
3761,1,25,0
3791,1,26,0
3821,1,27,0
3851,1,28,0
3881,1,29,0
3911,1,30,0
3941,1,31,0
3971,1,32,0
4001,1,33,0
4031,1,34,0
4061,1,35,0
4091,1,36,0
4121,1,37,0
4151,1,38,0
4181,1,39,0
4211,1,40,0
4241,1,41,0
4271,1,42,0
4301,1,43,0
4331,1,44,0
4361,1,45,0
4391,1,46,0
4421,1,47,0
4451,1,48,0
4481,1,49,0
4511,1,50,0
4541,1,51,0
4571,1,52,0
4601,1,53,0
4631,1,54,0
4661,1,55,0
4691,1,56,0
4721,1,57,0
4751,1,58,0
4781,1,59,0
4811,1,60,0
4841,1,61,0
4871,1,62,0
4901,1,63,0
4931,1,64,0
4961,1,65,0
4991,1,66,0
5021,1,67,0
5051,1,68,0
5081,1,69,0
5111,1,70,0
5141,1,71,0
5171,1,72,0
5201,1,73,0
5231,1,74,0
5261,1,75,0
5291,1,76,0
5321,1,77,0
5351,1,78,0
5381,1,79,0
5411,1,80,0
