,x,y,value
26,25,99,-0.03387807358994199
85,54,78,
102,48,84,
118,64,17,0.27182581172132525
120,53,59,
137,49,13,-0.425433968435145
171,13,32,-0.8000323363388848
311,38,24,
358,78,82,
375,15,26,0.6117351159099313
395,70,8,-0.1454418630208396
399,41,18,-0.40731915629081805
407,87,50,-0.33247231133814115
433,33,76,-0.6146770075832593
470,4,18,-0.05827345171064269
488,85,97,-0.2800679289148319
504,64,33,0.013134352264986937
583,57,78,
598,0,16,1.9587186331770923e-05
629,24,68,-0.22262943775652488
638,33,87,-0.4248382061856234
679,49,50,
732,36,98,0.5852031702944469
812,84,14,-0.1311864655564614
858,36,81,-0.5547349677842144
862,75,72,0.08366610599282653
870,34,75,0.6292412924269308
1031,67,58,
1033,95,10,0.42315918821443255
1078,61,23,0.1177537544282996
1116,84,25,-0.951088019920986
1150,6,66,-0.13213887912988032
1154,46,23,-0.45304985254146113
1158,54,51,
1175,96,97,0.7884314332672411
1205,46,67,
1227,75,87,
1243,97,8,-0.07883511063210269
1260,27,62,
1266,54,36,
1279,23,74,0.1500333754007721
1294,84,24,-0.40700092952807954
1333,99,16,0.55408269908947
1349,5,21,0.5444199782034083
1399,41,49,
1410,13,77,0.029725820421957927
1413,55,90,-0.1558907400421542
1512,62,89,0.49996684527622604
1545,44,92,0.5175991699417999
1576,80,3,0.9708688660642675
1643,70,70,
1721,59,30,0.040716425989007377
1745,57,40,
1755,85,93,0.09612081756409374
1781,34,5,0.19365794702579842
1834,67,72,
1852,47,35,
1888,1,48,0.6400208044840936
1907,7,99,0.03936579663754136
1909,84,7,-0.7233865215728077
2001,24,31,-0.4627083981038148
2005,14,99,0.01214394424964449
2024,56,13,-0.8575105770363962
2052,49,69,
2057,97,42,-0.21675507821825157
2068,0,70,1.9587186331770923e-05
2092,44,20,-0.33714509515370084
2105,68,77,
2107,82,79,-0.8700169070452595
2115,96,53,0.782581284713338
2148,77,94,0.12644875713808235
2165,33,59,
2196,79,51,-0.12918257761283358
2201,93,32,0.3884745172560915
2204,19,24,0.387363214213321
2259,4,14,-0.012051632396842815
2278,8,18,-0.11611131786807305
2288,20,63,-0.421676299504805
2300,65,13,-0.12157617647597707
2353,51,71,
2423,10,0,0.21921407396738224
2425,3,39,0.266082255557496
2440,34,19,
2445,88,35,0.8413047160187987
2465,83,44,-0.2602830705785113
2499,42,48,
2502,98,40,-0.5523721225429521
2545,84,37,-0.7344326547553748
2557,52,40,
2564,31,53,
2566,34,56,
2599,46,62,
2670,98,27,-0.24194449510786498
2677,59,37,0.20196214469242957
2701,3,93,0.3167575055569558
2726,44,64,
2731,97,68,0.23855798561358377
2743,2,56,0.03771771659280043
2771,34,12,0.5760656902161065
2815,6,70,0.08374759956603683
2847,87,92,0.215869365992847
2855,14,72,-0.2944814732159454
2928,22,19,0.4619903153903182
2933,81,42,-0.08694898560128306
2943,86,56,0.8073104125825372
2947,61,20,-0.09014975270165548
3012,77,77,
3040,23,37,0.6686920710525195
3061,43,90,-0.2605380703389123
3081,26,90,-0.2434975474375668
3084,45,89,
3091,40,13,-0.7016700795511968
3126,27,91,-0.8225564480841138
3151,99,33,0.007700977109893703
3175,71,73,
3192,70,73,
3200,3,9,-0.909127887922885
3214,60,78,
3217,6,13,0.11998865646596979
3223,37,59,
3244,37,80,0.07551980646437406
3265,55,93,0.11047110886526745
3267,14,82,0.28917018834120967
3336,16,16,0.3316194288044809
3353,26,75,0.5009690293302396
3366,7,42,
3399,88,74,-0.15983931746167968
3438,4,3,0.08741654442145119
3465,70,30,0.15423013277782394
3494,62,67,
3543,26,86,-0.20851120442999693
3653,64,37,
3664,80,4,0.6410238777619974
3697,45,74,
3755,34,67,
3774,8,58,-0.020940804730726792
3791,36,61,
3823,27,97,-0.7652952713503014
3861,29,73,0.5901530637307606
3864,72,44,-0.9996385033561727
3880,61,59,
3888,72,7,-0.7537430089266903
3918,71,53,-0.0016413085483091283
3976,15,40,
3983,82,82,0.9222082562218554
3988,0,94,1.9587186331770923e-05
4037,51,53,
4070,28,1,-0.31337408932445
4108,91,53,0.39129319369482385
4140,82,0,0.9710739470935816
4176,46,84,
4200,16,61,0.08939004020958552
4209,80,83,-0.24469524087292283
4217,16,78,0.2970430863569802
4220,27,25,0.8199777124959504
4225,53,45,
4276,3,2,-0.41522163742070406
4282,2,60,-0.042061216417707104
4288,97,67,-0.2805891524351135
4292,31,26,
4322,73,63,0.04179829016448289
4344,7,2,-0.4111667158684663
4366,21,18,-0.5904739551748033
4379,54,42,
4414,55,16,-0.33320468127324687
4419,35,68,
4421,53,91,0.3868679453440713
4439,10,8,-0.03187321805097276
4461,10,11,0.0009896757854706006
4555,95,28,0.4854569403849993
4621,48,78,
4627,17,97,0.860665859194905
4643,95,26,-0.326218611181341
4662,17,39,-0.2480330061732987
4664,34,57,
4719,73,3,-0.04193268573835629
4748,64,6,-0.9484362004672579
4749,8,10,0.14758837480061282
4782,66,70,
4804,26,10,-0.4559954227362506
4810,23,71,-0.2699454006378891
4900,74,19,0.9866894557450523
4912,55,13,0.31577199827574254
4926,45,63,
4971,91,60,0.40583582084320313
5077,58,99,0.03818885562066576
5135,34,97,-0.6315205361597057
5146,1,4,0.6535170677365856
5153,22,60,-0.44499392849874253
5190,89,38,0.36839594887463
5207,3,53,-0.9162648470438566
5208,56,92,0.5920047275539846
5241,67,14,0.012337137716943447
5274,5,90,0.44536999940509414
5287,55,47,
5297,67,29,-0.06736686796111457
5317,45,87,
5322,78,63,0.9744372792191505
5353,45,92,0.3414274998568576
5368,72,69,-0.9931867698173282
5400,92,0,-0.8950465681113882
5474,37,77,0.02120520253932523
5528,37,56,
5575,2,13,0.04011363312707239
5629,61,2,0.09197091036183758
5634,3,50,0.9628856723881138
5660,48,2,0.36320224681502133
5661,95,11,-0.002212270308577957
5674,67,2,-0.03746771696177864
5680,73,46,-0.018294538585425957
5723,55,65,
5741,45,6,-0.5232666107631473
5755,63,70,
5796,83,5,-0.07383000518962657
5800,17,6,-0.89320764956254
5891,89,94,0.37394458922611884
5921,67,43,
5924,39,44,0.6509742035851758
5990,69,46,
6020,18,4,-0.2531841636591784
6021,92,99,-0.0356227351277254
6083,53,28,0.37451142603714027
6127,53,52,
6139,69,2,0.019158270450939874
6142,89,36,-0.04933660508947524
6189,73,33,-0.0005430329597465589
6224,35,94,0.6936902762542185
6254,4,72,0.08540887911460637
6268,62,86,-0.37598514957698603
6317,51,63,
6340,39,82,0.6183135500311625
6341,35,71,
6345,31,72,
6356,0,2,1.9587186331770923e-05
6472,2,1,0.023891957353038062
6486,96,96,0.15378263360608146
6506,52,98,0.7475561830741762
6514,25,43,-0.4725225113702278
6574,1,0,-0.99975683484443
6758,22,98,-0.38279159860586653
6762,35,19,
6775,94,33,-0.011590764108590945
6781,76,22,0.9941008771173732
6853,11,81,0.7538870024024844
6889,84,89,-0.48952025532411125
6931,67,27,-0.02629683628414048
6952,96,18,-0.5627031076824882
6971,21,54,0.7416365943108412
6982,58,82,
6984,11,79,-0.8696282723101987
6998,93,82,0.4422356664576996
7021,94,37,0.6693647121519539
7091,95,33,0.006714984811251767
7114,85,95,0.221078921975435
7122,23,62,0.5884013996027297
7171,52,90,0.4088517993331062
7176,43,46,
7202,94,46,-0.37791468223435054
7215,84,33,0.012759275906294887
7226,62,25,0.9713473505881434
7255,81,52,-0.035419402826974866
7270,29,75,-0.7388579755009279
7276,88,59,0.7178506374837226
7285,18,80,-0.04274142706271089
7367,60,49,
7385,4,64,-0.03457373521532836
7395,97,71,-0.16745730756557264
7398,10,35,
7417,26,38,0.5190789309664743
7435,19,89,0.4658932480594624
7458,81,51,0.1613857395589835
7476,55,25,0.3449154908605161
7504,9,52,0.1598006746330829
7553,22,63,0.4606782645604073
7556,44,36,
7604,82,38,0.9274480132709624
7611,60,33,0.012900470511390427
7682,17,68,-0.4094366740878673
7701,66,50,
7726,48,86,
7847,29,77,0.024849231257835003
7895,75,0,-0.08645905632193107
7925,61,31,-0.20210082507656502
7928,40,36,
7931,84,69,-0.9531870983403204
7942,30,66,
7967,62,26,0.633967242437177
8003,51,73,
8033,34,62,
8044,75,73,0.06368453481929093
8109,51,16,-0.4111635015173465
8110,57,2,0.12744153422711024
8152,79,36,0.022296879137963188
8241,70,11,0.004444111570756304
8255,22,85,-0.4599289013822562
8291,72,16,0.9575016638377354
8344,81,11,0.0009818641079759605
8366,25,58,-0.10143291117205533
8462,53,32,-0.32452636793526013
8472,47,6,0.4872248546220166
8516,13,34,0.8138307470363046
8521,48,50,
8572,36,27,
8588,99,26,-0.374261814756913
8590,39,87,0.37095932051956204
8638,84,91,0.9541638299480915
8650,45,53,
8651,92,79,0.8019728577889773
8689,59,99,0.010525705291031917
8717,63,72,
8720,87,20,-0.14059052288991636
8726,86,3,-0.9366810982322067
8743,32,38,-0.6204752285164994
8802,34,29,
8806,64,36,
8838,9,6,-0.9412425614216252
8862,32,19,
8893,91,73,0.3137059420556183
8895,11,4,-0.6344203774057603
8920,84,13,-0.8707200097481573
8937,78,26,0.6394067650818538
8946,98,96,-0.14942200282310336
9020,18,58,0.046186728360365636
9149,83,93,-0.08262089651923687
9150,56,5,-0.26803897608866367
9156,54,88,
9174,0,87,1.9587186331770923e-05
9189,9,88,-0.9796735540728877
9191,39,43,
9198,45,47,
9211,57,71,
9259,74,62,0.6721406748191048
9324,94,87,0.4982592101966137
9360,32,73,0.47831125387125617
9373,90,36,-0.11692599014904015
9385,41,11,-0.002710554630397044
9405,16,27,0.10117577547357404
9491,80,45,-0.5151443921102223
9498,13,83,-0.2392988745504162
9501,81,1,0.11749720112467865
9502,42,16,-0.7666052112809105
9566,93,31,0.4259680746718164
9573,97,0,0.5419761472937861
9588,85,45,0.15906030791568715
9589,26,63,
9609,25,39,-0.22696112193644868
9629,89,35,-0.3485387137075827
9668,79,44,-0.17404386282425344
9670,87,81,-0.26759791342480754
9686,84,47,0.9522140343928205
9691,22,24,0.1982165828347522
9704,3,6,0.9581003669613339
9739,27,27,-0.24164799796633785
9767,49,76,
9792,38,62,
9794,50,97,-0.8265507511733768
9820,86,35,-0.8550263963169576
9825,53,70,
9838,80,89,-0.5002923019264978
9871,78,92,-0.619131107240186
9958,5,44,-0.9937470922872824
9960,10,27,-0.06401562906290892
9975,67,35,
9987,20,39,-0.11403114581342932
10016,45,17,0.14998171264058402
10019,43,52,
10058,16,63,-0.3413576528679848
10100,84,26,-0.6207311625968817
10167,14,50,0.29382506230136296
10171,33,27,
10181,14,86,-0.11680598033703193
10248,42,45,
10273,28,94,-0.5622997511706453
10285,54,1,0.5022926574158326
10367,96,99,-0.03391581509428576
10460,91,15,0.32371707335103217
10495,29,70,
10552,20,65,0.240597027002585
10587,9,30,-0.1511942684866978
10598,29,88,-0.8010799288381162
10600,40,83,
10608,27,30,0.12762185804584503
10619,72,24,-0.4240808422061818
10644,8,25,-0.17430476080764168
10677,54,37,
10765,85,25,0.3001052735717671
10771,68,79,
10784,74,81,
10809,56,67,
11010,2,22,-0.04416203991507839
11044,88,52,0.1517545686851871
11079,65,36,
11109,29,37,-0.6135377657824762
11139,9,8,0.14265436390182495
11153,79,37,-0.13323190273800933
11201,93,19,0.4604084967994113
11209,72,57,-0.8996805420341546
11272,85,55,0.0067184411049048265
11317,12,98,0.21474631461097338
11369,41,27,
11387,33,36,
11392,14,16,-0.2915612460317005
11413,51,6,0.4122807220242335
11443,34,28,
11465,32,0,-0.6496631043738433
11509,28,60,
11515,56,30,-0.14574683554790713
11517,89,55,0.00855398033867738
11530,33,1,-0.40287907143564494
11535,20,51,-0.31742077921048784
11597,80,36,0.1255088774829083
11637,2,70,0.02800175621569978
11661,95,6,-0.48418951529562604
11746,93,74,0.07997952498061656
11758,68,22,0.9976828676322587
11766,51,43,
11785,63,99,0.007093835951935468
11802,69,82,
11810,86,62,0.6372715085384337
11828,9,93,-0.3111581546958918
11844,88,69,-0.9247693496629796
11906,40,30,
11947,92,58,-0.10665451843770435
11959,34,2,-0.284057723822815
11986,74,44,0.9978052228315348
12006,25,30,-0.13128748766776022
12036,76,21,0.5445283270935413
12073,47,94,0.49193827762428377
12088,25,59,0.6564042670748347
12123,90,3,-0.9047311621061532
12136,48,71,
12159,41,25,
12171,74,99,0.039758516387907505
12207,11,21,-0.5316177169513714
12244,46,38,
12253,61,67,
12304,30,23,
12326,44,21,0.4525632770785495
12375,86,2,-0.39372584862962023
12376,37,64,
12381,45,65,
12407,91,92,0.26694300347095323
12415,42,30,
12425,61,90,0.09902541461244874
12426,49,21,0.2568207198190622
12451,78,75,0.9110388174506026
12486,90,48,-0.5850061304619616
12572,52,48,
12625,73,15,-0.03217321706954002
12635,26,61,
12666,65,77,
12668,61,91,0.21973387004297562
12679,75,45,-0.04540954581168832
12688,61,74,
12717,52,68,
12719,73,30,0.0065562012989988094
12741,21,37,-0.6844581024788043
12745,41,86,
12759,50,10,-0.7496463960883728
12774,91,99,-0.016947799897158222
12784,6,88,0.132141806537021
12795,64,92,0.6188211378329127
12817,2,50,0.042655026606577495
12841,9,49,-0.2946535426880723
12844,99,76,-0.4769052404136408
12873,66,62,
12881,52,94,-0.8845364393123223
12897,83,17,0.07165656029480028
12901,64,69,
12916,14,6,0.29236489150908596
12982,49,82,
13095,34,8,-0.09930414839469925
