,x,y,value
75,34,75,0.6186684301793217
76,49,47,
90,53,89,
118,51,86,
126,3,82,0.5684009371155164
146,22,1,0.5488037047313099
262,82,2,0.5032568310498717
285,34,54,
329,5,43,0.5205412377292326
347,68,64,
407,3,30,0.46462310239077026
460,15,35,0.3481451718007655
467,87,22,0.4305917039335379
534,55,27,0.4911981926148847
584,81,89,0.6233427068519475
661,46,43,
685,20,49,0.5140582582570217
687,83,0,0.6887660489609885
689,91,33,0.5617031392359415
714,57,47,
738,42,33,
805,95,42,0.5132467365554509
834,66,45,
859,44,87,
907,17,12,0.5796792692462169
924,34,57,
956,30,12,
1066,58,11,0.5337367069663166
1078,54,85,
1089,28,96,0.46499154373419566
1102,85,91,0.42998953098525844
1153,26,94,0.6116434439919622
1157,66,78,
1217,72,7,0.6472090729374811
1272,20,38,0.59944723256984
1278,50,16,0.39761373245472775
1280,28,20,0.5417737146328767
1392,7,26,0.5361304286996503
1453,83,38,0.6829045879460955
1540,6,78,0.3380073315295261
1557,92,48,0.48045228125746586
1594,41,66,
1626,34,73,
1647,29,51,
1777,64,0,0.6708236460909967
1939,93,81,0.66581492712894
2007,11,56,0.5702368775001566
2027,96,70,0.6484986031006681
2095,96,88,0.6962570219025357
2171,80,98,0.4490971112995167
2272,19,75,0.5933537304754848
2276,40,68,
2320,66,82,
2407,54,64,
2480,40,24,
2490,60,53,
2491,76,48,0.46907516133250393
2504,17,83,0.502140209281322
2544,2,48,0.3591687581374854
2564,89,46,0.505907123604539
2586,41,10,0.3999352249481587
2605,4,45,0.514845912797547
2629,50,80,
2698,65,27,0.5033729041824861
2770,57,85,
2775,99,31,0.6863837400043447
2821,60,46,
2833,49,22,0.39069434096559885
2861,46,5,0.5538711799873944
2862,20,67,0.40728799231946045
2883,93,4,0.4792023913919031
2900,32,22,
2914,50,50,
3014,85,62,0.6475941391179776
3078,7,41,
3102,61,93,0.5782565855241688
3143,45,85,
3192,7,33,0.44999583260784837
3208,13,59,0.36189111245330896
3220,98,27,0.528559257071759
3222,8,44,
3225,45,66,
3243,36,23,
3260,10,89,0.5236878556205116
3273,77,58,0.5690247655423598
3283,54,41,
3452,20,39,0.509628913401948
3553,97,69,0.6958904632615497
3586,10,63,0.5857541296129722
3603,40,40,
3680,1,52,0.41961047579758426
3742,56,69,
3745,7,38,
3762,42,45,
3784,65,83,
3796,49,96,0.4976169981463817
3806,17,60,0.3453235461326247
3832,71,84,
3882,68,6,0.6700368916812909
3894,82,83,0.5901078130469906
3901,94,20,0.6182109794807095
3910,88,82,0.6855882723838019
3927,74,34,0.4400528728017329
3981,32,81,0.5964920510511158
4048,23,33,0.4783035222273537
4049,63,28,0.41361415375353316
4124,96,18,0.65202091913601
4146,71,7,0.6462194564003741
4151,27,96,0.46331007279287123
4164,53,24,0.5820032515603442
4215,45,7,0.6137604549606238
4242,9,81,0.5566625047702953
4270,73,84,
4271,77,73,0.4574258047831482
4284,17,41,0.34076677484424006
4305,52,35,
4352,84,66,0.4285997170757253
4365,3,34,0.3337867521147422
4371,34,64,
4385,9,25,0.584650130485589
4420,36,91,0.3718800419974723
4474,21,67,0.40902708275523847
4477,84,1,0.6295141981742729
4478,71,55,0.5507460207588761
4553,21,77,0.472538322309838
4568,80,8,0.5370050497501374
4579,43,94,0.6389157083908287
4643,77,61,0.5198014900792189
4654,96,62,0.653741854001886
4677,11,61,0.42524472451253814
