,x,y,value
16,21,33,0.013262474304314376
39,48,80,
53,14,86,0.018359193128502982
83,4,77,0.023971250398941546
97,6,22,0.9701652499769451
129,62,26,-0.5863509150767716
143,87,81,0.28527559412074277
162,31,60,
198,51,95,-0.7028078467217564
227,29,44,0.12503038104608089
236,76,9,-0.8064915978841583
252,89,82,0.6931129122311686
258,85,40,0.04394041705342833
347,23,72,0.9017458611127509
373,91,58,0.1134923357917359
452,54,18,0.3907684385089909
466,63,7,0.7365531143424426
469,59,24,0.19276949782515929
487,71,56,0.015450924576310365
492,67,98,-0.6427932955500013
498,5,99,0.03559743534385995
509,59,4,-0.297000650335715
511,18,91,-0.7378654591141496
576,95,33,-0.011135763384958253
588,2,21,0.2342989024530453
601,66,11,-0.003969848699110101
602,50,12,0.8426774384732008
615,49,71,
633,78,60,-0.951573330919242
641,78,5,0.2834375291630289
654,80,44,0.9209650820482478
655,23,8,0.13566303360340304
678,41,14,0.048755602659874775
688,74,43,0.33370022819930534
701,73,87,
704,78,69,0.992554621563817
711,97,56,0.45012285302918364
735,13,47,-0.2635234608576895
737,31,76,0.4430057150360731
753,36,80,0.10984153413293418
754,91,36,-0.12181608223146367
836,75,52,0.12416348402977784
855,18,5,0.21051529735251728
891,62,72,
909,86,27,0.045145008959621036
916,90,24,-0.3655911255690457
919,38,98,0.7013011782925411
982,30,55,
999,77,5,-0.27389597169114244
1000,56,96,-0.034279641683140016
1027,46,69,
1057,11,40,
1064,27,81,-0.24180596712607239
1097,70,84,
1146,76,24,0.3754929176207087
1225,16,78,-0.3294070685166287
1342,95,81,0.6526044611537867
1381,45,39,
1385,32,46,0.30650991254573223
1394,39,32,
1421,92,7,-0.7508598878200311
1442,55,59,
1452,78,96,-0.18025550490781417
1481,44,2,-0.12237654768540351
1510,97,79,-0.4726362323387828
1525,43,42,
1588,47,36,
1596,87,9,-0.3346142111807008
1632,34,15,
1647,86,89,-0.07878526052227297
1655,31,42,-0.21492789715274097
1680,87,76,0.30277445768188427
1709,1,40,-0.14616955895228434
1731,57,19,0.02940762538528685
1770,3,36,-0.0787368589833779
1772,52,39,
1791,67,37,
1815,57,61,
1864,43,56,
1898,55,17,0.11026974080818475
1926,32,8,0.10320475253227501
1963,12,66,0.47029740246786456
1971,15,24,-0.07307042807890118
1973,68,24,-0.26704930937650107
2026,71,79,
2053,74,28,-0.5786063287023457
2087,14,65,0.02690315194436943
2096,24,28,-0.7992052029980921
2123,83,14,-0.06647933787612137
2154,92,10,0.8357268497869959
2155,4,26,-0.5002153720091955
2202,74,84,
2244,6,11,-0.004274152722869573
2302,44,53,
2321,26,46,-0.22129169223963485
2375,47,64,
2389,54,11,0.0026385371288988324
2406,21,6,-0.9577019470511466
2470,85,49,-0.01977576523421376
2538,6,28,0.9339240777732001
2539,38,29,
2541,56,9,-0.17318324806165797
2562,4,69,-0.7681265771249516
2587,76,30,0.1365593607532236
2637,6,29,0.7257727855013576
2657,79,83,
2660,96,19,-0.6929840469964308
2666,78,4,-0.6530612226820587
2717,84,79,-0.2535148247707306
2721,1,30,0.033830654579673825
2752,82,48,-0.42633473594012816
2753,92,65,0.560218273554375
2778,92,14,-0.13616938164910863
2789,52,74,
2865,67,61,
2932,83,55,-0.01074123949878103
3070,35,14,0.13578386372658402
3101,45,78,
3147,27,18,-0.20557373841642057
3158,75,7,-0.5741991706865228
3182,95,25,0.8328451782604049
3197,18,1,0.400958885430883
3238,33,64,
3262,84,24,0.12005023725919273
3284,5,1,0.48275108904059527
3306,0,78,1.9587186331770923e-05
