,x,y,value
35,12,22,0.32162558289079685
36,8,80,0.4333530035782089
48,27,88,0.5985583151890714
93,22,83,0.4954060457422143
99,80,24,0.5750830620814638
114,21,31,0.5811239598072131
117,52,39,
270,19,71,0.41931721165786756
276,52,81,
389,79,39,0.5536723776004215
410,49,26,0.5752723391279219
423,27,54,
511,15,26,0.5397320816212633
551,64,12,0.6154905915272648
575,83,24,0.5776209171442976
596,69,16,0.38507262583259483
597,84,7,0.6214737892883027
606,84,64,0.5742384249168764
652,20,24,0.5160496345324261
653,17,20,0.5107265581061745
701,40,90,0.4232927346243748
761,34,34,
765,10,28,0.32433390185628885
821,78,13,0.6364141268823547
823,77,56,0.628471008351541
858,72,91,0.3829981425086947
940,47,54,
981,14,88,0.5846368129014397
1000,88,38,0.6509992062743334
1009,17,41,0.32866844085123653
1036,4,26,0.5278141278067666
1052,73,83,
1073,87,17,0.48968161429181173
1074,16,59,0.3558064011578356
1131,91,9,0.409914666614609
1148,39,93,0.5221375872282024
1154,11,8,0.4320233055458359
1243,56,95,0.5930272194580251
1275,59,78,
1298,69,18,0.5961670747635699
1307,37,67,
1402,96,55,0.5355425898835167
1430,52,24,0.5491888500502597
1515,36,39,
1522,66,82,
1558,1,47,0.3106825853583465
1602,71,27,0.4737167728927661
1604,22,90,0.4043896341240477
1614,32,53,
1635,21,60,0.33751955451680815
1643,98,46,0.47777217018530027
1758,86,58,0.5403141099387614
1763,64,46,
1785,21,43,0.5342038023956059
1793,56,9,0.37888925595325307
1823,84,79,0.4062177943853222
1866,39,44,0.6111709960336029
1903,74,83,
1910,16,12,0.566503964914536
1926,46,99,0.4930558779335627
1934,77,49,0.5563706820880938
1987,50,64,
2001,7,5,0.48367881618385805
2019,91,50,0.6546855818832559
2056,23,21,0.3924559174505725
2071,42,77,
2084,14,44,0.5846981362132702
2131,14,60,0.32999076262909555
2214,15,58,0.47087889724139226
2239,40,27,
2287,41,71,
2314,91,88,0.6591746347059293
2346,51,61,
2351,16,56,0.5677259495603171
2404,18,44,0.5890082768175291
2435,64,74,
2464,63,96,0.48091551441429603
2500,16,23,0.3868900860145839
2571,75,89,
2580,82,71,0.48112115206349243
2590,78,31,0.6373659676331854
2603,57,82,
2635,57,12,0.6088278277018615
2659,52,63,
2713,36,79,0.3607238600332623
2734,58,60,
2745,0,54,0.3308650250239532
2794,72,48,0.4292129973077645
2886,47,49,
2894,88,30,0.5465173721396095
2946,44,93,0.5272515344620795
2966,59,13,0.6190500329735019
2968,67,36,
3006,80,37,0.6196033858084232
3016,76,20,0.5695209619698898
3017,80,66,0.3893189792920423
3103,30,6,0.5966136344175872
3112,44,1,0.5563294535461971
3127,11,77,0.4469651769857065
3147,93,21,0.45889303718383156
3173,65,66,
3229,26,69,0.5967169077044789
3241,96,97,0.41195341332433466
3265,98,3,0.4049951069428842
3349,60,48,
3395,21,11,0.462356579289219
3415,64,78,
3432,43,36,
3485,68,2,0.45480795605537117
3491,63,62,
3558,66,65,
3651,68,53,
3673,39,35,
3675,33,61,
3682,50,11,0.4924433857289711
3690,70,24,0.5662685378919822
3731,24,82,0.5888863657033435
3774,2,73,0.34518821723166526
3791,37,74,
3807,63,18,0.5906062868522421
