,x,y,value
11,34,22,
35,49,39,
55,38,6,78.0
97,89,93,78.9
113,5,45,78.0
123,39,29,
234,76,31,78.225
284,92,1,78.0
296,29,74,78.0
433,85,10,78.0
441,69,41,
455,26,55,
487,87,38,78.0
491,8,2,78.0
541,82,80,78.0
546,74,92,78.0
613,12,93,78.0
631,96,73,78.0
672,93,14,78.0
677,10,46,78.0
757,85,29,78.0
799,19,62,78.0
879,89,39,78.0
897,38,7,78.0
913,39,35,
948,82,24,78.0
962,90,99,78.9
995,64,64,
1005,85,31,78.0
1050,60,88,78.0
1089,0,30,78.0
1106,33,80,78.0
1127,79,81,
1139,95,17,78.0
1142,67,9,78.0
1146,79,11,78.0
1207,22,36,78.0
1239,75,66,78.0
1269,22,25,78.0
1295,49,73,
1300,76,93,78.0
1317,30,88,78.0
1329,97,42,78.0
1332,52,68,
1334,28,34,78.0
1337,64,41,
1379,36,35,
1428,95,70,78.0
1546,64,36,
1556,89,64,78.0
1557,8,29,78.0
1597,18,85,78.0
1601,11,53,78.0
1671,34,79,78.0
1701,21,74,78.0
1777,97,63,78.0
1819,67,92,78.0
1888,72,52,78.0
1890,63,6,78.0
1944,69,81,
1953,36,48,
2010,95,97,78.9
2033,87,0,78.0
2034,66,52,
2041,35,45,78.0
2062,98,42,78.0
2100,3,32,78.0
2110,36,76,78.0
2112,59,60,
2153,86,1,78.0
2183,45,37,
2195,97,94,78.0
2215,12,28,78.0
2218,82,25,78.0
2265,16,53,78.0
2266,69,78,
2318,81,12,78.0
2322,3,47,78.0
2325,32,57,
2342,99,74,78.0
2354,67,65,
2393,39,90,78.0
2614,2,3,78.45
2726,6,52,78.0
2787,33,50,
2799,58,70,
2820,73,74,
2842,6,17,78.0
2852,4,48,78.0
2940,64,5,78.0
2945,97,69,78.0
2959,77,74,78.0
2986,41,49,
2996,93,47,78.67500000000001
3057,13,20,78.0
3066,36,26,
3067,89,92,78.0
3071,84,33,78.0
3108,57,19,78.0
3147,77,14,78.0
3172,64,60,
3221,46,44,
3230,63,46,
3297,48,60,
3426,36,31,
3475,31,65,
3528,16,47,78.0
3535,2,5,78.45
3600,49,84,
3633,43,20,78.0
3651,92,2,78.0
3693,51,89,
3718,69,2,78.0
3724,55,64,
3738,26,84,78.0
3744,17,77,78.0
3824,29,80,78.0
3835,62,81,
3899,91,59,78.0
3905,51,61,
3958,52,73,
3961,87,43,78.67500000000001
3983,52,39,
4000,15,72,78.0
4020,58,0,78.0
4105,76,78,
4138,24,90,78.0
4220,98,93,78.0
4224,55,27,78.0
4233,19,20,78.0
4240,31,38,78.0
4298,29,24,78.0
4324,14,43,
4427,36,68,
4429,26,59,
4472,34,23,
4475,49,58,
4479,86,9,78.0
4506,26,72,78.0
4513,74,21,78.0
4533,67,63,
4536,65,2,78.0
4537,36,5,78.0
4564,47,16,78.0
4601,58,28,78.0
4617,54,39,
4643,17,91,78.0
4671,41,33,
4682,49,70,
4726,96,40,78.0
4791,19,28,78.0
4820,68,73,
4876,17,28,78.0
4885,63,49,
4920,38,75,78.0
4934,10,75,78.0
4936,97,45,78.0
4982,77,32,78.225
4985,22,10,78.0
4988,24,62,78.0
4996,44,66,
5032,12,25,78.0
5059,5,97,78.0
5087,87,56,78.67500000000001
5148,33,45,78.0
5173,29,4,78.0
5206,35,63,
5218,69,66,
5224,2,44,78.0
5288,59,83,
5316,47,85,
5345,13,9,78.0
5349,49,46,
5507,99,81,78.0
5525,29,44,78.0
5537,68,68,
5573,86,75,78.0
5587,68,4,78.0
5596,27,69,78.0
5620,93,49,78.67500000000001
5697,16,6,78.0
5745,84,88,78.0
5765,20,7,78.0
5847,83,17,78.0
5853,23,0,78.0
5887,22,23,78.0
5927,65,26,78.225
5936,99,92,78.0
6074,51,87,
6090,17,96,78.0
6101,52,85,
6126,36,61,
6136,39,21,
6152,58,53,
6163,6,25,78.0
6172,36,62,
6173,30,75,78.0
6188,86,37,78.0
6208,73,62,78.0
6228,30,19,
6238,48,44,
