,x,y,value
29,65,81,
35,14,12,0.46437025562115497
109,23,28,0.43108682354847766
125,15,34,0.5834069662423986
131,24,12,0.42125522405379806
136,25,84,0.3793695069903786
153,94,74,0.5220677483467809
186,99,2,0.3804652417704472
223,96,78,0.4466781587275549
266,30,64,
282,67,50,
314,50,57,
326,9,47,0.5746879038313532
330,32,92,0.3750058276635
333,51,55,
353,30,89,0.39001231495823563
465,42,82,
488,55,7,0.4082701749672403
509,60,43,
521,33,66,
530,65,76,
592,65,42,
607,91,14,0.3975743148715257
616,68,55,
619,95,82,0.4312813926690454
630,17,69,0.5501003962098844
696,13,92,0.3770673212675317
697,56,26,0.6033021004072381
729,40,92,0.5297973250002851
739,7,29,0.4360574693780227
813,86,41,0.5991507476679516
819,85,59,0.3866123311959287
829,47,0,0.5129608493286446
882,28,6,0.5964943671804394
894,51,75,
918,47,68,
942,35,12,0.37637095796050934
980,66,94,0.5635765467716877
1028,93,50,0.529991623054725
1079,39,12,0.6042914345808568
1098,82,65,0.47180421662477645
1110,96,30,0.6016237302188318
1171,14,63,0.4514123409054233
1177,31,7,0.3847043709520381
1184,95,41,0.3866123311959287
1217,82,89,0.5313446963664028
1231,25,71,0.5591101521845868
1243,58,80,
1259,47,69,
1266,37,84,0.4715525639656189
1327,68,66,
1333,19,46,0.37674419551234
1374,90,11,0.6072483554730161
1430,27,57,
1455,11,91,0.4736755209843926
1467,49,74,
1502,40,39,
1540,62,78,
1563,67,97,0.48307090593320423
1604,72,53,0.4457407538470132
1609,39,4,0.6145413466844799
1615,6,61,0.6166972742641028
1622,40,24,
1623,52,16,0.3923259585791057
1629,52,67,
1645,50,71,
1654,36,1,0.5813284078235046
1674,92,44,0.5868524117351415
1678,37,59,
1680,13,53,0.3750000009053332
1727,54,57,
1729,31,53,
1783,28,75,0.5256109070322458
1871,49,73,
1890,92,76,0.5925071813910465
1951,84,6,0.4308017977145187
1953,9,59,0.37677766498156934
1956,35,26,
1989,41,39,
1991,49,53,
1999,9,63,0.44158515219307654
2072,30,50,
2177,60,76,
2286,42,23,
2292,47,49,
2326,39,9,0.5357535646200278
2354,61,97,0.4463164620039378
2375,53,79,
2405,99,11,0.6018782395258665
2415,12,36,
2418,95,13,0.38188782706918906
2446,45,30,
2456,68,70,
2593,20,99,0.3933865320736958
2598,33,81,0.4726784684219393
2621,89,62,0.5201778657303537
2630,14,95,0.38830576339308154
2631,86,89,0.4102014841359646
2646,59,73,
2654,54,15,0.6199097704843608
2661,51,58,
2708,32,13,
2711,51,96,0.6070226237357353
2744,68,85,
2787,67,68,
2832,97,86,0.6219806624276226
2852,68,8,0.3823606521926388
2862,63,40,
2905,82,31,0.4412718944278979
2934,6,2,0.38100433188585836
3015,91,87,0.4530180234285247
3116,2,57,0.44982306281791473
3132,26,26,0.5573732013211845
3180,19,52,0.3891527910017685
3186,8,7,0.44058878710206006
3226,42,30,
3252,86,21,0.40387218626778876
3255,23,36,0.46811864960921107
3281,86,18,0.6164384568061556
3373,96,54,0.4000953002432982
3537,2,0,0.4089042089144425
3590,72,55,0.45839653691249405
3598,26,28,0.4488019706351196
3605,86,2,0.43502878291467506
3622,76,19,0.40868767899841446
3631,59,58,
3745,43,5,0.41614687819473883
3757,49,2,0.5831179016040531
3759,68,88,0.6148414972019824
3767,97,15,0.4935209765571448
3878,57,27,0.6246587217518816
3924,47,7,0.5970826224926558
3926,68,2,0.4015178658711285
3927,60,23,0.5772563598752772
3946,40,31,
3957,61,57,
3959,87,30,0.5778840120319408
3978,52,15,0.5682545875344619
4000,97,61,0.4463164620039378
4052,92,21,0.4555830231318788
4068,40,34,
4152,16,77,0.6161617967020251
4190,79,27,0.5437698992640134
4222,68,69,
4251,77,1,0.39648728289033786
4255,61,98,0.6037619901837114
4260,23,95,0.5780404270946018
4288,30,10,
4334,69,30,0.6079713603755141
4373,56,66,
4403,23,60,0.5772563598752772
4462,31,9,0.40015776942972053
4473,72,31,0.42048071854238256
4476,54,41,
4497,48,91,0.5953395726696543
4551,58,37,0.5132178007125434
4553,26,82,0.43502878291467506
4574,20,78,0.6028421111381661
4630,85,9,0.5967562872018036
4662,48,12,0.5243650303693115
4664,72,30,0.6048961747535988
4679,20,38,0.568086860025297
4717,17,24,0.6000400238060547
4743,20,50,0.3778566779820808
4767,96,60,0.4085252696623364
4772,49,72,
4785,40,56,
4820,30,72,0.6048961747535988
4827,75,54,0.3757901205585186
4843,69,24,0.4038058158067373
4897,44,29,
4951,2,31,0.4257943403272454
4959,97,23,0.407902812691689
4962,94,90,0.37708248490184687
5013,94,56,0.5391776354885663
5025,45,43,
5026,21,94,0.40198451094368387
5036,81,55,0.5515744041750099
5041,77,49,0.4104661720384914
5066,95,33,0.4356248449171149
5098,44,90,0.45986627608320607
5140,1,34,0.39399812237445414
5144,87,42,0.5289626959267365
5211,37,88,0.6146031203679784
5256,12,66,0.38184147012684744
5258,78,44,0.5428741765600832
5262,57,40,
5264,68,10,0.48003214245178755
5278,93,92,0.6229769578762737
5421,6,65,0.38610383938214865
5438,12,55,0.6200906202431683
5472,2,72,0.537888518096326
5490,78,74,0.5489981285213056
5515,26,56,
5593,78,34,0.37802932337594003
5661,31,90,0.4110674907090424
5712,77,27,0.617142504168054
5718,37,64,
5734,5,12,0.37522199439562404
5789,53,8,0.43386843691285243
5839,47,19,0.5040926023751061
5844,66,89,0.5785696015034711
5865,8,24,0.6205745697480015
5920,91,71,0.3833190932309805
6071,48,9,0.37559515510977604
6112,99,12,0.6031234828098895
6136,9,67,0.5224366658133519
6166,78,3,0.6190922553550695
6275,37,92,0.3795539330370549
6313,64,6,0.3751813428295767
6372,97,35,0.5156733728539901
6378,23,14,0.3821202306238404
6387,14,85,0.6032692814284656
6395,75,70,0.6158637901908396
6431,83,15,0.5863501270270115
6458,47,81,
6504,4,9,0.5726065342916554
6510,46,74,
6547,7,74,0.3750148045376854
6557,59,6,0.4912455128278862
6593,90,24,0.5921844977505692
6598,62,97,0.38581861328683964
6633,77,39,0.5291204079998373
6636,96,36,0.5128777260062721
6659,31,52,
6696,41,3,0.4298260691088087
6719,65,13,0.3750276252742759
6794,10,95,0.3799129037926172
6798,86,55,0.3837765874752262
6803,47,59,
6811,96,71,0.5497148471939298
6851,26,0,0.5295217504637472
6877,28,60,
6887,62,31,0.5982790087014871
6907,97,45,0.5229696975378737
6991,31,83,0.5255167179451206
7014,81,46,0.6013560863305942
7024,44,55,
7054,96,43,0.37576138148617894
7080,55,62,
7189,6,41,
7196,20,12,0.6108741402150892
7204,62,2,0.48842053433193916
7234,66,65,
7242,92,13,0.3770673212675317
7252,1,63,0.483033300599868
7273,17,47,0.6036644160953702
7362,69,64,
7425,71,96,0.5497148471939298
7432,93,23,0.6121174905263428
7490,92,31,0.5373522331659337
7510,3,42,0.3996434754646838
7583,86,87,0.5485036025035205
7666,25,34,0.5806202254677167
7756,2,42,0.45341260906463987
7798,79,43,0.39042291706865784
7835,72,69,0.6031234828098895
