,x,y,value
11,68,80,
38,77,37,-987.0
46,56,34,-987.0
82,4,72,-987.0
108,27,68,-987.0
138,82,65,-987.0
156,30,51,
181,52,59,
201,86,96,-987.0
205,29,99,-987.0
242,96,21,-987.0
252,25,21,-987.0
294,21,31,-987.0
337,89,25,-987.0
365,43,70,
367,98,92,-987.0
370,80,37,-987.0
487,83,18,-987.0
513,32,68,
520,70,42,-987.0
546,76,43,-987.0
549,65,75,
575,72,62,-987.0
632,8,83,-987.0
651,66,60,
703,10,39,
712,18,32,-987.0
781,45,48,
815,75,54,-987.0
834,16,71,-987.0
918,69,27,-987.0
921,96,4,-987.0
1018,59,72,
1026,40,83,
1034,88,83,-987.0
1046,13,79,-987.0
1065,34,9,-987.0
1105,8,6,-306.0
1133,12,35,-987.0
1185,69,79,
1203,16,93,-987.0
1234,81,91,-987.0
1237,41,62,
1279,3,68,-987.0
1283,73,97,-987.0
1318,62,73,
1320,91,55,-987.0
1334,50,4,-987.0
1337,23,48,-987.0
1359,5,0,-987.0
1386,61,54,
1435,60,61,
1470,10,55,-987.0
1484,90,78,-987.0
1521,32,73,-987.0
1538,9,14,-987.0
1550,19,37,-987.0
1603,74,59,-987.0
1606,19,92,-987.0
1611,87,7,-987.0
1643,93,68,-987.0
1772,73,54,-987.0
1780,68,77,
1783,95,19,-987.0
1785,19,71,-987.0
1902,5,57,-987.0
1910,56,76,
1946,18,25,-987.0
1948,58,30,-987.0
1951,29,73,-987.0
1972,91,6,-987.0
2007,91,4,-987.0
2030,86,77,-987.0
2096,69,53,
2098,12,32,-987.0
2154,64,97,-987.0
2158,95,15,-987.0
2210,32,93,-987.0
2240,63,52,
2408,16,98,-987.0
2423,85,40,-987.0
2452,92,47,-987.0
2477,87,50,-987.0
2516,99,43,-987.0
2523,65,59,
2529,58,44,
2538,39,44,-987.0
2547,43,62,
2564,64,82,
2573,93,90,-987.0
2653,28,79,-987.0
2690,56,79,
2714,87,36,-987.0
2721,43,92,-987.0
2743,57,28,-987.0
2763,25,23,-987.0
2772,13,6,-987.0
2808,32,60,
2831,45,2,-987.0
2868,23,32,-987.0
2882,18,61,-987.0
2928,60,16,-987.0
2953,22,96,-987.0
2955,31,62,
2963,34,35,
2977,1,58,-987.0
3005,63,30,-987.0
3021,49,94,-987.0
3034,89,76,-987.0
3047,19,50,-987.0
3052,56,47,
3082,36,29,
3086,40,40,
3126,44,66,
3134,26,79,-987.0
3214,59,29,-987.0
3232,83,36,-987.0
3249,91,83,-987.0
3333,24,82,-987.0
3348,17,32,-987.0
3398,55,68,
3422,3,91,-987.0
3482,91,90,-987.0
3501,19,29,-987.0
3541,21,7,-987.0
3548,93,95,-987.0
3559,88,68,-987.0
3607,21,55,-987.0
3633,92,15,-987.0
3654,82,58,-987.0
3675,37,64,
3683,74,51,-987.0
3753,48,80,
3792,17,52,-987.0
3812,15,9,-987.0
3830,52,48,
3844,71,76,
3951,14,2,-987.0
3967,77,13,-987.0
4120,67,68,
4170,20,27,-987.0
4205,21,21,-987.0
4233,46,87,
4267,66,28,-987.0
4295,81,69,-987.0
4296,83,54,-987.0
4308,63,97,-987.0
4399,63,65,
4414,4,28,-987.0
4431,19,67,-987.0
4460,38,43,-987.0
4479,30,79,-987.0
4505,52,10,-987.0
4605,43,15,-987.0
4620,93,85,-987.0
4623,46,35,
4640,33,5,-987.0
4733,16,79,-987.0
4747,68,98,-987.0
4760,2,0,1283.0
4821,91,51,-987.0
4852,1,98,-987.0
4855,88,9,-987.0
4857,9,4,-306.0
4884,75,13,-987.0
4903,31,10,-987.0
4963,20,70,-987.0
5020,87,72,-987.0
5058,37,63,
5081,31,61,
5096,86,98,-987.0
5138,52,67,
5142,18,89,-987.0
5178,22,4,-987.0
5184,56,51,
5299,35,64,
5308,56,53,
5352,38,55,
5396,14,20,-987.0
5435,3,33,-987.0
5464,9,28,-987.0
5565,63,90,-987.0
5595,44,81,
5603,47,98,-987.0
5676,49,89,
5685,95,84,-987.0
5712,56,57,
5784,3,49,-987.0
6014,80,29,-987.0
6017,92,95,-987.0
6026,66,16,-987.0
6040,13,26,-987.0
6061,31,60,
6069,4,95,-987.0
6083,76,21,-987.0
6103,72,73,
6104,42,15,-987.0
6121,59,88,
6144,40,48,
6151,48,96,-987.0
6177,97,43,-987.0
6266,14,22,-987.0
6278,39,74,
6384,96,47,-987.0
6402,58,46,
6407,90,24,-987.0
6440,84,16,-987.0
6459,13,44,
6495,4,83,-987.0
6532,39,73,
6562,67,99,-987.0
6574,7,3,-306.0
6617,76,45,-987.0
6618,73,82,
6623,66,69,
6703,25,47,-987.0
6710,85,30,-987.0
6726,58,50,
6760,26,83,-987.0
6766,75,76,
6769,93,22,-987.0
6848,46,21,-987.0
6866,21,74,-987.0
6869,69,59,
6988,74,49,-987.0
7016,13,7,-987.0
7031,36,96,-987.0
7055,34,0,-987.0
7073,74,70,-987.0
7091,33,0,-987.0
7096,3,29,-987.0
7107,63,87,-987.0
7129,83,43,-987.0
7154,88,53,-987.0
7165,11,65,-987.0
7203,75,3,-987.0
7208,68,6,-987.0
7273,78,8,-987.0
7277,22,62,-987.0
7294,20,73,-987.0
7360,4,34,-987.0
7384,17,91,-987.0
7400,26,1,-987.0
7448,41,71,
7534,74,65,-987.0
7549,66,77,
7574,11,85,-987.0
7585,34,39,-987.0
7592,44,2,-987.0
7600,8,22,-987.0
7619,89,32,-987.0
7620,55,65,
7659,75,16,-987.0
7687,27,3,-987.0
7692,25,91,-987.0
7705,25,25,-987.0
7752,89,27,-987.0
7765,74,82,
7771,41,59,
7777,78,19,-987.0
7846,75,81,
7864,78,53,-987.0
7884,47,28,
7908,6,14,-987.0
7926,96,73,-987.0
7930,67,67,
7935,51,37,
7963,93,72,-987.0
7966,59,21,-987.0
8011,26,61,
8106,2,20,-987.0
8132,52,95,-987.0
8143,32,91,-987.0
8156,45,29,
8160,89,22,-987.0
8167,7,18,-987.0
8169,1,86,-987.0
8197,55,2,-987.0
8210,63,19,-987.0
8356,73,76,
8379,30,4,-987.0
8380,43,36,
8386,81,97,-987.0
8389,97,49,-987.0
8410,59,25,-987.0
8433,50,59,
8518,76,27,-987.0
8558,22,80,148.0
8596,63,68,
8602,12,19,-987.0
8788,70,27,-987.0
8846,69,35,
8901,41,93,-987.0
8920,63,24,-987.0
8931,28,55,
8944,9,30,-987.0
8949,56,17,-987.0
8958,85,98,-987.0
8983,42,43,
9004,88,94,-987.0
9027,27,54,
9047,63,4,-987.0
9090,62,55,
9112,12,15,-987.0
9184,82,56,-987.0
9213,64,66,
9242,64,84,
9249,92,69,-987.0
9271,79,20,-987.0
9297,84,0,-987.0
9399,34,6,-987.0
9402,51,11,-987.0
9403,57,85,
9431,50,71,
9448,63,43,
9498,99,1,-987.0
9513,41,73,
9521,3,82,-987.0
9532,11,0,-306.0
9576,76,22,-987.0
9595,43,12,-987.0
9602,83,3,-987.0
9605,21,66,-987.0
9607,97,48,-987.0
9627,36,1,-987.0
9708,97,31,-987.0
9711,91,92,-987.0
9792,33,89,-987.0
9793,58,67,
9803,80,84,-987.0
9848,95,43,-987.0
9865,34,25,
9876,95,45,-987.0
9892,56,40,
9935,31,35,
9980,40,43,
9989,88,28,-987.0
10011,20,55,-987.0
10023,40,51,
10033,60,87,-987.0
10070,76,96,-987.0
10137,49,80,
10138,61,40,
10158,13,32,-987.0
10169,23,85,-987.0
10176,40,36,
10179,90,23,-987.0
10254,51,66,
10265,85,85,-987.0
10285,44,83,
10290,74,47,-987.0
10325,1,65,-987.0
10329,88,58,-987.0
10395,35,48,
10431,58,82,
10435,20,50,-987.0
10468,90,41,-987.0
10484,62,26,-987.0
10507,8,58,-987.0
10515,81,32,-987.0
10550,87,67,-987.0
10606,95,95,-987.0
10616,32,1,-987.0
10642,6,84,-987.0
10665,2,84,-987.0
10670,10,85,-987.0
10701,65,28,-987.0
10735,28,82,-987.0
10743,4,40,-987.0
