,x,y,value
0,48,20,-1.0
11,45,43,
81,4,49,-1.0
114,19,35,-1.0
149,13,78,-1.0
150,1,7,-0.5
151,79,11,-1.0
183,13,49,-1.0
184,81,12,-1.0
194,12,25,-1.0
217,14,82,-1.0
304,0,44,-1.0
394,89,17,-1.0
401,12,99,-1.0
412,80,70,-1.0
431,21,64,-1.0
439,1,93,-1.0
441,72,64,-1.0
460,53,85,
464,99,55,-1.0
512,67,51,
546,99,4,-1.0
578,7,28,-1.0
674,12,90,-1.0
683,66,99,-1.0
749,12,12,-1.0
755,10,77,-1.0
852,72,9,-1.0
863,9,20,-1.0
934,86,65,-1.0
1040,34,64,
1120,89,24,-1.0
1231,92,21,-1.0
1258,68,34,
1272,37,91,-1.0
1281,90,97,-1.0
1286,83,7,-1.0
1312,51,46,
1315,65,13,-1.0
1326,46,50,
1345,11,51,-1.0
1352,34,45,-1.0
1378,34,34,
1400,91,45,-1.0
1415,96,16,-1.0
1437,24,98,-1.0
1438,14,2,-1.0
1442,58,59,
1468,88,28,-1.0
1471,43,32,
1500,84,30,-1.0
1513,85,4,-1.0
1520,62,87,-1.0
1534,66,73,
1568,2,32,-1.0
1582,84,3,-1.0
1610,77,80,
1633,31,10,-1.0
1635,35,7,-1.0
1701,38,36,
1750,55,99,-1.0
1806,58,60,
1826,59,1,-1.0
1907,52,56,
1952,55,13,-1.0
1964,42,36,
1982,13,88,-1.0
2002,30,9,-1.0
2120,64,67,
2133,29,36,-1.0
2144,51,96,-1.0
2148,40,99,-1.0
2178,82,8,-1.0
2186,45,11,-1.0
2189,10,9,-1.0
2233,54,16,-1.0
2234,88,51,-1.0
2258,86,29,-1.0
2261,65,10,-1.0
2263,41,18,-1.0
2270,38,34,
2283,99,33,-1.0
2292,21,7,-1.0
2296,40,14,-1.0
2312,67,45,
2397,5,99,-1.0
2425,7,9,-1.0
2493,62,72,
2544,13,13,-1.0
2571,17,82,-1.0
2588,52,51,
2655,11,4,-1.0
2665,55,17,-1.0
2666,31,72,
2679,45,58,
2694,50,48,
2937,44,15,-1.0
2947,96,48,-1.0
2955,94,23,-1.0
2958,78,15,-1.0
2968,50,35,
3046,65,15,-1.0
3050,95,64,-1.0
3074,44,70,
3155,4,91,-1.0
3162,73,39,-0.30000000000000004
3193,50,82,
3204,33,9,-1.0
3230,16,2,-1.0
3265,58,24,-1.0
3312,53,3,-1.0
3371,16,88,-1.0
3480,49,10,-1.0
3505,88,93,0.0
3512,37,62,
3530,67,40,
3551,82,95,-1.0
3589,68,40,
3610,52,53,
3650,78,79,
3707,64,4,-1.0
3768,72,56,-1.0
3848,65,45,
