,x,y,value
12,0,0,0
42,0,1,0
72,0,2,0
102,0,3,0
132,0,4,0
162,0,5,0
192,0,6,0
222,0,7,0
252,0,8,0
282,0,9,0
312,0,10,0
342,0,11,0
372,0,12,0
402,0,13,0
432,0,14,0
462,0,15,0
492,0,16,0
522,0,17,0
552,0,18,0
582,0,19,0
612,0,20,0
642,0,21,0
672,0,22,0
702,0,23,0
732,0,24,0
762,0,25,0
792,0,26,0
822,0,27,0
852,0,28,0
882,0,29,0
912,0,30,0
942,0,31,0
972,0,32,0
1002,0,33,0
1032,0,34,0
1062,0,35,0
1092,0,36,0
1122,0,37,0
1152,0,38,0
1182,0,39,0
1212,0,40,0
1242,0,41,0
1272,0,42,0
1302,0,43,0
1332,0,44,0
1362,0,45,0
1392,0,46,0
1422,0,47,0
1452,0,48,0
1482,0,49,0
1512,0,50,0
1542,0,51,0
1572,0,52,0
1602,0,53,0
1632,0,54,0
1662,0,55,0
1692,0,56,0
1722,0,57,0
1752,0,58,0
1782,0,59,0
1812,0,60,0
1842,0,61,0
1872,0,62,0
1902,0,63,0
1932,0,64,0
1962,0,65,0
1992,0,66,0
2022,0,67,0
2052,0,68,0
2082,0,69,0
2112,0,70,0
2142,0,71,0
2172,0,72,0
2202,0,73,0
2232,0,74,0
2262,0,75,0
2292,0,76,0
2322,0,77,0
2352,0,78,0
2382,0,79,0
2412,0,80,0
2442,0,81,0
2472,0,82,0
2502,0,83,0
2532,0,84,0
2562,0,85,0
2592,0,86,0
2622,0,87,0
2652,0,88,0
2682,0,89,0
2712,0,90,0
2742,0,91,0
2772,0,92,0
2802,0,93,0
2832,0,94,0
2862,0,95,0
2892,0,96,0
2922,0,97,0
2952,0,98,0
2982,0,99,0
3012,1,0,0
3042,1,1,0
3072,1,2,0
3102,1,3,0
3132,1,4,0
3162,1,5,0
3192,1,6,0
3222,1,7,0
3252,1,8,0
3282,1,9,0
3312,1,10,0
3342,1,11,0
3372,1,12,0
3402,1,13,0
3432,1,14,0
3462,1,15,0
3492,1,16,0
3522,1,17,0
3552,1,18,0
3582,1,19,0
3612,1,20,0
3642,1,21,0
3672,1,22,0
3702,1,23,0
3732,1,24,0
3762,1,25,0
3792,1,26,0
3822,1,27,0
3852,1,28,0
3882,1,29,0
3912,1,30,0
3942,1,31,0
3972,1,32,0
4002,1,33,0
4032,1,34,0
4062,1,35,0
4092,1,36,0
4122,1,37,0
4152,1,38,0
4182,1,39,0
4212,1,40,0
4242,1,41,0
4272,1,42,0
4302,1,43,0
4332,1,44,0
4362,1,45,0
4392,1,46,0
4422,1,47,0
4452,1,48,0
4482,1,49,0
4512,1,50,0
4542,1,51,0
4572,1,52,0
4602,1,53,0
4632,1,54,0
4662,1,55,0
4692,1,56,0
4722,1,57,0
4752,1,58,0
4782,1,59,0
4812,1,60,0
4842,1,61,0
4872,1,62,0
4902,1,63,0
4932,1,64,0
4962,1,65,0
4992,1,66,0
5022,1,67,0
