,x,y,value
6,9,7,-4.677644339373451
80,13,39,
146,94,1,-1.925617125111577
155,7,94,-3.4775775103221456
164,30,76,-2.9032685627118315
182,83,63,-2.5190960260075768
190,24,29,-7.913375070523057
219,69,48,
237,78,50,-6.9506181097257445
238,98,82,-5.258985284393775
284,38,40,
323,26,65,
365,92,35,-1.8036211816597119
387,66,10,-5.118286738496319
433,76,26,-4.994884107605223
468,48,25,-4.736325561615465
471,53,5,-1.7038055209582827
519,65,70,
522,23,93,-0.5148689580037011
529,21,82,-3.934040640924473
544,67,25,-5.677325969871327
559,73,63,-5.379326776773093
564,30,61,
572,57,85,
615,49,84,
637,35,72,
693,82,14,-5.78171328741039
719,29,91,-2.3048242740326694
735,82,3,-0.44654398605627943
757,98,21,-2.3751752025545496
842,1,15,-1.3985589183608775
857,98,74,0.6105505069136008
876,43,63,
892,45,37,
905,5,41,-4.088503050302895
925,78,78,
981,65,56,
983,77,51,-4.098437388006326
1021,75,90,-0.9956617903743714
1024,37,11,-7.666823901737046
1054,19,83,-5.525923459412483
1079,67,95,-1.021299749290895
1093,6,41,
1108,92,94,0.3636128476375724
1162,67,12,-5.522383373396723
1165,78,62,-6.042397956437993
1208,70,32,-4.3267080362729855
1230,78,17,-1.1120960935097832
1257,6,46,-6.593153320942031
1328,3,35,-4.2845440034404465
1330,97,81,-3.8807321157697316
1379,40,86,
1399,84,85,-4.070466480245356
1518,50,26,-6.439971639053255
1522,28,57,
1532,59,20,-3.5405600234700954
1541,20,18,0.8180256908790327
1572,12,53,-0.43226502811128054
1621,16,8,-3.8786284550318255
1628,52,72,
1647,49,44,
1694,89,59,-4.1769915878623
1712,78,98,-3.8807958626460364
1748,4,79,-0.5173504459915605
1775,30,40,-2.078533272687986
1784,58,88,
1867,3,18,-2.5968541761599884
1914,9,46,-7.026574403871186
1950,13,53,-4.531469858819547
1983,35,65,
2011,85,28,-7.924219912245337
2033,9,18,-3.5411043077825664
2076,23,89,-6.0781402899840336
2083,10,88,-3.8218147895778234
2090,39,53,
2111,65,54,
2116,97,67,-3.782564732152623
2137,25,33,-1.3628028917461483
2152,17,75,-2.3219388974116884
2316,43,65,
2321,77,53,-2.8088348406467105
2383,89,62,-1.8468355445377354
2391,48,92,-3.836174729420309
2420,25,51,-5.17129955613075
2475,26,61,
2523,12,57,-2.991050420483897
2525,90,66,-4.213397960185352
2529,16,52,-2.2552405593281026
2546,20,88,-3.138489219108025
2605,29,59,
2612,66,39,
2621,94,24,-3.0844798399083775
2623,13,36,
2637,18,29,-4.614436856771301
2643,3,5,-2.2521878498692356
2710,90,48,-6.341343199988691
2721,66,26,-3.7008599824256088
2739,41,72,
2783,43,53,
2786,69,12,-7.180086056849758
2816,14,86,-7.14539132122268
2843,49,70,
2932,51,65,
2939,40,96,0.23786129014748525
2958,96,61,-3.144148491402648
3005,88,97,-2.7815726490870043
3009,54,97,-3.9819165859026295
3049,68,53,
3143,91,44,-2.388252406053641
3232,41,6,-2.5985823666198
3240,6,68,-6.146639096949547
3282,10,94,-2.6438838562990554
3343,26,29,-5.644532793308207
3384,39,69,
3391,4,63,-3.3305848037284624
3392,78,26,-7.372148320701873
3409,15,41,-4.017222544307551
3420,27,5,-3.5165222850932203
3499,53,25,-6.074856745972869
3504,39,64,
3512,83,39,0.6042522311819152
3528,21,57,-1.3950022972165517
3619,20,4,-5.2069606222047
3643,91,77,0.5709799702933367
3693,23,47,-5.100098678055339
3707,25,49,-5.817691611255961
3708,62,40,
3710,42,24,
3762,10,46,-3.4101987235427877
3797,60,64,
3801,40,53,
3921,99,42,-5.430617293846321
3924,11,55,0.6405538584525594
3939,49,73,
3956,21,75,-3.2348479925453066
4030,98,99,-1.9766807580889498
4073,39,98,-0.6134078045240043
4075,22,24,-3.3529568087537625
4205,78,11,-6.208281812859894
4239,67,54,
4243,53,6,-5.884347540148988
4252,76,19,-3.2902357265852986
4258,97,42,-1.8383895272550488
4271,92,15,-4.5384326729760405
4274,10,32,-5.190116332669886
4294,58,41,
4315,36,13,-4.1139872454115
4321,89,51,-2.8460674384393556
4340,1,27,-3.3981695666895435
4362,4,14,-4.7763192461203285
4408,74,14,-5.095857643548795
4424,95,28,-3.938309810662293
4484,88,55,0.5492704219717162
4550,75,25,-3.398651164146811
4551,39,38,
4616,88,70,-2.6246869507004496
4619,8,94,-3.3198690215210824
4685,60,96,-3.8593447179408713
4703,7,41,
4725,47,91,-4.6080168256859215
4745,50,51,
4746,33,92,0.2616379965469324
4808,80,49,-6.786776598163043
4913,1,44,-4.59663715689242
4947,18,58,0.37446266852051124
4955,7,86,-7.664362347247206
4976,76,92,-3.9373765323327676
4998,39,17,-1.942360935159308
5072,93,94,0.6967439020281034
5078,16,97,-2.012512557655068
5180,94,98,-1.1011626321198573
5196,36,15,-3.6415695792975304
5222,95,42,-2.795401246325679
