,x,y,value
7,52,77,
13,54,49,
15,39,69,
17,79,41,-4.849380898016668
18,60,57,
21,62,85,-4.8559702529538145
27,11,77,-4.880773202054899
31,13,54,-4.879601345142511
73,8,74,-4.882578575424302
74,47,24,-4.862359608457105
141,33,29,
171,55,65,
175,87,49,-4.846477853005622
191,23,72,-4.874033657421089
196,2,46,-4.886361105602363
278,33,70,
281,46,40,
308,54,60,
339,73,74,
348,52,48,
362,63,72,
378,91,31,-4.845070004044097
379,79,27,-4.849381732366108
436,29,86,-4.87091226043045
449,78,78,
458,94,92,-4.844028629300496
492,24,74,-4.8735028218874445
497,95,78,-4.8436860474822705
601,16,69,-4.877877637459055
649,14,29,-4.8790259256864825
695,58,8,-4.857621326144342
721,83,73,-4.847913477609158
770,31,50,
787,23,41,-4.874037092445485
798,88,90,-4.8461214948342946
835,88,22,-4.846124537044442
888,82,57,-4.848277842205055
910,0,55,-4.887673091868669
930,16,43,-4.877880956766288
933,88,63,-4.846122498223016
989,21,62,-4.8751093855009735
1015,40,63,
1029,13,75,-4.879598679193394
1057,65,97,-4.85476072309058
1058,22,26,-4.87457436070085
1074,9,54,-4.881973806152709
1149,27,50,-4.871939022656395
1195,58,98,-4.857615033622458
1283,94,22,-4.844031540139775
1498,31,38,-4.869909182019964
1509,36,38,
1531,15,19,-4.878453778797077
1535,52,68,
1572,84,67,-4.84755187215551
1590,26,9,-4.872462767004209
1629,31,68,
1679,97,87,-4.8430044503820415
1776,57,22,-4.858037452132117
1782,72,75,
1799,68,39,
1897,40,79,
1929,98,46,-4.842667628480137
1933,84,34,-4.847553444750282
2000,34,99,-4.868421096475263
2054,14,4,-4.879031465267194
2076,30,53,
2100,46,15,-4.862808387119871
2171,38,57,
2261,7,76,-4.88319192197731
2273,3,71,-4.885710643111905
2283,20,13,-4.875660739545996
2293,11,18,-4.8807825519272505
2318,84,11,-4.8475549820920865
2328,7,32,-4.883198962442358
2364,15,25,-4.878452630732125
2432,2,96,-4.886353203238533
2459,29,28,-4.870918100993397
2468,69,57,
2488,86,54,-4.846834123564422
2489,56,1,-4.858460116891773
2547,12,92,-4.880181347175939
2556,84,74,-4.847551589768118
2586,15,40,
2595,82,76,-4.848277033858661
2649,12,2,-4.880196422714631
2691,27,21,-4.871942707146502
2699,58,55,
2715,35,27,
2750,72,48,-4.852020666404224
2759,91,56,-4.845068830624395
2847,57,21,-4.858037546313544
2882,62,48,
2886,50,51,
2900,0,77,-4.887669345174656
2902,62,69,
2915,83,77,-4.847913319219297
2917,84,38,-4.847553225921803
2921,19,94,-4.876199255502011
2925,8,35,-4.882584623762127
2940,1,69,-4.887010297468788
2944,68,11,-4.853577462686461
2945,77,33,-4.850125763303781
2954,71,93,-4.852403832128608
2970,25,77,-4.8729762531968595
3013,89,70,-4.845769205482077
3026,73,9,-4.851640216493381
3065,25,40,-4.872980147311533
3084,24,58,-4.873504428679721
3100,99,57,-4.842330431460758
3120,72,44,-4.852020893717595
3192,52,23,-4.860164317655266
3202,21,95,-4.875106145905311
3253,40,97,-4.865552329753788
3273,47,39,
3349,93,58,-4.844374493274228
3382,93,81,-4.844373646474317
3426,71,0,-4.852409871862937
3429,27,15,-4.87194367951767
3473,19,55,-4.8762033530138815
3483,31,81,-4.86990514336617
3493,88,94,-4.846121359611037
3506,36,49,
3510,33,78,-4.868913159820121
3515,71,66,-4.852405037418751
3550,74,77,
3562,40,50,
3589,83,35,-4.847915257891091
3597,92,33,-4.844721931837123
3614,34,27,
3671,71,26,-4.852407380746237
3701,26,93,-4.872452866437063
3720,43,62,
3743,59,43,
3773,73,63,-4.851636667539301
3778,53,98,-4.859728540619064
3823,51,4,-4.860600075486415
3848,62,70,
3915,41,73,
3927,3,89,-4.885708056665526
3957,4,2,-4.8850864914554935
3961,73,33,-4.851638334562919
4005,45,57,
4028,71,52,-4.852405757310046
4161,67,70,
4209,29,18,-4.870919537805206
4213,58,13,-4.857620746849214
4217,39,74,
4218,14,61,-4.879021190260665
4346,72,55,-4.852020288260463
4365,18,12,-4.87676388868224
4374,93,24,-4.844376108210305
4385,23,7,-4.874042641991572
4422,38,79,-4.866496119202595
4436,20,87,-4.875651046468095
