,x,y,value
25,55,85,
42,67,60,
81,81,81,9.8522648835259
91,92,41,11.387107283656121
95,0,83,9.899977801371865
129,58,6,14.316543638468977
131,84,14,13.177130844737887
214,20,37,12.049383161201154
249,72,25,12.523645473427946
257,77,16,13.099120259479548
382,92,66,10.286966522213767
390,39,20,
391,38,38,
443,18,89,9.89107868466085
507,60,49,
518,26,17,13.33974865467151
646,66,16,13.237176958896356
670,28,86,10.055997520078243
672,5,89,9.755175995570344
693,23,59,11.048376649652687
729,90,79,9.819031546364986
740,67,8,13.974102658384542
744,50,97,9.653941932779386
745,3,11,13.641417129743054
767,99,86,9.490919704838506
781,30,82,10.202417243057806
814,29,8,14.17996005553319
887,83,22,12.58268305899303
925,88,82,9.733869707899999
996,60,29,12.419397017840305
997,39,8,14.189302888298066
1021,83,80,9.86329087005754
1050,81,52,10.995865790108533
1054,97,48,11.005866830226676
1076,96,76,9.870204221332052
1119,48,86,
1141,26,7,14.284187216168188
1144,75,52,11.071884497096027
1154,44,88,
1166,25,49,11.495477774548291
1173,40,3,14.888326369613633
1190,93,74,9.971394132659992
1225,68,0,15.770054089143283
1273,73,55,10.966310428796412
1307,58,53,
1372,26,97,9.679407262300542
1377,5,29,12.34349095021986
1401,2,10,13.727660881157032
1417,98,89,9.395989441340497
1455,81,90,9.541043780187186
1492,81,94,9.407737445300649
1521,47,57,
1578,91,7,13.799243586238823
1591,14,3,14.77832469322335
1645,7,24,12.678065412600617
1712,82,11,13.47314623996154
1725,27,50,11.459850747053494
1854,92,47,11.097815053061765
1858,54,30,12.41785592907804
1907,77,63,10.582124570440941
1949,20,62,10.904281299691197
1983,41,74,
2106,71,29,12.290070071706435
2108,67,91,9.683937486775708
2127,41,3,14.885957449164646
2151,87,76,9.960928091043897
2163,16,49,11.429573357851654
2165,89,90,9.447060527028922
2171,27,74,10.480953150178724
2186,96,2,14.53921733852992
2190,30,78,10.345375085670845
2198,83,71,10.194514409840917
2214,83,65,10.427142193934591
2216,38,34,
2225,90,64,10.386833765206905
2329,0,63,10.64996450820589
2396,99,82,9.630431260098966
2414,45,36,
2465,66,26,12.534599115348819
2491,87,0,15.534015342211987
2556,78,1,15.004224771363845
2619,71,0,15.732681809305248
2649,59,91,9.774067519393903
2665,17,58,11.04485692800256
2702,65,88,9.809186975106012
2711,71,14,13.340726484053949
2722,76,5,14.239526293270782
2784,92,8,13.67232875397988
2798,30,6,14.425413908873393
2818,52,15,13.459611946111394
2825,92,79,9.79845919647281
2847,69,73,
2904,47,26,12.708996119716215
2984,20,35,12.15593959958553
3011,10,20,12.984988371607434
3079,26,1,15.336278096122957
3109,5,40,
3112,71,84,
3159,21,43,11.753295653906907
3180,39,41,
3186,61,58,
3204,97,93,9.269943812662452
3205,44,19,13.196583358420003
3280,85,84,9.698122578371835
3307,12,31,12.306001536954556
3335,78,3,14.536241563251725
3350,21,24,12.813510291259151
3361,15,72,10.470775493175909
3390,20,26,12.67826739731668
3426,78,56,10.859591071686946
3525,18,4,14.643451475257777
3537,10,85,9.950079539937368
3542,97,3,14.327647307040142
3646,22,22,12.953778319712988
3670,94,53,10.807176799023045
3760,8,86,9.89304187288227
3775,69,95,9.526812793917038
3791,47,78,
3793,76,93,9.504029358450323
3809,12,46,11.529557730634487
3838,25,5,14.540949711833134
3842,42,18,13.278125782748264
3860,91,88,9.493662046929833
3933,88,95,9.291867738486197
3970,2,67,10.516524739978392
3975,39,70,
4079,92,19,12.69393339633628
4106,83,42,11.438169591267567
4183,39,43,
4184,64,28,12.435051053748408
4236,35,42,11.856831119001374
4318,54,20,13.060386556691498
4319,12,96,9.601735626359497
4332,23,0,15.958756082197919
4421,85,37,11.668622729804634
4459,93,17,12.834856007108726
4484,60,16,13.30490095213632
4517,26,56,
4538,43,52,
4572,20,78,10.292011887119212
4603,2,83,9.925141902238268
4614,99,27,12.097549782946345
4630,70,0,15.745249689759568
4665,93,99,9.109937050351897
4705,55,97,9.614491679161565
4729,76,88,
4773,9,20,12.973875622978552
4781,97,79,9.752889640530451
4790,27,99,9.619496067870632
4806,66,99,9.43355941316518
4857,26,29,12.532943309349845
4858,74,38,11.753789233582687
4864,27,29,12.537609679305795
4912,50,67,
4922,49,76,
4965,87,37,11.645445459246126
4979,62,77,
4993,39,68,
5018,13,2,14.971546959809405
5019,93,93,9.30569874607036
5064,17,60,10.961627168975223
5081,31,72,
5120,41,60,
5152,50,49,
5215,10,57,11.01748667157879
5230,18,98,9.59348643911762
5304,19,72,10.505734234081634
5354,99,74,9.92006199303393
5379,42,39,
5394,47,79,
5497,15,43,11.703200991954485
5503,60,35,12.07999531085763
5545,18,24,12.790200709218663
5559,25,55,11.229411674779506
5568,52,33,
5572,95,75,9.915753945844298
5615,10,74,10.344653541871661
5617,90,92,9.369320266018251
5653,5,32,12.169806151937781
5658,46,10,13.95239789737122
5691,49,48,
5740,2,87,9.78645366115958
5759,72,44,11.479546661533794
5798,10,63,10.769818316256139
5879,37,81,10.246163855402427
5883,10,60,10.892103840273158
5902,38,69,
5919,63,10,13.807646014177205
5945,80,87,9.655467769306526
5947,70,13,13.440303864335238
5987,37,79,10.317638587386208
6021,44,25,
6046,60,82,
6081,31,76,10.420939449580034
6100,94,39,11.46889997238959
6124,44,70,
6214,57,18,13.179965291767308
6223,39,87,10.034672715984392
6225,45,79,
6266,45,15,13.502877775011118
6302,65,90,9.741422684425462
6439,37,70,
6536,65,95,9.575235376120824
6570,33,15,
6571,59,22,12.873906273898452
6584,46,8,14.165820849687446
6598,30,37,12.102746359752787
6603,51,10,13.921444198694445
6667,51,70,
6679,94,25,12.264798496589819
6734,70,90,9.680536028989561
6765,46,86,
6826,4,44,11.533472099593855
6884,59,59,
6886,18,26,12.66231973005884
6887,91,32,11.8743148811384
6909,90,7,13.809681541032031
6937,56,99,9.540865189324368
6944,54,16,13.36221219037881
6960,69,75,
6980,67,38,
6985,25,23,12.904551877431064
6992,74,28,12.311821359467
7031,70,85,
7034,93,36,11.635000694431676
7042,22,35,12.170239560176228
7076,93,66,10.277151899679316
7108,7,97,9.513722295643015
7126,68,50,
7127,50,90,9.885376056657494
7150,33,62,
7162,27,86,10.051810861983302
7195,27,0,15.980221416904607
7223,41,59,
7245,59,28,12.489645297382243
7247,55,27,12.588858986996215
7322,75,62,10.648104403468869
7391,44,15,13.507217999841856
7441,75,31,12.122432723158719
7474,40,79,
7475,14,57,11.059149715142421
7498,17,61,10.920532539298593
7527,86,6,13.979593765690822
7538,26,68,10.703942262394364
7543,56,12,13.687070220482697
7585,63,1,15.189940283608177
7603,87,59,10.623635909666756
7633,7,28,12.427134418730194
7642,2,82,9.960333101752855
7745,72,28,12.337294565995506
7756,31,40,11.950884260234785
7799,94,46,11.125396019612277
7818,34,11,13.878892182481906
7839,57,24,12.76038302598746
7887,61,42,
7918,58,57,
7947,39,27,
7973,44,6,14.417224650158792
7975,41,33,
7992,46,0,15.97396911762789
8016,47,2,15.064607632596328
8017,33,30,
8020,40,29,
8024,56,22,12.903115853313613
8063,34,32,
8085,19,36,12.094517332948772
8086,89,98,9.183255250007374
8168,78,44,11.403018156166896
8182,46,3,14.866708958690069
8187,58,42,
8193,6,32,12.181784010835688
8236,3,58,10.89307070345733
8244,46,27,
8290,51,11,13.82277363593979
8341,76,12,13.454472693890192
8366,79,48,11.201793713666287
8385,96,32,11.826994936619252
8403,84,96,9.305476834608159
8422,66,42,
8488,71,88,
8500,59,9,13.954550106466082
8546,10,3,14.736661649659721
8578,84,93,9.404122516673674
8619,31,88,9.997077330658666
8680,13,27,12.55384061696616
8727,33,27,
8760,83,6,14.015255410192502
8811,65,13,13.501190519771141
8858,46,42,
8912,93,53,10.816655947690602
8964,73,62,10.673643439869274
8974,6,4,14.51952664506518
8979,64,67,
9003,78,81,
9028,65,21,12.876601327996141
9070,52,29,12.492909192674777
9133,37,97,9.703508628185608
9142,95,41,11.358685002269207
9150,14,10,13.864013631904506
9156,4,84,9.914885631217844
9175,24,14,13.572858462482312
9180,79,81,
9214,56,23,12.835725985461217
9225,10,47,11.461259839738984
9260,36,59,
9268,6,68,10.526467762162286
9357,58,29,12.439834234715423
9384,51,37,
9428,52,24,12.803716262583073
9434,81,31,12.046414016171225
9482,11,92,9.723043789868758
9496,8,3,14.714192268865753
9502,5,65,10.632087137715505
9511,72,35,11.938016782974955
9529,64,50,
9547,52,56,
9564,10,65,10.689906258494377
9572,44,12,13.768606666128402
9577,94,97,9.1650354660702
9584,59,53,
9593,60,68,
9634,47,69,
9657,81,50,11.085386771106082
9702,22,84,10.093182970359056
9709,77,38,11.715460275337094
9719,11,79,10.172755070215493
9722,82,1,14.954111072147164
9739,3,96,9.498049577373349
9803,0,37,11.835498117581434
9814,12,86,9.936934406819221
9815,35,99,9.639093922737588
9849,17,80,10.195578263319389
9880,28,64,
9892,85,9,13.639361760293397
9899,53,48,
9941,30,2,15.087242108748427
9943,24,2,15.060739653763392
9977,74,1,15.055280070202238
10000,40,66,
