,x,y,value
18,69,87,
73,26,96,-987.0
83,54,23,-987.0
101,75,67,-987.0
134,93,64,-987.0
160,43,53,
174,78,23,-987.0
203,49,18,-987.0
214,12,8,-987.0
281,80,43,-987.0
295,20,43,-987.0
322,94,90,-987.0
411,1,70,-987.0
430,9,93,-987.0
441,2,91,-987.0
484,27,50,-987.0
511,14,80,-987.0
560,30,43,-987.0
602,25,57,-987.0
633,29,1,-987.0
642,70,63,-987.0
664,89,49,-987.0
739,48,13,-987.0
749,45,64,
757,89,83,-987.0
777,69,77,
798,69,41,
833,80,32,-987.0
835,2,7,-987.0
846,37,48,
864,73,50,-987.0
894,68,20,-987.0
955,10,33,-987.0
978,70,56,-987.0
988,40,3,-987.0
1019,36,18,
1056,13,73,-987.0
1171,83,63,-987.0
1181,52,47,
1191,90,62,-987.0
1196,1,78,-987.0
1233,45,40,
1248,92,34,-987.0
1280,67,39,
1281,11,52,-987.0
1311,90,18,-987.0
1323,28,40,-987.0
1326,27,26,-987.0
1387,71,47,-987.0
1419,41,89,
1434,95,13,-987.0
1443,68,8,-987.0
1452,25,51,-987.0
1478,61,17,-987.0
1517,46,85,
1679,90,93,-987.0
1703,27,13,-987.0
1709,47,41,
1710,46,30,
1711,57,47,
1722,59,75,
1766,41,76,
1784,62,40,
1829,22,71,-987.0
1835,49,2,-987.0
1864,36,77,-987.0
1875,50,18,-987.0
1939,99,98,-987.0
2037,35,43,-987.0
2084,11,71,-987.0
2109,46,81,
2124,16,14,-987.0
2151,25,15,-987.0
2166,65,50,
2174,39,91,-987.0
2179,18,73,-987.0
2183,79,83,
2190,88,16,-987.0
2202,91,15,-987.0
2218,63,36,
2226,39,80,-987.0
2244,38,74,
2285,18,37,-987.0
2288,68,18,-987.0
2344,71,44,-987.0
2389,26,13,-987.0
2391,92,19,-987.0
2398,19,98,-987.0
2425,22,27,-987.0
2453,32,70,
2478,43,18,-987.0
2508,87,51,-987.0
2512,61,8,-987.0
2530,1,93,-987.0
2613,33,15,
2615,0,54,-987.0
2647,86,49,-987.0
2663,79,56,-987.0
2668,26,76,-987.0
2755,71,91,-987.0
2756,32,86,-987.0
2792,76,15,-987.0
2817,44,15,-987.0
2839,39,31,
2849,82,84,-987.0
2855,5,0,-987.0
2862,39,59,
2871,28,24,-987.0
2873,10,59,-987.0
2878,90,75,-987.0
2929,71,13,-987.0
2961,93,43,-987.0
2966,36,32,
2967,16,95,-987.0
2993,31,87,-987.0
3026,91,67,-987.0
3053,16,22,-987.0
3094,88,15,-987.0
3099,58,54,
3130,21,97,-987.0
3137,98,8,-987.0
3147,98,96,-987.0
3215,40,14,-987.0
3240,50,64,
3266,29,66,
3271,83,55,-987.0
3276,91,63,-987.0
3278,46,12,-987.0
3310,42,41,
