,x,y,value
24,96,45,-1.0
30,52,90,-1.0
40,20,4,-1.0
44,13,86,-1.0
105,74,30,-1.0
116,19,59,-1.0
223,16,76,-1.0
227,62,51,
245,97,96,-1.0
254,43,40,
264,56,65,
345,99,62,-1.0
359,76,53,-1.0
377,58,59,
493,33,21,
496,24,50,-1.0
516,42,25,
549,88,8,-1.0
579,94,69,-1.0
589,40,65,
611,85,36,-1.0
628,89,65,-1.0
648,99,37,-1.0
651,62,64,
680,31,36,-1.0
705,3,75,-1.0
711,6,85,-1.0
721,77,44,-0.30000000000000004
726,43,70,
802,95,53,-1.0
811,99,55,-1.0
818,94,85,-1.0
898,71,40,-0.30000000000000004
948,93,24,-1.0
968,4,0,-1.0
1000,50,78,
1018,67,84,
1115,35,4,-1.0
1125,95,19,-1.0
1140,97,79,-1.0
1170,33,7,-1.0
1237,47,14,-1.0
1390,63,30,-1.0
1391,38,73,
1416,53,55,
1445,32,32,
1450,50,1,-1.0
1485,66,44,
1505,87,46,-1.0
1553,49,65,
1560,17,60,-1.0
1579,4,10,-1.0
1596,63,33,-1.0
1655,13,57,-1.0
1700,45,77,
1710,48,72,
1737,1,21,-1.0
1744,46,64,
1759,42,33,
1766,61,37,
1797,2,63,-1.0
1828,31,24,
1846,22,24,-1.0
1929,24,5,-1.0
1938,44,48,
2015,69,60,
2029,76,54,-1.0
2136,42,55,
2139,33,2,-1.0
2158,63,69,
2167,4,69,-1.0
2184,6,33,-1.0
2246,52,64,
2285,87,26,-1.0
2286,29,26,-1.0
2313,29,76,-1.0
2341,26,23,-1.0
2376,16,35,-1.0
2414,88,16,-1.0
2480,83,24,-1.0
2556,37,30,
2631,5,28,-1.0
2641,65,74,
2646,16,79,-1.0
2653,85,18,-1.0
2703,41,73,
2735,46,66,
2753,46,22,-1.0
2772,83,51,-1.0
2784,47,4,-1.0
2827,8,14,-1.0
2828,96,28,-1.0
2871,73,34,-1.0
2890,95,22,-1.0
2903,91,4,-1.0
2941,31,82,-1.0
2944,62,59,
2990,67,79,
3071,64,51,
3075,28,79,-1.0
3082,54,16,-1.0
3175,92,4,-1.0
3195,62,73,
3209,20,9,-1.0
3210,10,48,0.0
3223,83,69,-1.0
3238,6,54,-1.0
3257,10,76,-1.0
3267,52,53,
3268,82,49,-1.0
3330,30,75,-1.0
3332,29,56,
3381,75,79,
3433,58,32,-1.0
3475,65,43,
3540,67,98,-1.0
3552,64,12,-1.0
3572,55,93,-1.0
3600,89,14,-1.0
3621,22,27,-1.0
3643,16,78,-1.0
3659,1,5,-0.5
3674,59,57,
3708,11,48,-1.0
3745,43,90,-1.0
3850,78,28,-1.0
3857,7,92,-1.0
3944,46,16,-1.0
3963,40,48,
3984,29,51,
4035,33,44,-1.0
4102,91,94,0.0
4178,89,52,-1.0
4189,53,86,
4243,91,77,-1.0
4261,30,28,
4266,13,40,
4295,55,59,
4310,46,25,-1.0
4331,36,92,-1.0
4381,3,20,-1.0
4393,16,27,-1.0
4398,15,98,-1.0
4481,91,72,-1.0
4485,68,44,
4486,93,17,-1.0
4488,18,16,-1.0
4503,76,70,-1.0
4505,81,84,-1.0
4616,46,35,
4660,69,24,-1.0
4690,95,10,-1.0
4728,37,99,-1.0
4749,59,42,
4921,56,3,-1.0
4931,21,26,-1.0
5027,58,52,
5045,7,11,-1.0
5067,48,25,-1.0
5096,11,55,-1.0
5110,28,44,-1.0
5196,55,36,
5214,5,0,-1.0
5226,6,74,-1.0
5245,90,88,0.0
5250,61,13,-1.0
5298,88,56,-1.0
5354,17,65,-1.0
5398,40,40,
5419,81,1,-1.0
5438,33,42,-1.0
5495,91,0,-1.0
5626,7,67,-1.0
5637,87,93,0.0
5656,39,13,-1.0
5682,45,71,
5683,86,26,-1.0
5709,76,4,-1.0
5741,14,9,-1.0
5754,51,25,-1.0
5787,25,0,-1.0
5792,36,1,-1.0
5803,20,30,-1.0
5850,13,50,-1.0
5877,27,28,-1.0
5891,88,11,-1.0
5893,89,45,-1.0
5910,8,8,-1.0
5919,96,42,-1.0
5937,40,73,
5958,62,31,-1.0
5969,31,37,-1.0
6000,57,8,-1.0
6064,22,63,-1.0
6147,11,62,-1.0
6150,16,38,-1.0
6182,90,85,0.0
6186,56,45,
6189,87,60,-1.0
6264,53,39,
6280,12,94,-1.0
6322,60,40,
6326,31,44,-1.0
6361,18,21,-1.0
6412,14,67,-1.0
6423,51,68,
6435,48,36,
6492,76,18,-1.0
6546,33,22,
6576,98,8,-1.0
6609,72,67,-1.0
6643,60,73,
6681,44,27,
6745,10,7,-1.0
6791,59,88,
6802,10,42,
6815,83,71,-1.0
6890,42,11,-1.0
6933,16,24,-1.0
6958,52,14,-1.0
6963,60,47,
7034,33,90,-1.0
7049,6,24,-1.0
7075,79,98,-1.0
7108,99,50,-1.0
7145,27,79,-1.0
7150,39,75,-1.0
7206,18,61,-1.0
7220,92,99,-1.0
7275,56,44,
7293,42,16,-1.0
7316,41,58,
7373,4,66,-1.0
7379,66,25,-1.0
7389,2,20,-1.0
7430,20,42,-1.0
7450,15,94,-1.0
7466,37,26,
7516,73,84,
7519,78,71,-1.0
7551,4,67,-1.0
7580,14,76,-1.0
7653,25,94,-1.0
7655,43,58,
7686,73,42,-0.30000000000000004
7687,57,15,-1.0
7707,53,75,
7710,23,41,-1.0
7751,82,4,-1.0
7787,52,31,-1.0
7804,47,99,-1.0
7815,27,53,
7818,12,81,-1.0
7861,79,39,-0.30000000000000004
7867,11,4,-1.0
7907,74,88,
7917,97,10,-1.0
7924,52,59,
7938,35,97,-1.0
7999,63,4,-1.0
8011,70,72,
8029,45,73,
