,x,y,value
2,2,57,0.4356422174691925
35,70,68,-4.467960613740129
36,13,78,-4.008971602889458
43,83,19,-4.97339064636793
202,66,89,-6.638937387305465
254,61,13,-1.1490347215931278
265,43,94,-1.8066337426496775
277,79,82,
282,11,22,-5.559244990773166
350,23,59,-1.8999773311389268
400,39,18,-6.801182691654728
420,41,55,
438,62,29,-3.8045674944954104
475,86,43,-3.7486096051198565
490,94,65,-1.7882600625157865
496,17,94,-1.9526293039357716
541,85,86,-4.464657441663949
610,98,33,-7.457856383203772
681,76,78,
804,21,35,-5.228820998419343
867,70,7,-2.1385653944763527
950,83,10,-1.2731823620489573
966,64,49,
1092,62,65,
1112,50,28,-7.797413313344883
1120,43,52,
1123,62,82,
1151,88,10,-1.799586257968353
1179,26,45,-0.31724582876948837
1195,77,76,-3.6427845853476795
1219,63,81,
1256,58,54,
1264,0,26,-5.723688767142031
1281,69,35,
1376,61,80,
1413,29,33,-3.203833883351212
1418,20,78,-3.3113416666978797
1447,94,29,-7.474661178514645
1485,54,24,-3.3467070080360495
1494,50,87,
1538,68,90,-4.465687527392198
1591,16,29,-7.546424162617756
1631,34,38,
1646,68,77,
1659,85,3,-2.5217912358929127
1675,24,87,-3.325871646947956
1762,76,93,-5.417208517309198
1824,43,75,
2008,2,24,-7.315601818926196
2036,80,77,-4.003954554445045
2042,86,21,-4.271149140183319
2059,32,40,-5.963080641632544
2095,83,54,0.6982727860897047
2096,3,48,-2.98312679399566
2112,12,28,-5.406209662780112
2135,95,78,-3.603046667692488
2251,11,5,-3.860893216245122
2259,14,51,-3.1494387441158223
2288,39,52,
2294,12,11,-2.701800486222533
2314,55,59,
2331,2,93,-5.532185675812176
2351,17,86,-7.578147158760492
2369,34,58,
2392,67,22,-6.598031964634999
2419,50,47,
2464,42,31,
2513,8,57,-2.3477181463091092
2517,2,92,-2.2218731360099335
2539,87,21,-7.399820834426211
2564,26,44,-1.7393983219623026
2731,85,16,-3.4108309961700343
2737,60,63,
2763,10,77,-6.075117009536522
2813,89,35,-7.1673710748822685
2862,93,49,0.5237606427014523
2963,58,71,
3022,69,69,
3032,26,97,-1.7075523621663882
3042,10,85,-3.4116233182110864
3050,27,54,
3125,50,48,
3129,99,94,-2.6518573053502763
3147,50,59,
3153,64,12,-0.8377442732550806
3178,17,51,-1.6253737726834334
3200,38,16,-6.334780781536108
3219,62,99,-4.058431468325283
3276,21,75,-7.026081591499802
3311,44,96,-1.181023566769606
3365,30,71,
3380,37,16,-1.886958775610596
3388,27,74,-4.983854120802016
3400,32,95,-5.635567583942736
3412,82,19,-5.307534613672141
3465,75,84,
3491,11,94,-4.836351814153705
3509,36,31,
3526,90,85,-6.112333118614082
3538,82,16,-6.181672053114637
3563,64,2,0.31321882739327656
3611,79,59,-3.552358399816967
3669,92,81,-5.416352634778472
3671,76,14,-1.6931272015440726
3687,46,22,-4.449485426484561
3714,49,19,-2.801223589207998
3740,33,12,-2.7147801797461586
3756,26,43,-3.8773676544629225
3757,28,74,-7.0987646784561464
3767,3,68,-2.9599644620656145
3815,1,2,0.7368086630431385
3830,37,2,-3.5257447170326106
3920,56,20,-2.747710792088741
4036,64,66,
4061,18,11,-3.0002942458887185
4084,67,16,-5.57479770494969
4100,39,1,0.9037759944470292
4184,28,42,-1.295981271726455
4186,62,23,-6.105237792857986
4190,63,17,-3.7127956787362866
4201,71,68,-2.092953611065008
4224,0,60,-1.6600914064872079
