,x,y,value
68,22,38,78.0
128,33,48,
134,16,96,78.0
236,44,99,78.0
240,74,11,78.0
242,19,1,78.0
248,25,13,78.0
278,91,15,78.0
282,86,88,78.0
285,44,84,
319,26,36,78.0
325,39,65,
341,39,93,78.0
343,57,96,78.0
368,58,66,
399,34,29,
405,70,29,78.225
436,39,80,78.0
459,20,45,78.0
502,66,45,
520,56,96,78.0
627,77,44,78.67500000000001
630,42,75,
644,67,86,
678,47,87,
679,43,68,
703,62,38,
751,52,81,
780,22,49,78.0
849,32,93,78.0
868,86,40,78.0
973,71,96,78.0
1002,91,65,78.0
1011,90,92,78.9
1042,39,95,78.0
1104,84,83,78.0
1141,76,29,78.225
1214,31,44,78.0
1222,86,10,78.0
1226,85,43,78.67500000000001
1230,25,99,78.0
1260,4,75,78.0
1272,64,30,78.225
1279,45,10,78.0
1328,24,57,78.0
1336,39,49,
1355,64,46,
1361,76,58,78.0
1384,58,38,
1413,88,67,78.0
1418,80,2,78.0
1427,98,23,78.0
1479,64,49,
1495,64,34,78.225
1504,82,25,78.0
1524,2,92,78.0
1592,82,86,78.0
1617,16,93,78.0
1652,53,63,
1661,45,33,
1668,96,33,78.0
1678,57,73,
1722,43,70,
1748,18,44,78.0
1763,28,35,78.0
1795,32,7,78.0
1804,92,18,78.0
1814,89,86,78.0
1822,36,53,
1828,61,54,
1850,67,48,
1860,1,46,78.0
1969,0,22,78.0
2002,94,43,78.0
2064,30,30,
2082,20,5,78.0
2088,80,97,78.0
2118,10,9,78.0
2125,28,76,78.0
2181,53,4,78.0
2255,86,28,78.0
2278,96,41,78.0
2285,52,34,
2418,2,39,78.0
2420,46,13,78.0
2445,92,8,78.0
2548,11,50,78.0
2569,47,69,
2575,31,48,
2605,55,87,
2629,60,85,78.0
2633,97,35,78.0
2655,17,78,78.0
2667,25,23,78.0
2674,36,97,78.0
2707,59,44,
2714,32,86,78.0
2795,55,70,
2840,35,47,
2899,65,49,
2907,34,49,
2909,52,20,78.0
2950,83,55,78.67500000000001
2954,50,88,
2964,8,17,78.0
2983,57,32,78.0
3027,91,51,78.67500000000001
3045,32,18,
3105,57,87,
3170,55,53,
3340,56,85,
3362,94,78,78.0
3364,95,11,78.0
3419,19,96,78.0
3470,24,37,78.0
3493,47,6,78.0
3499,35,37,
3530,99,82,78.0
3556,63,21,78.0
3572,56,28,78.0
3584,2,23,78.0
3595,84,7,78.0
3613,12,83,78.0
3620,55,61,
3634,48,33,
3708,70,10,78.0
3753,24,11,78.0
3754,21,62,78.0
3780,59,78,
3921,31,9,78.0
3972,48,87,
3996,9,24,78.0
4014,89,0,78.0
4016,22,57,78.0
4018,62,83,
4098,76,78,
4157,18,4,78.0
4194,2,15,78.0
4232,86,23,78.0
4254,17,70,78.0
4260,44,53,
4305,35,90,78.0
4392,94,92,78.0
4403,67,57,
4462,91,18,78.0
4467,0,54,78.0
4476,81,62,78.0
4499,40,28,
4580,31,32,
4606,59,37,78.0
4608,24,87,78.0
4612,7,37,
4613,71,14,78.0
4625,86,76,78.0
4645,13,86,78.0
4659,56,86,
4713,10,86,78.0
4742,78,65,78.0
4854,21,0,78.0
4873,17,94,78.0
4935,9,61,78.0
4949,97,15,78.0
4963,33,59,
4976,11,92,78.0
4999,18,89,78.0
5064,15,31,78.0
5092,97,78,78.0
5131,42,67,
5175,58,50,
5198,77,4,78.0
5257,52,9,78.0
5284,0,33,78.0
5348,24,23,78.0
5404,84,89,78.0
5426,87,36,78.0
5474,66,21,78.0
5480,82,17,78.0
5510,46,6,78.0
5557,78,5,78.0
5571,1,6,78.45
5578,15,32,78.0
5702,21,17,78.0
5741,24,38,78.0
5782,90,65,78.0
5811,16,9,78.0
5837,98,37,78.0
5844,38,4,78.0
5850,22,91,78.0
5868,80,1,78.0
5941,26,70,78.0
5943,73,1,78.0
5973,74,60,78.0
6021,91,1,78.0
6039,10,40,
6113,14,19,78.0
6179,85,89,78.0
6187,32,83,78.0
6193,41,76,
6223,12,87,78.0
6313,2,27,78.0
6368,79,8,78.0
6403,16,32,78.0
6409,80,15,78.0
6411,57,47,
6420,95,98,78.9
6466,62,47,
6502,83,51,78.67500000000001
6513,88,34,78.0
6541,9,0,78.0
6560,72,32,78.225
6579,14,17,78.0
6598,3,49,78.0
6609,85,84,78.0
6611,93,76,78.0
6633,9,12,78.0
6635,60,29,78.0
6672,14,44,78.0
6677,74,31,78.225
6697,44,44,
6715,93,15,78.0
6738,10,56,78.0
6810,17,69,78.0
6826,12,13,78.0
6909,82,7,78.0
6922,88,46,78.67500000000001
6934,46,50,
6997,20,77,78.0
6999,52,59,
7000,59,30,78.0
7008,98,29,78.0
7041,85,50,78.67500000000001
7042,3,9,78.0
7059,63,67,
7172,47,41,
7199,57,98,78.0
7210,68,95,78.0
7290,55,98,78.0
7301,47,49,
7384,75,43,78.0
7424,1,76,78.0
7457,96,64,78.0
7465,78,49,78.67500000000001
7474,54,20,78.0
7567,4,18,78.0
7608,14,21,78.0
7617,43,43,
7622,22,58,78.0
7649,28,98,78.0
7656,61,40,
7701,86,94,78.9
7706,17,54,78.0
7716,69,60,
7737,22,12,78.0
7741,99,92,78.0
7749,52,1,78.0
7755,65,25,78.225
7798,41,59,
7817,59,9,78.0
7825,77,99,78.0
7826,60,19,78.0
7908,0,68,78.0
7912,72,34,78.225
7922,92,95,78.9
7954,1,63,78.0
7969,44,88,
7992,6,10,78.0
7998,33,90,78.0
