,x,y,value
28,68,6,0.41103070022677457
52,30,33,
71,17,80,0.4046270354519889
137,60,21,0.5820984710335142
267,94,46,0.5969193568084299
270,28,67,
292,76,46,0.5973990867797296
304,33,10,0.4049164174143994
337,62,29,0.44665931939474046
380,18,51,0.5598134080079008
401,94,3,0.574301233660661
411,96,84,0.43737880040434546
418,69,70,
460,51,79,
486,48,45,
490,61,0,0.4005319589779056
507,23,31,0.576838981750616
531,66,89,0.40364412453217335
575,59,14,0.42360706157468947
589,60,39,
677,77,75,0.5533497102012351
740,74,72,0.5961819485880645
752,13,96,0.5996936910942401
764,78,64,0.5859314999082742
804,10,22,0.5056691120148916
807,55,30,0.47595822789441056
857,28,71,0.519862616603219
885,32,74,0.4148605971783383
927,1,16,0.47831162519889164
946,86,51,0.4101537115355914
1003,54,93,0.5401518185701114
1024,17,82,0.5241702945320516
1035,93,3,0.4763834445305888
1099,55,81,
1104,62,28,0.5868414457382634
1124,41,25,
1136,3,8,0.4000025153680623
1162,33,72,
1195,12,17,0.58233673151581
1205,10,56,0.4732051040692435
1237,98,8,0.4063411995745316
1262,19,6,0.5516210671098017
1278,6,35,0.5906031403774896
1302,17,49,0.4083635289447232
1427,64,6,0.48001808234693616
1525,62,91,0.4511299412002522
1575,45,55,
1581,28,70,0.4326449121593996
1585,77,34,0.46418984431691
1610,84,91,0.42671047655254185
1635,33,44,0.5283243093985727
1640,26,0,0.44165979674839767
1653,23,55,0.4505441228173779
1732,90,59,0.5614032956877302
1746,45,30,
1805,15,74,0.5113093911143417
1818,7,55,0.4028514677282626
1831,97,60,0.40017115358831823
1836,98,46,0.5019389781582956
1853,49,26,0.4852310527837272
1883,64,60,
1888,71,51,0.42078172461030733
1934,19,40,0.454694031886603
1947,56,14,0.48917669164001965
2044,60,25,0.5730595743909911
2055,22,53,0.47836165367496664
2145,47,54,
2146,76,97,0.4966840687950263
2161,94,91,0.5994807310135061
2218,75,76,
2232,81,38,0.42296592958016554
2295,33,23,
2331,29,13,0.5992854779754605
2425,81,99,0.47416103891387024
2444,27,77,0.552977137725159
2465,93,13,0.4117974858547541
2508,70,45,0.41852331493032435
2539,50,45,
2541,33,62,
2552,61,28,0.4353575064346655
2553,11,77,0.44567126401802143
2582,98,53,0.4977856034188151
2607,31,8,0.5883800017334315
2639,56,74,
2656,68,7,0.5834828459330743
2781,19,80,0.5983251865724867
2797,9,80,0.48658419293726457
2830,78,23,0.5996014540553769
2885,8,67,0.4293671295733532
2927,38,9,0.4366505884382077
2960,49,20,0.41839966709197823
2965,85,41,0.42389032404887383
2977,17,31,0.5958975668357096
3025,81,76,0.46360033605615997
3027,98,30,0.4987357394246714
3040,63,15,0.4000991195901192
3119,73,3,0.599399783640113
3142,33,2,0.4011538063118789
3166,31,82,0.5982575783140073
3292,73,11,0.45711092339662895
3293,67,14,0.44665931939474046
3311,33,96,0.5830142802725172
3366,54,92,0.5072375922872774
3383,45,49,
3462,28,5,0.4342434948436988
3467,5,82,0.5202224835865638
3495,67,39,
3548,50,34,
3584,45,59,
3618,92,6,0.40297632831175284
3627,84,88,0.584977735633513
3632,21,4,0.4200408605333572
3643,79,11,0.5892792428517808
3654,54,13,0.40746866495684125
3660,70,91,0.5958130017558568
3662,51,93,0.41499527439881506
3670,19,27,0.44861508792418087
3687,90,64,0.4033425869638476
3716,36,97,0.5678884539066494
3728,23,17,0.5902502785999377
3798,49,65,
3800,22,78,0.537065042272546
3803,3,85,0.599936800416552
3951,22,13,0.41008631994210176
3987,11,83,0.4192993770252826
4058,78,51,0.41664671474636844
4089,16,25,0.5744440113252173
4091,48,82,
4170,28,7,0.5687678715725808
4199,88,42,0.4894400032753677
4231,24,34,0.433485831788125
4236,1,29,0.40807189491111784
4265,52,50,
4301,32,9,0.48284460466440576
4355,17,45,0.5502076178023343
4386,19,17,0.4254947185453701
4501,22,77,0.5698638057362846
4628,38,86,0.40182880868556975
4695,83,70,0.4117824203631223
4721,7,11,0.4973479040918074
4745,55,20,0.40960949590765766
4749,37,35,
4758,58,3,0.43608387635650836
4781,67,8,0.4293671295733532
4794,54,18,0.42910006794145916
4812,77,97,0.44197588506114216
4900,55,86,
4967,63,21,0.5916774670178353
4982,40,38,
4990,56,91,0.5140123546799596
5056,98,66,0.539777905099527
5137,56,89,
5171,34,51,
5188,15,36,0.4831560790603142
5199,10,99,0.41845895445933573
5210,24,61,0.4358018119818977
5255,93,41,0.45180021220095523
5300,42,77,
5341,66,53,
5344,32,86,0.5785726916681145
5370,12,77,0.5735592189116181
5385,52,18,0.5994960539812227
5390,4,37,0.400764035596235
5412,82,59,0.5585394845491817
5450,52,17,0.4041955832770298
5458,92,96,0.4626218172043826
5525,28,25,0.598651710293233
5527,58,48,
5545,84,66,0.4125034754004924
5557,42,19,0.4674489504299818
5558,58,13,0.44147781550446963
5570,36,83,0.4623387149901272
5583,85,48,0.5948440360399704
5596,31,84,0.5621823413677387
5630,41,28,
5631,30,84,0.4399899890989948
5632,78,45,0.49914362146607605
5800,66,38,
5829,69,34,
5832,64,69,
5850,9,41,
5880,2,75,0.5008777115547278
5896,42,31,
5899,71,29,0.5285392997519321
5906,70,1,0.5195024816250033
5909,81,1,0.5385281619966147
5924,20,91,0.40023458945166296
5925,54,19,0.4244625690315575
6029,67,40,
6091,26,85,0.4016047376868516
6115,42,57,
6143,44,33,
6229,76,64,0.5012044295004983
6262,14,69,0.5912151544057442
6283,16,74,0.42685735723499385
6291,29,27,0.4023461053593531
6322,83,39,0.5378492023370695
6325,65,64,
6363,74,29,0.5805376405227637
6377,86,12,0.5297404922218291
6402,86,50,0.5028656113609093
6541,62,99,0.41478113587249377
6678,9,93,0.511604248356579
6706,52,60,
6746,48,85,
6749,16,96,0.4013887886899642
6765,31,54,
6772,15,37,0.5984493108397339
6774,53,38,
6789,45,98,0.5676182932165216
6867,21,48,0.40558816705469114
6874,95,12,0.40412001368874484
6912,81,7,0.5459046807438884
6935,26,74,0.4961953046423812
6961,47,9,0.4463147338535195
6973,95,78,0.46462889258560086
6984,63,20,0.5543807110902115
6998,2,12,0.5269224577352328
7016,23,19,0.4051756161064938
7053,32,35,
7071,23,34,0.4408836993267667
7100,32,24,
