,x,y,value
39,87,64,-4.311416871250089
62,48,72,
77,94,13,-4.295595371958493
78,6,99,-4.534217160513986
86,43,88,
103,76,55,-4.337333855523118
130,29,81,-4.461716893931098
142,50,11,-4.403229431277435
154,4,17,-4.541832726543287
218,53,36,
309,2,94,-4.54802636159101
385,53,38,
386,49,19,-4.405861093416163
415,56,83,
474,98,69,-4.286468841990884
516,92,27,-4.300078744968457
532,8,5,-4.528326063465781
541,50,28,-4.403142300921999
553,64,87,-4.366680297377331
586,55,22,-4.3899805277678565
589,8,83,-4.527608369008368
596,52,86,
643,81,19,-4.325561056232333
748,68,86,
826,90,22,-4.304652309508883
827,87,69,-4.311402393210612
836,88,57,-4.309132576890768
875,36,93,-4.441371097253321
877,86,6,-4.313916987731249
903,38,39,
940,65,33,-4.364374994074839
948,93,47,-4.297751977766755
955,34,76,-4.447179863932275
980,16,49,-4.501757242898707
983,56,58,
984,96,85,-4.290894218173315
997,74,59,-4.342138518525234
1025,3,7,-4.545417844064181
1034,14,12,-4.5084809750315715
1043,52,58,
1053,59,54,
1089,44,27,
1137,58,23,-4.382196356542303
1161,67,37,
1221,46,84,
1316,70,3,-4.352100470852253
1349,32,87,-4.452900351002884
1370,90,68,-4.304514960686433
1402,89,97,-4.3067241549448
1466,70,65,-4.351861858960333
1469,39,34,
1591,59,84,
1608,24,76,-4.47670844909944
1622,81,95,-4.32531954964667
1648,10,99,-4.520830057762378
1654,79,4,-4.330353045374443
1684,33,29,
1688,1,96,-4.55151205092769
1715,32,78,-4.452949434605683
1735,37,60,
1751,41,6,-4.42777684643862
1789,37,65,
1873,12,93,-4.51431367541623
1877,78,78,
1894,56,6,-4.387454892781253
1900,50,99,-4.402826666005591
1919,58,69,
1924,2,38,-4.548569064943702
1945,1,81,-4.551653550028637
1954,86,55,-4.3137561126977815
1977,11,34,-4.518064234324174
1997,48,78,
2077,95,87,-4.293132952423055
2137,57,47,
2149,87,83,-4.3113626292609135
2155,12,1,-4.515095254426142
2167,44,90,-4.419063647587128
2218,81,48,-4.325462928948813
2269,34,65,
2272,26,23,-4.471017562096823
2322,27,39,-4.467911818557645
2323,71,11,-4.349613505976557
2350,25,73,-4.4737011696031175
2394,56,97,-4.387063530494071
2411,8,88,-4.527567355537002
2507,15,48,-4.504959744512552
2552,88,58,-4.309129649570146
2560,16,73,-4.501579046814145
2644,87,46,-4.311470444702703
2760,31,43,-4.456065407945091
2769,8,80,-4.527633157088103
2845,97,24,-4.2888239347916715
2850,92,58,-4.2999875112637715
2875,31,85,-4.455823365821308
2898,16,57,-4.5016966939259495
3110,35,99,-4.444192826933875
3126,46,58,
3127,19,48,-4.492297491595377
3144,76,3,-4.337524643066709
3170,8,97,-4.527494416715924
3177,48,70,
3188,69,5,-4.354553021623785
3225,84,61,-4.318387283395291
3247,99,33,-4.284342857269795
