,x,y,value
46,82,19,12.702926456111161
90,70,69,10.336092242715782
127,86,96,9.183530920067177
154,59,51,
184,91,48,10.975660285519604
190,42,62,
210,28,57,
253,79,48,11.096206163605437
254,94,9,13.467806981410725
274,93,40,11.348283298432964
275,4,71,10.392730654229473
418,47,30,
466,52,80,
470,57,9,13.907601773153084
564,25,22,12.985044833179561
567,8,95,9.600657957477681
569,46,91,9.843889795020607
593,77,92,9.418939912170195
605,66,6,14.137163913705209
616,68,40,
630,41,20,13.11723531913527
645,26,20,13.128787958819965
696,30,98,9.669874740069856
753,12,96,9.615368517062471
768,53,54,
819,4,42,11.636385835656123
827,26,16,13.430613592507274
834,0,56,10.940157350044696
838,40,14,13.589302072548255
849,47,88,
860,13,80,10.172041859349308
974,40,16,13.424149594496757
1003,99,46,11.029830168497528
1032,20,51,11.388385509894238
1061,92,60,10.445966319092399
1086,59,23,12.733711213986599
1137,35,85,10.103784801853513
1255,13,32,12.273612197448635
1306,50,89,
1328,13,46,11.554121502223486
1343,18,86,10.009542489245712
1378,22,67,10.734653220062242
1383,52,12,13.67011897719902
1430,3,96,9.502163921986776
1454,38,40,
1468,0,25,12.5276832464188
1485,33,5,14.57035886075543
1505,7,87,9.8561189918774
1512,91,97,9.108553136622778
1532,97,46,11.036019290006177
1541,7,41,
1555,18,39,11.945669765838293
1563,72,37,11.729676326594783
1571,85,80,9.73921509108969
1577,56,99,9.477218574153435
1617,12,23,12.813113299546373
1653,44,48,
1764,80,71,10.126339466277772
1798,43,3,14.856989874423402
1822,9,49,11.368983152817647
1835,88,70,10.080082679301292
1839,24,42,11.835730755830047
1843,14,71,10.513782427736942
1892,71,39,11.639955013885434
1897,14,29,12.457814024334972
1936,9,33,12.171555316091501
1982,42,25,
2016,96,34,11.648225380739621
2030,78,74,10.038548880537395
2057,16,18,13.207913634927799
2059,6,28,12.423226670016874
2064,95,84,9.521361968859733
2095,3,21,12.836238240168473
2161,91,31,11.845357496484922
2240,20,57,11.127300963214326
2260,16,82,10.131237037177621
2267,96,43,11.183799223444904
2370,54,82,
2371,45,95,9.719188748352856
2385,10,37,
2493,46,9,14.024372382092787
2510,80,43,11.320963495431858
2517,94,50,10.865267164036712
2518,71,72,
2525,80,8,13.70483453253417
2531,14,8,14.09227749399334
2540,48,96,9.661286131298382
2578,74,8,13.782509198329805
2606,42,7,14.279128069266397
2677,84,35,11.685451203558223
2701,8,94,9.63353893089578
2707,98,34,11.640810757032432
2734,30,18,
2758,43,2,15.060175899390998
2790,92,6,13.831881953571528
2804,76,57,10.73734189220877
2813,89,19,12.633609103364044
2881,99,85,9.47177513094339
2895,0,66,10.53055750084074
2910,60,46,
2930,9,25,12.647537054469046
2935,71,92,9.50050918641991
2945,97,7,13.680438690331748
2975,68,16,13.117565572294026
2999,32,1,15.360702253180843
3037,97,89,9.34087982886389
3080,48,5,14.495428748184356
3130,95,19,12.59388837767435
3222,28,76,10.421209708018562
3242,54,25,12.66562400131062
3254,81,0,15.5010493718125
3306,8,59,10.921179494007095
3370,10,57,11.029526524760247
3377,23,76,10.400241796894676
3392,0,92,9.592338894753047
3418,64,17,13.095473449974314
3437,25,35,12.2015060736428
3467,17,7,14.237922524890513
3484,16,27,12.598355560024999
3548,62,50,
3550,68,31,12.115329950810855
3563,48,23,12.859030913782286
3573,24,53,11.324712456904969
3603,19,80,10.228240119679427
3637,13,43,
3658,0,43,11.532048695504539
3689,82,49,11.014531425915308
3705,41,97,9.680020971477264
3740,83,7,13.786899968249294
3858,88,55,10.687652630157137
3868,4,81,10.02588143099502
3890,58,53,
3928,17,0,15.929290355670982
3965,83,98,9.149748861238205
4033,97,54,10.674099519576444
4058,71,2,14.728164158243937
4063,16,87,9.957357596584346
4064,59,1,15.160298816058024
4075,14,3,14.793165602995963
4091,25,3,14.876259359286466
4153,19,26,12.686421346809308
4209,52,54,
4229,32,73,10.537994541856596
4255,91,32,11.788404385390002
4271,99,8,13.557469131663122
4279,24,44,11.738235342577589
4289,82,70,10.140895375290679
4294,83,27,12.156487322216297
4340,20,73,10.49175143808313
4344,45,30,
4439,66,5,14.273599529055412
4443,41,46,
4458,12,60,10.927159884119115
4612,33,2,15.09575144528026
4622,46,62,
4703,16,74,10.420867770112583
4778,52,96,9.621029959693637
4804,51,31,
4810,97,37,11.483236638146355
4814,15,76,10.337420916130117
4839,44,39,
4843,15,17,13.274701775021061
4851,97,88,9.37485715102276
4867,82,22,12.490995396650476
4881,2,6,14.186101505700258
4929,27,5,14.561849524223593
4945,88,43,11.236638080663061
4962,10,99,9.495236312745023
4972,11,19,13.081111082001154
4996,77,18,12.838446616053776
5055,40,91,9.882943958250276
5062,20,46,11.617948869127039
5069,52,92,9.752910189280415
5117,56,84,
5148,15,85,10.016665898638031
5150,22,13,13.66241475607322
5153,91,78,9.758759764223088
5259,31,11,
5266,26,29,12.545109658211262
5267,33,58,
5268,63,36,
5283,55,39,
5292,35,30,
5350,69,63,
5405,13,67,10.657201371894217
5432,21,83,10.136735097352208
5443,98,47,10.985741935921912
5465,78,66,10.34430664755672
5505,70,2,14.742251283487821
5519,97,51,10.806455930773376
5526,77,40,11.507526577451106
5550,48,13,13.619949641255081
5560,65,96,9.453600096524596
5562,93,10,13.369854518689635
5563,67,22,12.690403536697135
5599,84,83,9.643374448964279
5680,51,64,
5703,75,2,14.673041158976199
5783,8,16,13.274451123249527
5787,80,92,9.381253694680364
5833,99,63,10.291513907262162
5856,77,29,12.108057280365632
5874,37,19,
5900,40,20,
5927,69,72,
5937,26,48,11.558680760058785
5941,4,24,12.647569320735801
5961,24,62,10.94504716412442
6011,11,0,15.8676547075852
6031,15,73,10.44852350514826
6056,83,8,13.670119531089318
6061,58,58,
6136,43,45,
6140,93,15,12.915516754784111
6164,19,25,12.749722239531149
6189,17,36,12.093628650716784
6291,83,3,14.37100764009194
6303,62,49,
6331,38,34,
6354,83,70,10.129693092625235
6361,25,53,11.329513066529017
6392,31,41,11.90613185085214
6523,9,53,11.189915356902272
6546,98,63,10.294300412439066
6594,31,20,
6653,88,12,13.214137067830174
6692,20,92,9.822006994438828
6705,27,42,11.848328089948458
6750,26,13,13.682775570385743
6761,89,62,10.38648098447227
6782,47,95,9.702898649578257
6797,74,92,9.458928360476001
6808,26,82,10.198822396149229
6812,87,23,12.371794601090038
6815,93,19,12.604882113362258
6824,98,58,10.499815695483424
6834,65,94,9.519189436249079
6838,43,78,
6873,84,91,9.369151208590432
6939,9,22,12.845447123552812
6962,51,82,
6984,8,91,9.733245487003048
7068,29,75,10.4603568636591
7102,99,51,10.800266809264727
7135,95,77,9.770799526082255
7356,77,13,13.245723192540114
7423,7,70,10.47032272572699
7463,13,66,10.696398233622968
7478,23,78,10.32738789101496
7484,75,4,14.298561391295024
7495,23,66,10.779818548356207
7501,2,27,12.430223362732049
7513,31,59,
7617,47,51,
7643,6,81,10.052469774146514
7652,8,56,11.047648276049724
7659,65,47,
7662,43,34,
7692,32,96,9.736369868625516
7797,68,15,13.198764391434633
7807,34,24,
7834,34,94,9.801021022597975
7837,43,68,
7872,81,1,14.861772420986803
7904,33,36,
7909,51,4,14.616806480783081
7912,82,63,10.4153665893538
7994,48,16,13.367787663376614
7999,62,29,12.316479646612674
8066,89,70,10.071578022543562
8096,27,67,
8105,24,73,10.51673424645029
8138,62,85,9.865249115551311
8297,6,23,12.740097778680685
8325,73,31,12.045033378844039
8440,72,68,10.346633425006353
8495,97,18,12.659584119201549
8520,16,89,9.889209344590139
8523,19,38,12.005339206214394
8526,95,45,11.092031847773232
8601,48,60,
8624,17,13,13.624344530246649
8745,6,74,10.306694064851929
8748,18,44,11.697469478144367
8872,25,91,9.885206078675012
8874,8,68,10.559946141998033
8905,99,68,10.094004615049274
8959,68,41,
8991,95,69,10.070198828516133
9047,6,8,13.997814063637366
9067,37,54,
9099,27,20,13.13238280572854
9126,40,25,
9168,61,89,9.7418508962406
9189,99,69,10.055384224861307
9202,26,56,
9223,36,0,15.995586528551453
9247,39,77,10.376119297909863
9270,95,85,9.486589734598219
9338,51,62,
9369,19,92,9.814377887865396
9397,43,46,
