,x,y,value
0,0,0,0
30,0,1,0
60,0,2,0
90,0,3,0
120,0,4,0
150,0,5,0
180,0,6,0
210,0,7,0
240,0,8,0
270,0,9,0
300,0,10,0
330,0,11,0
360,0,12,0
390,0,13,0
420,0,14,0
450,0,15,0
480,0,16,0
510,0,17,0
540,0,18,0
570,0,19,0
600,0,20,0
630,0,21,0
660,0,22,0
690,0,23,0
720,0,24,0
750,0,25,0
780,0,26,0
810,0,27,0
840,0,28,0
870,0,29,0
900,0,30,0
930,0,31,0
960,0,32,0
990,0,33,0
1020,0,34,0
1050,0,35,0
1080,0,36,0
1110,0,37,0
1140,0,38,0
1170,0,39,0
1200,0,40,0
1230,0,41,0
1260,0,42,0
1290,0,43,0
1320,0,44,0
1350,0,45,0
1380,0,46,0
1410,0,47,0
1440,0,48,0
1470,0,49,0
1500,0,50,0
1530,0,51,0
1560,0,52,0
1590,0,53,0
1620,0,54,0
1650,0,55,0
1680,0,56,0
1710,0,57,0
1740,0,58,0
1770,0,59,0
1800,0,60,0
1830,0,61,0
1860,0,62,0
1890,0,63,0
1920,0,64,0
1950,0,65,0
1980,0,66,0
2010,0,67,0
2040,0,68,0
2070,0,69,0
2100,0,70,0
2130,0,71,0
2160,0,72,0
2190,0,73,0
2220,0,74,0
2250,0,75,0
2280,0,76,0
2310,0,77,0
2340,0,78,0
2370,0,79,0
2400,0,80,0
2430,0,81,0
2460,0,82,0
2490,0,83,0
2520,0,84,0
2550,0,85,0
2580,0,86,0
2610,0,87,0
2640,0,88,0
2670,0,89,0
2700,0,90,0
2730,0,91,0
2760,0,92,0
2790,0,93,0
2820,0,94,0
2850,0,95,0
2880,0,96,0
2910,0,97,0
2940,0,98,0
2970,0,99,0
3000,1,0,0
3030,1,1,0
3060,1,2,0
3090,1,3,0
3120,1,4,0
3150,1,5,0
3180,1,6,0
3210,1,7,0
3240,1,8,0
3270,1,9,0
3300,1,10,0
3330,1,11,0
3360,1,12,0
3390,1,13,0
3420,1,14,0
3450,1,15,0
3480,1,16,0
3510,1,17,0
3540,1,18,0
3570,1,19,0
3600,1,20,0
3630,1,21,0
3660,1,22,0
3690,1,23,0
3720,1,24,0
3750,1,25,0
3780,1,26,0
3810,1,27,0
3840,1,28,0
3870,1,29,0
3900,1,30,0
3930,1,31,0
3960,1,32,0
3990,1,33,0
4020,1,34,0
4050,1,35,0
4080,1,36,0
4110,1,37,0
4140,1,38,0
4170,1,39,0
4200,1,40,0
4230,1,41,0
